,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,67,51,51,38,1.314,1.342,0.979,0.282
1,"(15, 24]","(0, 5]",Male,18,7,13,4,2.571,3.250,0.791,0.575
2,"(15, 24]","(5, 10]",Female,25,18,19,16,1.389,1.188,1.170,0.540
3,"(15, 24]","(5, 10]",Male,11,9,11,7,1.222,1.571,0.778,0.515
4,"(15, 24]","(10, 15]",Female,153,150,51,61,1.020,0.836,1.220,0.277
5,"(15, 24]","(10, 15]",Male,109,104,194,185,1.048,1.049,0.999,0.178
6,"(15, 24]","(15, 20]",Female,490,460,172,235,1.065,0.732,1.455,0.189
7,"(15, 24]","(15, 20]",Male,567,443,960,976,1.280,0.984,1.301,0.121
8,"(15, 24]","(20, 25]",Female,181,174,144,185,1.040,0.778,1.336,0.216
9,"(15, 24]","(20, 25]",Male,257,203,471,502,1.266,0.938,1.349,0.168
10,"(15, 24]","(25, 30]",Female,35,29,37,50,1.207,0.740,1.631,0.547
11,"(15, 24]","(25, 30]",Male,56,34,114,96,1.647,1.188,1.387,0.364
12,"(15, 24]","(30, 35]",Female,23,18,20,18,1.278,1.111,1.150,0.523
13,"(15, 24]","(30, 35]",Male,17,13,42,35,1.308,1.200,1.090,0.476
14,"(15, 24]","(35, 40]",Female,38,24,10,9,1.583,1.111,1.425,0.756
15,"(15, 24]","(35, 40]",Male,18,13,22,24,1.385,0.917,1.510,0.712
16,"(15, 24]","(40, 45]",Female,42,24,10,7,1.750,1.429,1.225,0.683
17,"(15, 24]","(40, 45]",Male,37,15,21,17,2.467,1.235,1.997,0.899
18,"(15, 24]","(45, 50]",Female,50,20,12,5,2.500,2.400,1.042,0.621
19,"(15, 24]","(45, 50]",Male,27,12,15,7,2.250,2.143,1.050,0.605
20,"(15, 24]","(50, 55]",Female,30,15,8,1,2.000,8.000,0.250,0.277
21,"(15, 24]","(50, 55]",Male,15,7,13,4,2.143,3.250,0.659,0.484
22,"(15, 24]","(55, 60]",Female,29,2,6,2,14.500,3.000,4.833,5.303
23,"(15, 24]","(55, 60]",Male,9,1,11,1,9.000,11.000,0.818,1.215
24,"(15, 24]","(60, 65]",Female,18,2,4,2,9.000,2.000,4.500,5.147
25,"(15, 24]","(60, 65]",Male,11,3,9,3,3.667,3.000,1.222,1.141
26,"(15, 24]","(65, 70]",Male,12,2,7,2,6.000,3.500,1.714,1.900
27,"(15, 24]","(80, 85]",Male,7,1,2,1,7.000,2.000,3.500,5.693
28,"(15, 24]","(85, 90]",Female,3,1,2,1,3.000,2.000,1.500,2.526
29,"(24, 34]","(0, 5]",Female,107,64,96,90,1.672,1.067,1.567,0.347
30,"(24, 34]","(0, 5]",Male,34,16,31,25,2.125,1.240,1.714,0.700
31,"(24, 34]","(5, 10]",Female,86,72,80,66,1.194,1.212,0.985,0.233
32,"(24, 34]","(5, 10]",Male,21,10,14,15,2.100,0.933,2.250,1.208
33,"(24, 34]","(10, 15]",Female,47,57,26,38,0.825,0.684,1.205,0.393
34,"(24, 34]","(10, 15]",Male,14,13,22,29,1.077,0.759,1.420,0.682
35,"(24, 34]","(15, 20]",Female,19,33,5,15,0.576,0.333,1.727,1.025
36,"(24, 34]","(15, 20]",Male,46,52,50,80,0.885,0.625,1.415,0.390
37,"(24, 34]","(20, 25]",Female,53,61,32,28,0.869,1.143,0.760,0.246
38,"(24, 34]","(20, 25]",Male,251,225,173,196,1.116,0.883,1.264,0.187
39,"(24, 34]","(25, 30]",Female,67,78,77,98,0.859,0.786,1.093,0.253
40,"(24, 34]","(25, 30]",Male,321,269,185,195,1.193,0.949,1.258,0.177
41,"(24, 34]","(30, 35]",Female,44,53,68,68,0.830,1.000,0.830,0.225
42,"(24, 34]","(30, 35]",Male,140,130,107,83,1.077,1.289,0.835,0.164
43,"(24, 34]","(35, 40]",Female,47,29,34,44,1.621,0.773,2.097,0.697
44,"(24, 34]","(35, 40]",Male,66,51,52,38,1.294,1.368,0.946,0.272
45,"(24, 34]","(40, 45]",Female,24,17,19,17,1.412,1.118,1.263,0.585
46,"(24, 34]","(40, 45]",Male,29,14,16,14,2.071,1.143,1.813,0.892
