,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.148,0.155,3.000
1,"(5, 10]",1.243,0.166,8.000
2,"(10, 15]",1.115,0.110,13.000
3,"(15, 20]",1.344,0.091,18.000
4,"(20, 25]",1.297,0.098,23.000
5,"(25, 30]",1.259,0.117,28.000
6,"(30, 35]",1.041,0.113,33.000
7,"(35, 40]",1.325,0.152,38.000
8,"(40, 45]",1.368,0.175,43.000
9,"(45, 50]",1.080,0.146,48.000
10,"(50, 55]",1.259,0.183,53.000
11,"(55, 60]",1.531,0.229,58.000
12,"(60, 65]",1.243,0.163,63.000
13,"(65, 70]",1.067,0.129,68.000
14,"(70, 75]",0.997,0.112,73.000
15,"(75, 80]",0.897,0.101,78.000
16,"(80, 85]",0.941,0.123,83.000
17,"(85, 90]",1.408,0.258,88.000
18,"(90, 95]",1.187,0.426,93.000
19,"(95, 100]",4.429,4.069,98.000
