,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,225,162,236,191,1.389,1.236,1.124,0.169
1,"(15, 24]","(0, 5]",Male,85,54,121,53,1.574,2.283,0.689,0.169
2,"(15, 24]","(5, 10]",Female,60,65,57,39,0.923,1.462,0.632,0.176
3,"(15, 24]","(5, 10]",Male,35,18,58,41,1.944,1.415,1.375,0.492
4,"(15, 24]","(10, 15]",Female,478,502,197,212,0.952,0.929,1.025,0.131
5,"(15, 24]","(10, 15]",Male,825,677,1302,1190,1.219,1.094,1.114,0.092
6,"(15, 24]","(15, 20]",Female,1981,2074,800,1120,0.955,0.714,1.337,0.100
7,"(15, 24]","(15, 20]",Male,4185,3538,9948,10347,1.183,0.961,1.230,0.070
8,"(15, 24]","(20, 25]",Female,677,702,676,926,0.964,0.730,1.321,0.118
9,"(15, 24]","(20, 25]",Male,1626,1311,5077,5045,1.240,1.006,1.232,0.081
10,"(15, 24]","(25, 30]",Female,176,162,285,333,1.086,0.856,1.269,0.183
11,"(15, 24]","(25, 30]",Male,376,253,1252,1176,1.486,1.065,1.396,0.145
12,"(15, 24]","(30, 35]",Female,88,72,110,124,1.222,0.887,1.378,0.292
13,"(15, 24]","(30, 35]",Male,203,116,478,379,1.750,1.261,1.388,0.200
14,"(15, 24]","(35, 40]",Female,99,61,59,55,1.623,1.073,1.513,0.383
15,"(15, 24]","(35, 40]",Male,130,62,267,178,2.097,1.500,1.398,0.264
16,"(15, 24]","(40, 45]",Female,123,77,51,32,1.597,1.594,1.002,0.274
17,"(15, 24]","(40, 45]",Male,112,44,188,106,2.545,1.774,1.435,0.317
18,"(15, 24]","(45, 50]",Female,118,62,33,16,1.903,2.062,0.923,0.320
19,"(15, 24]","(45, 50]",Male,82,29,140,70,2.828,2.000,1.414,0.376
20,"(15, 24]","(50, 55]",Female,94,25,24,15,3.760,1.600,2.350,0.944
21,"(15, 24]","(50, 55]",Male,64,23,84,38,2.783,2.211,1.259,0.398
22,"(15, 24]","(55, 60]",Female,68,20,6,5,3.400,1.200,2.833,1.866
23,"(15, 24]","(55, 60]",Male,58,9,70,36,6.444,1.944,3.314,1.378
24,"(15, 24]","(60, 65]",Female,47,9,22,7,5.222,3.143,1.662,0.945
25,"(15, 24]","(60, 65]",Male,27,5,60,14,5.400,4.286,1.260,0.721
26,"(15, 24]","(65, 70]",Female,36,9,11,2,4.000,5.500,0.727,0.622
27,"(15, 24]","(65, 70]",Male,25,9,45,8,2.778,5.625,0.494,0.271
28,"(15, 24]","(70, 75]",Female,32,8,12,4,4.000,3.000,1.333,0.935
29,"(15, 24]","(70, 75]",Male,18,8,29,6,2.250,4.833,0.466,0.289
30,"(15, 24]","(75, 80]",Male,21,1,13,4,21.000,3.250,6.462,7.582
31,"(15, 24]","(80, 85]",Male,13,1,13,1,13.000,13.000,1.000,1.468
32,"(15, 24]","(85, 90]",Female,17,1,5,2,17.000,2.500,6.800,9.025
33,"(15, 24]","(85, 90]",Male,4,1,3,1,4.000,3.000,1.333,2.144
34,"(24, 34]","(0, 5]",Female,220,221,208,183,0.995,1.137,0.876,0.129
35,"(24, 34]","(0, 5]",Male,141,124,153,149,1.137,1.027,1.107,0.195
36,"(24, 34]","(5, 10]",Female,240,274,200,249,0.876,0.803,1.091,0.152
37,"(24, 34]","(5, 10]",Male,62,57,92,107,1.088,0.860,1.265,0.300
38,"(24, 34]","(10, 15]",Female,131,179,84,147,0.732,0.571,1.281,0.238
39,"(24, 34]","(10, 15]",Male,63,72,119,142,0.875,0.838,1.044,0.228
40,"(24, 34]","(15, 20]",Female,139,195,67,148,0.713,0.453,1.575,0.301
41,"(24, 34]","(15, 20]",Male,541,553,733,1021,0.978,0.718,1.363,0.126
42,"(24, 34]","(20, 25]",Female,235,324,187,304,0.725,0.615,1.179,0.160
43,"(24, 34]","(20, 25]",Male,1476,1326,1750,2150,1.113,0.814,1.368,0.096
44,"(24, 34]","(25, 30]",Female,272,287,317,434,0.948,0.730,1.298,0.160
45,"(24, 34]","(25, 30]",Male,1356,1153,1754,1854,1.176,0.946,1.243,0.090
46,"(24, 34]","(30, 35]",Female,200,195,265,344,1.026,0.770,1.331,0.185
47,"(24, 34]","(30, 35]",Male,695,543,931,909,1.280,1.024,1.250,0.111
48,"(24, 34]","(35, 40]",Female,79,74,142,190,1.068,0.747,1.428,0.289
49,"(24, 34]","(35, 40]",Male,258,191,451,385,1.351,1.171,1.153,0.148
50,"(24, 34]","(40, 45]",Female,66,45,80,73,1.467,1.096,1.338,0.344
51,"(24, 34]","(40, 45]",Male,148,87,256,198,1.701,1.293,1.316,0.227
52,"(24, 34]","(45, 50]",Female,94,54,46,30,1.741,1.533,1.135,0.334
53,"(24, 34]","(45, 50]",Male,77,32,149,103,2.406,1.447,1.663,0.418
54,"(24, 34]","(50, 55]",Female,130,54,42,26,2.407,1.615,1.490,0.450
55,"(24, 34]","(50, 55]",Male,62,19,143,69,3.263,2.072,1.575,0.480
56,"(24, 34]","(55, 60]",Female,122,57,22,12,2.140,1.833,1.167,0.463
57,"(24, 34]","(55, 60]",Male,59,11,102,50,5.364,2.040,2.629,0.984
58,"(24, 34]","(60, 65]",Female,98,32,28,12,3.062,2.333,1.312,0.530
59,"(24, 34]","(60, 65]",Male,47,18,78,30,2.611,2.600,1.004,0.356
60,"(24, 34]","(65, 70]",Female,70,30,22,6,2.333,3.667,0.636,0.326
61,"(24, 34]","(65, 70]",Male,48,19,44,14,2.526,3.143,0.804,0.332
62,"(24, 34]","(70, 75]",Female,54,11,14,3,4.909,4.667,1.052,0.756
63,"(24, 34]","(70, 75]",Male,25,3,31,8,8.333,3.875,2.151,1.570
64,"(24, 34]","(75, 80]",Female,26,8,17,1,3.250,17.000,0.191,0.212
65,"(24, 34]","(75, 80]",Male,23,3,20,4,7.667,5.000,1.533,1.264
66,"(24, 34]","(80, 85]",Female,31,5,6,1,6.200,6.000,1.033,1.223
67,"(24, 34]","(80, 85]",Male,16,3,9,1,5.333,9.000,0.593,0.728
68,"(34, 54]","(0, 5]",Female,58,79,66,80,0.734,0.825,0.890,0.218
69,"(34, 54]","(0, 5]",Male,45,66,60,84,0.682,0.714,0.955,0.250
70,"(34, 54]","(5, 10]",Female,100,169,86,154,0.592,0.558,1.060,0.203
71,"(34, 54]","(5, 10]",Male,50,64,84,115,0.781,0.730,1.070,0.259
72,"(34, 54]","(10, 15]",Female,168,348,137,282,0.483,0.486,0.994,0.148
73,"(34, 54]","(10, 15]",Male,69,108,142,289,0.639,0.491,1.300,0.249
74,"(34, 54]","(15, 20]",Female,145,328,64,158,0.442,0.405,1.091,0.202
75,"(34, 54]","(15, 20]",Male,106,197,184,422,0.538,0.436,1.234,0.194
76,"(34, 54]","(20, 25]",Female,94,207,52,131,0.454,0.397,1.144,0.242
77,"(34, 54]","(20, 25]",Male,167,268,282,515,0.623,0.548,1.138,0.151
78,"(34, 54]","(25, 30]",Female,99,149,62,115,0.664,0.539,1.232,0.259
79,"(34, 54]","(25, 30]",Male,342,390,336,538,0.877,0.625,1.404,0.159
80,"(34, 54]","(30, 35]",Female,105,140,113,177,0.750,0.638,1.175,0.216
81,"(34, 54]","(30, 35]",Male,621,604,384,527,1.028,0.729,1.411,0.143
82,"(34, 54]","(35, 40]",Female,97,139,171,221,0.698,0.774,0.902,0.157
83,"(34, 54]","(35, 40]",Male,786,708,462,505,1.110,0.915,1.213,0.117
84,"(34, 54]","(40, 45]",Female,90,123,170,223,0.732,0.762,0.960,0.172
85,"(34, 54]","(40, 45]",Male,680,611,323,340,1.113,0.950,1.172,0.126
86,"(34, 54]","(45, 50]",Female,114,111,155,188,1.027,0.824,1.246,0.223
87,"(34, 54]","(45, 50]",Male,582,536,257,239,1.086,1.075,1.010,0.120
88,"(34, 54]","(50, 55]",Female,127,74,169,157,1.716,1.076,1.594,0.303
89,"(34, 54]","(50, 55]",Male,341,288,211,171,1.184,1.234,0.960,0.134
90,"(34, 54]","(55, 60]",Female,117,74,119,102,1.581,1.167,1.355,0.280
91,"(34, 54]","(55, 60]",Male,132,88,156,116,1.500,1.345,1.115,0.213
92,"(34, 54]","(60, 65]",Female,160,81,89,42,1.975,2.119,0.932,0.221
93,"(34, 54]","(60, 65]",Male,99,64,119,66,1.547,1.803,0.858,0.195
94,"(34, 54]","(65, 70]",Female,172,62,52,26,2.774,2.000,1.387,0.398
95,"(34, 54]","(65, 70]",Male,76,29,114,44,2.621,2.591,1.011,0.289
96,"(34, 54]","(70, 75]",Female,186,62,54,24,3.000,2.250,1.333,0.387
97,"(34, 54]","(70, 75]",Male,99,26,90,29,3.808,3.103,1.227,0.381
98,"(34, 54]","(75, 80]",Female,151,52,36,9,2.904,4.000,0.726,0.297
99,"(34, 54]","(75, 80]",Male,72,24,43,15,3.000,2.867,1.047,0.403
100,"(34, 54]","(80, 85]",Female,94,22,36,5,4.273,7.200,0.593,0.318
101,"(34, 54]","(80, 85]",Male,39,6,39,4,6.500,9.750,0.667,0.457
102,"(34, 54]","(85, 90]",Female,54,4,14,4,13.500,3.500,3.857,2.969
103,"(54, 100]","(0, 5]",Female,16,38,11,35,0.421,0.314,1.340,0.615
104,"(54, 100]","(0, 5]",Male,9,27,11,30,0.333,0.367,0.909,0.477
105,"(54, 100]","(5, 10]",Female,24,54,19,51,0.444,0.373,1.193,0.438
106,"(54, 100]","(5, 10]",Male,7,32,9,38,0.219,0.237,0.924,0.518
107,"(54, 100]","(10, 15]",Female,20,70,28,73,0.286,0.384,0.745,0.254
108,"(54, 100]","(10, 15]",Male,12,54,26,96,0.222,0.271,0.821,0.321
109,"(54, 100]","(15, 20]",Female,20,73,13,43,0.274,0.302,0.906,0.370
110,"(54, 100]","(15, 20]",Male,22,73,23,107,0.301,0.215,1.402,0.474
111,"(54, 100]","(20, 25]",Female,7,53,6,26,0.132,0.231,0.572,0.348
112,"(54, 100]","(20, 25]",Male,19,74,32,104,0.257,0.308,0.834,0.276
113,"(54, 100]","(25, 30]",Female,19,61,6,25,0.311,0.240,1.298,0.685
114,"(54, 100]","(25, 30]",Male,34,82,34,88,0.415,0.386,1.073,0.313
115,"(54, 100]","(30, 35]",Female,32,56,6,22,0.571,0.273,2.095,1.076
116,"(54, 100]","(30, 35]",Male,39,85,36,115,0.459,0.313,1.466,0.405
117,"(54, 100]","(35, 40]",Female,22,61,19,33,0.361,0.576,0.626,0.240
118,"(54, 100]","(35, 40]",Male,64,115,55,107,0.557,0.514,1.083,0.252
119,"(54, 100]","(40, 45]",Female,37,72,19,25,0.514,0.760,0.676,0.249
120,"(54, 100]","(40, 45]",Male,83,164,60,98,0.506,0.612,0.827,0.180
121,"(54, 100]","(45, 50]",Female,42,61,18,34,0.689,0.529,1.301,0.465
122,"(54, 100]","(45, 50]",Male,234,241,68,117,0.971,0.581,1.671,0.309
123,"(54, 100]","(50, 55]",Female,65,82,39,48,0.793,0.812,0.976,0.270
124,"(54, 100]","(50, 55]",Male,497,496,104,146,1.002,0.712,1.407,0.213
125,"(54, 100]","(55, 60]",Female,109,113,107,106,0.965,1.009,0.956,0.189
126,"(54, 100]","(55, 60]",Male,874,833,124,127,1.049,0.976,1.075,0.155
127,"(54, 100]","(60, 65]",Female,158,168,177,157,0.940,1.127,0.834,0.137
128,"(54, 100]","(60, 65]",Male,1032,980,146,157,1.053,0.930,1.132,0.151
129,"(54, 100]","(65, 70]",Female,241,187,249,188,1.289,1.324,0.973,0.142
130,"(54, 100]","(65, 70]",Male,1117,1009,163,129,1.107,1.264,0.876,0.118
131,"(54, 100]","(70, 75]",Female,333,275,259,217,1.211,1.194,1.015,0.135
132,"(54, 100]","(70, 75]",Male,1225,946,153,124,1.295,1.234,1.049,0.145
133,"(54, 100]","(75, 80]",Female,358,215,317,184,1.665,1.723,0.967,0.132
134,"(54, 100]","(75, 80]",Male,970,700,140,87,1.386,1.609,0.861,0.132
135,"(54, 100]","(80, 85]",Female,397,198,265,136,2.005,1.949,1.029,0.150
136,"(54, 100]","(80, 85]",Male,604,399,96,47,1.514,2.043,0.741,0.145
137,"(54, 100]","(85, 90]",Female,218,86,157,55,2.535,2.855,0.888,0.185
138,"(54, 100]","(85, 90]",Male,225,117,48,19,1.923,2.526,0.761,0.227
139,"(54, 100]","(90, 95]",Female,83,27,48,21,3.074,2.286,1.345,0.466
140,"(54, 100]","(90, 95]",Male,64,20,22,10,3.200,2.200,1.455,0.672
141,"(54, 100]","(95, 100]",Female,18,5,7,2,3.600,3.500,1.029,0.976
142,"(54, 100]","(95, 100]",Male,5,2,4,1,2.500,4.000,0.625,0.873
