,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,74,92,59,73,0.804,0.808,0.995,0.239
1,"(15, 24]","(0, 5]",Male,53,42,46,55,1.262,0.836,1.509,0.440
2,"(15, 24]","(5, 10]",Female,31,30,33,28,1.033,1.179,0.877,0.321
3,"(15, 24]","(5, 10]",Male,26,26,29,29,1.000,1.000,1.000,0.385
4,"(15, 24]","(10, 15]",Female,112,147,72,109,0.762,0.661,1.153,0.234
5,"(15, 24]","(10, 15]",Male,250,328,343,508,0.762,0.675,1.129,0.136
6,"(15, 24]","(15, 20]",Female,270,365,181,318,0.740,0.569,1.300,0.172
7,"(15, 24]","(15, 20]",Male,566,673,1829,2637,0.841,0.694,1.213,0.099
8,"(15, 24]","(20, 25]",Female,61,86,95,182,0.709,0.522,1.359,0.293
9,"(15, 24]","(20, 25]",Male,153,179,697,1015,0.855,0.687,1.245,0.162
10,"(15, 24]","(25, 30]",Female,32,30,26,30,1.067,0.867,1.231,0.459
11,"(15, 24]","(25, 30]",Male,49,33,174,203,1.485,0.857,1.732,0.438
12,"(15, 24]","(30, 35]",Female,9,7,12,14,1.286,0.857,1.500,0.962
13,"(15, 24]","(30, 35]",Male,15,19,61,71,0.789,0.859,0.919,0.359
14,"(15, 24]","(35, 40]",Female,7,8,12,9,0.875,1.333,0.656,0.447
15,"(15, 24]","(35, 40]",Male,22,11,37,34,2.000,1.088,1.838,0.812
16,"(15, 24]","(40, 45]",Female,14,11,9,3,1.273,3.000,0.424,0.331
17,"(15, 24]","(40, 45]",Male,21,16,31,19,1.312,1.632,0.804,0.358
18,"(15, 24]","(45, 50]",Female,5,9,3,6,0.556,0.500,1.111,1.002
19,"(15, 24]","(45, 50]",Male,22,16,18,13,1.375,1.385,0.993,0.489
20,"(15, 24]","(50, 55]",Female,9,4,3,2,2.250,1.500,1.500,1.641
21,"(15, 24]","(50, 55]",Male,16,9,15,7,1.778,2.143,0.830,0.515
22,"(15, 24]","(55, 60]",Female,6,5,3,3,1.200,1.000,1.200,1.221
23,"(15, 24]","(55, 60]",Male,12,4,10,6,3.000,1.667,1.800,1.397
24,"(15, 24]","(60, 65]",Female,8,4,3,3,2.000,1.000,2.000,2.044
25,"(15, 24]","(60, 65]",Male,12,3,10,3,4.000,3.333,1.200,1.108
26,"(15, 24]","(65, 70]",Female,8,4,4,3,2.000,1.333,1.500,1.470
27,"(15, 24]","(65, 70]",Male,5,1,10,2,5.000,5.000,1.000,1.343
28,"(15, 24]","(75, 80]",Male,6,1,1,1,6.000,1.000,6.000,10.681
29,"(15, 24]","(80, 85]",Male,4,1,2,1,4.000,2.000,2.000,3.318
30,"(24, 34]","(0, 5]",Female,99,116,88,121,0.853,0.727,1.173,0.237
31,"(24, 34]","(0, 5]",Male,82,114,90,117,0.719,0.769,0.935,0.194
32,"(24, 34]","(5, 10]",Female,100,145,80,150,0.690,0.533,1.293,0.254
33,"(24, 34]","(5, 10]",Male,62,92,65,98,0.674,0.663,1.016,0.238
34,"(24, 34]","(10, 15]",Female,52,89,39,67,0.584,0.582,1.004,0.272
35,"(24, 34]","(10, 15]",Male,30,53,56,71,0.566,0.789,0.718,0.211
36,"(24, 34]","(15, 20]",Female,18,50,15,49,0.360,0.306,1.176,0.478
37,"(24, 34]","(15, 20]",Male,69,110,153,302,0.627,0.507,1.238,0.235
38,"(24, 34]","(20, 25]",Female,29,49,23,39,0.592,0.590,1.004,0.357
39,"(24, 34]","(20, 25]",Male,102,117,266,448,0.872,0.594,1.468,0.241
40,"(24, 34]","(25, 30]",Female,25,38,25,43,0.658,0.581,1.132,0.411
41,"(24, 34]","(25, 30]",Male,76,85,196,303,0.894,0.647,1.382,0.262
42,"(24, 34]","(30, 35]",Female,17,22,24,28,0.773,0.857,0.902,0.387
43,"(24, 34]","(30, 35]",Male,43,47,99,134,0.915,0.739,1.238,0.315
44,"(24, 34]","(35, 40]",Female,10,9,6,17,1.111,0.353,3.148,2.086
45,"(24, 34]","(35, 40]",Male,29,29,45,58,1.000,0.776,1.289,0.429
46,"(24, 34]","(40, 45]",Female,12,16,9,13,0.750,0.692,1.083,0.628
47,"(24, 34]","(40, 45]",Male,11,5,35,36,2.200,0.972,2.263,1.338
48,"(24, 34]","(45, 50]",Female,10,7,6,10,1.429,0.600,2.381,1.704
49,"(24, 34]","(45, 50]",Male,25,17,19,22,1.471,0.864,1.703,0.760
50,"(24, 34]","(50, 55]",Female,5,9,7,4,0.556,1.750,0.317,0.267
51,"(24, 34]","(50, 55]",Male,27,11,26,14,2.455,1.857,1.322,0.648
52,"(24, 34]","(55, 60]",Male,22,14,15,14,1.571,1.071,1.467,0.744
53,"(24, 34]","(60, 65]",Male,12,6,12,3,2.000,4.000,0.500,0.409
54,"(24, 34]","(65, 70]",Female,14,5,5,5,2.800,1.000,2.800,2.299
55,"(24, 34]","(65, 70]",Male,10,4,9,3,2.500,3.000,0.833,0.744
56,"(24, 34]","(70, 75]",Female,4,3,3,1,1.333,3.000,0.444,0.616
57,"(24, 34]","(70, 75]",Male,9,3,8,3,3.000,2.667,1.125,1.070
58,"(34, 54]","(0, 5]",Female,32,46,25,45,0.696,0.556,1.252,0.430
59,"(34, 54]","(0, 5]",Male,23,51,28,57,0.451,0.491,0.918,0.316
60,"(34, 54]","(5, 10]",Female,43,90,29,81,0.478,0.358,1.334,0.386
61,"(34, 54]","(5, 10]",Male,51,110,55,109,0.464,0.505,0.919,0.222
62,"(34, 54]","(10, 15]",Female,53,148,34,117,0.358,0.291,1.232,0.317
63,"(34, 54]","(10, 15]",Male,58,174,59,163,0.333,0.362,0.921,0.203
64,"(34, 54]","(15, 20]",Female,27,80,22,59,0.338,0.373,0.905,0.306
65,"(34, 54]","(15, 20]",Male,43,121,52,141,0.355,0.369,0.964,0.237
66,"(34, 54]","(20, 25]",Female,12,27,3,37,0.444,0.081,5.481,3.810
67,"(34, 54]","(20, 25]",Male,23,65,38,111,0.354,0.342,1.034,0.321
68,"(34, 54]","(25, 30]",Female,12,26,11,25,0.462,0.440,1.049,0.530
69,"(34, 54]","(25, 30]",Male,25,47,48,88,0.532,0.545,0.975,0.302
70,"(34, 54]","(30, 35]",Female,10,22,8,23,0.455,0.348,1.307,0.735
71,"(34, 54]","(30, 35]",Male,34,56,51,101,0.607,0.505,1.202,0.339
72,"(34, 54]","(35, 40]",Female,10,26,8,19,0.385,0.421,0.913,0.516
73,"(34, 54]","(35, 40]",Male,45,66,45,72,0.682,0.625,1.091,0.301
74,"(34, 54]","(40, 45]",Female,4,16,11,14,0.250,0.786,0.318,0.220
75,"(34, 54]","(40, 45]",Male,43,48,32,64,0.896,0.500,1.792,0.548
76,"(34, 54]","(45, 50]",Female,15,11,10,16,1.364,0.625,2.182,1.239
77,"(34, 54]","(45, 50]",Male,40,30,40,36,1.333,1.111,1.200,0.404
78,"(34, 54]","(50, 55]",Female,16,11,13,15,1.455,0.867,1.678,0.918
79,"(34, 54]","(50, 55]",Male,43,35,22,19,1.229,1.158,1.061,0.414
80,"(34, 54]","(55, 60]",Female,14,9,11,9,1.556,1.222,1.273,0.792
81,"(34, 54]","(55, 60]",Male,18,26,25,8,0.692,3.125,0.222,0.113
82,"(34, 54]","(60, 65]",Female,14,10,10,9,1.400,1.111,1.260,0.782
83,"(34, 54]","(60, 65]",Male,27,23,23,17,1.174,1.353,0.868,0.374
84,"(34, 54]","(65, 70]",Female,12,11,6,3,1.091,2.000,0.545,0.449
85,"(34, 54]","(65, 70]",Male,32,16,17,9,2.000,1.889,1.059,0.546
86,"(34, 54]","(70, 75]",Female,31,12,9,2,2.583,4.500,0.574,0.490
87,"(34, 54]","(70, 75]",Male,22,12,10,9,1.833,1.111,1.650,0.965
88,"(34, 54]","(75, 80]",Female,16,9,10,3,1.778,3.333,0.533,0.416
89,"(34, 54]","(75, 80]",Male,29,8,6,3,3.625,2.000,1.812,1.475
90,"(34, 54]","(80, 85]",Male,7,3,5,1,2.333,5.000,0.467,0.605
91,"(54, 100]","(0, 5]",Female,4,24,1,16,0.167,0.062,2.667,3.106
92,"(54, 100]","(0, 5]",Male,4,26,7,22,0.154,0.318,0.484,0.335
93,"(54, 100]","(5, 10]",Female,3,15,5,15,0.200,0.333,0.600,0.491
94,"(54, 100]","(5, 10]",Male,3,35,9,31,0.086,0.290,0.295,0.210
95,"(54, 100]","(10, 15]",Female,5,24,6,23,0.208,0.261,0.799,0.538
96,"(54, 100]","(10, 15]",Male,10,52,13,54,0.192,0.241,0.799,0.372
97,"(54, 100]","(15, 20]",Female,5,16,4,8,0.312,0.500,0.625,0.500
98,"(54, 100]","(15, 20]",Male,11,46,11,38,0.239,0.289,0.826,0.398
99,"(54, 100]","(20, 25]",Female,3,8,1,8,0.375,0.125,3.000,3.778
100,"(54, 100]","(20, 25]",Male,4,30,14,24,0.133,0.583,0.229,0.144
101,"(54, 100]","(25, 30]",Male,11,32,6,20,0.344,0.300,1.146,0.669
102,"(54, 100]","(30, 35]",Female,2,8,2,7,0.250,0.286,0.875,0.986
103,"(54, 100]","(30, 35]",Male,17,34,12,28,0.500,0.429,1.167,0.534
