,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.081,0.110,3.000
1,"(5, 10]",1.054,0.111,8.000
2,"(10, 15]",1.051,0.083,13.000
3,"(15, 20]",1.192,0.072,18.000
4,"(20, 25]",1.279,0.108,23.000
5,"(25, 30]",1.310,0.151,28.000
6,"(30, 35]",1.146,0.160,33.000
7,"(35, 40]",1.319,0.213,38.000
8,"(40, 45]",1.139,0.223,43.000
9,"(45, 50]",1.352,0.251,48.000
10,"(50, 55]",1.158,0.222,53.000
11,"(55, 60]",0.924,0.199,58.000
12,"(60, 65]",1.125,0.236,63.000
13,"(65, 70]",1.020,0.221,68.000
14,"(70, 75]",0.651,0.163,73.000
15,"(75, 80]",1.130,0.303,78.000
16,"(80, 85]",1.077,0.380,83.000
17,"(85, 90]",0.893,0.487,88.000
18,"(90, 95]",0.828,0.710,93.000
19,"(95, 100]",4.000,6.003,98.000
