,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.077,0.314,3.000
1,"(5, 10]",0.985,0.181,8.000
2,"(10, 15]",0.954,0.120,13.000
3,"(15, 20]",1.352,0.122,18.000
4,"(20, 25]",1.092,0.108,23.000
5,"(25, 30]",1.228,0.139,28.000
6,"(30, 35]",1.316,0.154,33.000
7,"(35, 40]",1.032,0.122,38.000
8,"(40, 45]",1.368,0.161,43.000
9,"(45, 50]",1.141,0.131,48.000
10,"(50, 55]",0.968,0.114,53.000
11,"(55, 60]",0.990,0.127,58.000
12,"(60, 65]",1.087,0.145,63.000
13,"(65, 70]",0.986,0.138,68.000
14,"(70, 75]",0.722,0.107,73.000
15,"(75, 80]",0.962,0.154,78.000
16,"(80, 85]",1.035,0.180,83.000
17,"(85, 90]",1.372,0.373,88.000
18,"(90, 95]",1.174,0.468,93.000
19,"(95, 100]",2.400,3.281,98.000
