,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,3,5,5,4,0.600,1.250,0.480,0.477
1,"(15, 24]","(0, 5]",Male,3,2,2,3,1.500,0.667,2.250,2.907
2,"(15, 24]","(5, 10]",Female,4,1,2,4,4.000,0.500,8.000,11.321
3,"(15, 24]","(5, 10]",Male,3,5,4,3,0.600,1.333,0.450,0.476
4,"(15, 24]","(10, 15]",Female,13,16,3,6,0.812,0.500,1.625,1.302
5,"(15, 24]","(10, 15]",Male,25,25,35,32,1.000,1.094,0.914,0.345
6,"(15, 24]","(15, 20]",Female,17,35,14,37,0.486,0.378,1.284,0.557
7,"(15, 24]","(15, 20]",Male,80,93,181,263,0.860,0.688,1.250,0.234
8,"(15, 24]","(20, 25]",Female,8,6,12,25,1.333,0.480,2.778,1.795
9,"(15, 24]","(20, 25]",Male,25,29,91,142,0.862,0.641,1.345,0.415
10,"(15, 24]","(25, 30]",Female,2,6,6,5,0.333,1.200,0.278,0.283
11,"(15, 24]","(25, 30]",Male,6,8,23,22,0.750,1.045,0.717,0.444
12,"(15, 24]","(30, 35]",Female,3,3,2,2,1.000,1.000,1.000,1.292
13,"(15, 24]","(30, 35]",Male,4,1,13,8,4.000,1.625,2.462,2.969
14,"(15, 24]","(35, 40]",Male,2,3,4,7,0.667,0.571,1.167,1.293
15,"(15, 24]","(40, 45]",Male,4,5,7,2,0.800,3.500,0.229,0.239
16,"(15, 24]","(45, 50]",Female,4,3,1,1,1.333,1.000,1.333,2.144
17,"(15, 24]","(45, 50]",Male,4,3,7,5,1.333,1.400,0.952,0.918
18,"(24, 34]","(0, 5]",Female,8,21,11,19,0.381,0.579,0.658,0.371
19,"(24, 34]","(0, 5]",Male,13,12,8,15,1.083,0.533,2.031,1.209
20,"(24, 34]","(5, 10]",Female,10,20,14,15,0.500,0.933,0.536,0.289
21,"(24, 34]","(5, 10]",Male,7,17,10,20,0.412,0.500,0.824,0.490
22,"(24, 34]","(10, 15]",Female,6,15,4,15,0.400,0.267,1.500,1.115
23,"(24, 34]","(10, 15]",Male,7,13,3,15,0.538,0.200,2.692,2.124
24,"(24, 34]","(15, 20]",Female,6,7,3,7,0.857,0.429,2.000,1.776
25,"(24, 34]","(15, 20]",Male,13,20,18,38,0.650,0.474,1.372,0.631
26,"(24, 34]","(20, 25]",Female,6,7,8,9,0.857,0.889,0.964,0.714
27,"(24, 34]","(20, 25]",Male,21,21,39,61,1.000,0.639,1.564,0.585
28,"(24, 34]","(25, 30]",Female,4,12,1,5,0.333,0.200,1.667,2.065
29,"(24, 34]","(25, 30]",Male,15,14,38,62,1.071,0.613,1.748,0.748
30,"(24, 34]","(30, 35]",Female,7,4,2,3,1.750,0.667,2.625,2.910
31,"(24, 34]","(30, 35]",Male,11,6,24,26,1.833,0.923,1.986,1.158
32,"(24, 34]","(35, 40]",Male,3,5,16,13,0.600,1.231,0.487,0.401
33,"(24, 34]","(40, 45]",Female,2,3,4,5,0.667,0.800,0.833,0.945
34,"(24, 34]","(40, 45]",Male,2,1,12,6,2.000,2.000,1.000,1.324
35,"(24, 34]","(45, 50]",Female,4,3,2,2,1.333,1.000,1.333,1.679
36,"(24, 34]","(45, 50]",Male,5,3,3,4,1.667,0.750,2.222,2.351
37,"(24, 34]","(50, 55]",Male,5,1,9,8,5.000,1.125,4.444,5.331
38,"(24, 34]","(55, 60]",Male,3,2,1,3,1.500,0.333,4.500,6.628
39,"(34, 54]","(0, 5]",Female,2,6,3,8,0.333,0.375,0.889,0.944
40,"(34, 54]","(0, 5]",Male,9,6,6,9,1.500,0.667,2.250,1.681
41,"(34, 54]","(5, 10]",Female,9,18,3,17,0.500,0.176,2.833,2.123
42,"(34, 54]","(5, 10]",Male,10,11,9,25,0.909,0.360,2.525,1.482
43,"(34, 54]","(10, 15]",Female,8,31,12,19,0.258,0.632,0.409,0.222
44,"(34, 54]","(10, 15]",Male,10,19,9,24,0.526,0.375,1.404,0.779
45,"(34, 54]","(15, 20]",Female,5,14,9,13,0.357,0.692,0.516,0.351
46,"(34, 54]","(15, 20]",Male,8,18,6,35,0.444,0.171,2.593,1.595
47,"(34, 54]","(20, 25]",Female,3,6,3,10,0.500,0.300,1.667,1.612
48,"(34, 54]","(20, 25]",Male,11,21,14,37,0.524,0.378,1.384,0.677
49,"(34, 54]","(25, 30]",Female,1,4,2,8,0.250,0.250,1.000,1.370
50,"(34, 54]","(25, 30]",Male,13,14,10,31,0.929,0.323,2.879,1.532
51,"(34, 54]","(30, 35]",Female,1,3,2,7,0.333,0.286,1.167,1.641
52,"(34, 54]","(30, 35]",Male,8,16,10,22,0.500,0.455,1.100,0.637
53,"(34, 54]","(35, 40]",Female,2,3,1,4,0.667,0.250,2.667,3.851
54,"(34, 54]","(35, 40]",Male,10,13,15,22,0.769,0.682,1.128,0.609
55,"(34, 54]","(40, 45]",Male,9,6,15,12,1.500,1.250,1.200,0.787
56,"(34, 54]","(45, 50]",Female,2,2,1,1,1.000,1.000,1.000,1.733
57,"(34, 54]","(45, 50]",Male,10,11,13,11,0.909,1.182,0.769,0.462
58,"(34, 54]","(50, 55]",Female,4,2,2,4,2.000,0.500,4.000,4.903
59,"(34, 54]","(50, 55]",Male,1,4,7,15,0.250,0.467,0.536,0.648
60,"(34, 54]","(55, 60]",Female,3,3,2,2,1.000,1.000,1.000,1.292
61,"(34, 54]","(60, 65]",Male,4,1,3,1,4.000,3.000,1.333,2.144
62,"(34, 54]","(65, 70]",Male,6,4,2,2,1.500,1.000,1.500,1.787
63,"(34, 54]","(80, 85]",Male,3,2,1,1,1.500,1.000,1.500,2.526
64,"(54, 100]","(25, 30]",Female,1,1,1,2,1.000,0.500,2.000,3.743
65,"(54, 100]","(30, 35]",Male,1,6,1,6,0.167,0.167,1.000,1.528
66,"(54, 100]","(35, 40]",Female,1,1,1,1,1.000,1.000,1.000,2.001
67,"(54, 100]","(35, 40]",Male,3,4,2,6,0.750,0.333,2.250,2.518
68,"(54, 100]","(45, 50]",Male,7,4,2,6,1.750,0.333,5.250,5.410
69,"(54, 100]","(50, 55]",Male,3,3,4,4,1.000,1.000,1.000,1.081
70,"(54, 100]","(55, 60]",Male,2,5,2,4,0.400,0.500,0.800,0.964
71,"(54, 100]","(60, 65]",Male,3,5,4,5,0.600,0.800,0.750,0.745
72,"(54, 100]","(65, 70]",Male,2,2,3,4,1.000,0.750,1.333,1.679
73,"(54, 100]","(70, 75]",Male,4,2,1,1,2.000,1.000,2.000,3.318
