,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.189,0.371,3.000
1,"(5, 10]",1.193,0.339,8.000
2,"(10, 15]",1.029,0.238,13.000
3,"(15, 20]",1.284,0.192,18.000
4,"(20, 25]",1.478,0.284,23.000
5,"(25, 30]",1.450,0.387,28.000
6,"(30, 35]",1.526,0.510,33.000
7,"(35, 40]",1.085,0.403,38.000
8,"(40, 45]",0.793,0.370,43.000
9,"(45, 50]",1.290,0.486,48.000
10,"(50, 55]",1.696,0.996,53.000
11,"(55, 60]",1.362,1.030,58.000
12,"(60, 65]",0.879,0.743,63.000
13,"(65, 70]",1.419,1.228,68.000
14,"(70, 75]",2.000,3.318,73.000
15,"(80, 85]",1.500,2.526,83.000
