,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,854,848,942,1138,1.007,0.828,1.217,0.100
1,"(15, 24]","(15, 22]",Male,611,503,2048,2118,1.215,0.967,1.256,0.106
2,"(15, 24]","(22, 27]",Female,137,125,400,457,1.096,0.875,1.252,0.188
3,"(15, 24]","(22, 27]",Male,110,104,560,467,1.058,1.199,0.882,0.140
4,"(15, 24]","(27, 32]",Female,27,18,132,127,1.500,1.039,1.443,0.480
5,"(15, 24]","(27, 32]",Male,29,16,126,111,1.812,1.135,1.597,0.545
6,"(15, 24]","(32, 37]",Female,34,26,38,42,1.308,0.905,1.445,0.502
7,"(15, 24]","(32, 37]",Male,29,17,71,50,1.706,1.420,1.201,0.433
8,"(15, 24]","(37, 42]",Female,69,40,25,22,1.725,1.136,1.518,0.542
9,"(15, 24]","(37, 42]",Male,57,19,63,28,3.000,2.250,1.333,0.470
10,"(15, 24]","(42, 47]",Female,99,43,27,20,2.302,1.350,1.705,0.598
11,"(15, 24]","(42, 47]",Male,59,22,49,23,2.682,2.130,1.259,0.452
12,"(15, 24]","(47, 52]",Female,60,29,38,18,2.069,2.111,0.980,0.361
13,"(15, 24]","(47, 52]",Male,24,15,67,29,1.600,2.310,0.693,0.277
14,"(15, 24]","(52, 57]",Female,45,19,29,11,2.368,2.636,0.898,0.405
15,"(15, 24]","(52, 57]",Male,27,9,25,10,3.000,2.500,1.200,0.647
16,"(15, 24]","(57, 62]",Female,22,7,16,3,3.143,5.333,0.589,0.451
17,"(15, 24]","(57, 62]",Male,22,5,25,10,4.400,2.500,1.760,1.096
18,"(15, 24]","(62, 67]",Female,17,3,8,2,5.667,4.000,1.417,1.431
19,"(15, 24]","(62, 67]",Male,7,1,19,4,7.000,4.750,1.474,1.773
20,"(15, 24]","(67, 72]",Female,16,4,5,1,4.000,5.000,0.800,0.985
21,"(15, 24]","(67, 72]",Male,7,1,13,1,7.000,13.000,0.538,0.803
22,"(15, 24]","(72, 77]",Male,4,1,11,2,4.000,5.500,0.727,0.987
23,"(15, 24]","(77, 82]",Female,6,1,9,3,6.000,3.000,2.000,2.541
24,"(15, 24]","(77, 82]",Male,9,2,6,1,4.500,6.000,0.750,1.001
25,"(24, 34]","(15, 22]",Female,55,55,62,80,1.000,0.775,1.290,0.335
26,"(24, 34]","(15, 22]",Male,103,98,154,209,1.051,0.737,1.426,0.262
27,"(24, 34]","(22, 27]",Female,82,96,207,253,0.854,0.818,1.044,0.192
28,"(24, 34]","(22, 27]",Male,173,160,346,405,1.081,0.854,1.266,0.178
29,"(24, 34]","(27, 32]",Female,69,62,254,301,1.113,0.844,1.319,0.265
30,"(24, 34]","(27, 32]",Male,143,103,257,241,1.388,1.066,1.302,0.215
31,"(24, 34]","(32, 37]",Female,36,27,179,173,1.333,1.035,1.289,0.361
32,"(24, 34]","(32, 37]",Male,63,31,122,111,2.032,1.099,1.849,0.482
33,"(24, 34]","(37, 42]",Female,26,20,79,79,1.300,1.000,1.300,0.443
34,"(24, 34]","(37, 42]",Male,34,22,59,71,1.545,0.831,1.860,0.612
35,"(24, 34]","(42, 47]",Female,31,10,53,41,3.100,1.293,2.398,1.012
36,"(24, 34]","(42, 47]",Male,19,10,57,35,1.900,1.629,1.167,0.523
37,"(24, 34]","(47, 52]",Female,36,26,33,17,1.385,1.941,0.713,0.283
38,"(24, 34]","(47, 52]",Male,23,14,37,23,1.643,1.609,1.021,0.443
39,"(24, 34]","(52, 57]",Female,39,12,27,15,3.250,1.800,1.806,0.838
40,"(24, 34]","(52, 57]",Male,9,6,29,15,1.500,1.933,0.776,0.479
41,"(24, 34]","(57, 62]",Female,25,10,19,4,2.500,4.750,0.526,0.351
42,"(24, 34]","(57, 62]",Male,10,2,27,6,5.000,4.500,1.111,0.998
43,"(24, 34]","(62, 67]",Female,6,2,15,2,3.000,7.500,0.400,0.445
44,"(24, 34]","(67, 72]",Male,5,2,10,1,2.500,10.000,0.250,0.336
45,"(24, 34]","(72, 77]",Female,6,3,5,3,2.000,1.667,1.200,1.221
46,"(24, 34]","(72, 77]",Male,2,1,8,2,2.000,4.000,0.500,0.729
