,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.292,0.067,19.000
1,"(22, 27]",1.143,0.081,25.000
2,"(27, 32]",1.223,0.109,30.000
3,"(32, 37]",1.275,0.128,35.000
4,"(37, 42]",1.174,0.117,40.000
5,"(42, 47]",1.192,0.116,45.000
6,"(47, 52]",0.968,0.094,50.000
7,"(52, 57]",0.875,0.085,55.000
8,"(57, 62]",0.819,0.081,60.000
9,"(62, 67]",0.700,0.070,65.000
10,"(67, 72]",0.732,0.073,70.000
11,"(72, 77]",0.698,0.065,75.000
12,"(77, 82]",0.759,0.073,80.000
13,"(82, 87]",0.845,0.099,85.000
14,"(87, 92]",0.844,0.148,90.000
15,"(92, 97]",1.397,0.699,95.000
