,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,19,20,16,19,0.950,0.842,1.128,0.529
1,"(15, 24]","(0, 5]",Male,4,2,11,5,2.000,2.200,0.909,0.929
2,"(15, 24]","(5, 10]",Female,25,16,22,16,1.562,1.375,1.136,0.524
3,"(15, 24]","(5, 10]",Male,5,6,7,12,0.833,0.583,1.429,1.102
4,"(15, 24]","(10, 15]",Female,188,184,68,98,1.022,0.694,1.473,0.288
5,"(15, 24]","(10, 15]",Male,167,149,270,246,1.121,1.098,1.021,0.155
6,"(15, 24]","(15, 20]",Female,700,716,340,409,0.978,0.831,1.176,0.122
7,"(15, 24]","(15, 20]",Male,993,832,1642,1616,1.194,1.016,1.175,0.091
8,"(15, 24]","(20, 25]",Female,232,239,272,304,0.971,0.895,1.085,0.145
9,"(15, 24]","(20, 25]",Male,442,366,862,860,1.208,1.002,1.205,0.119
10,"(15, 24]","(25, 30]",Female,63,38,87,97,1.658,0.897,1.848,0.477
11,"(15, 24]","(25, 30]",Male,72,58,209,163,1.241,1.282,0.968,0.204
12,"(15, 24]","(30, 35]",Female,21,24,32,43,0.875,0.744,1.176,0.450
13,"(15, 24]","(30, 35]",Male,40,27,70,47,1.481,1.489,0.995,0.315
14,"(15, 24]","(35, 40]",Female,23,27,17,16,0.852,1.062,0.802,0.362
15,"(15, 24]","(35, 40]",Male,46,28,58,30,1.643,1.933,0.850,0.283
16,"(15, 24]","(40, 45]",Female,58,40,17,13,1.450,1.308,1.109,0.471
17,"(15, 24]","(40, 45]",Male,53,17,51,21,3.118,2.429,1.284,0.493
18,"(15, 24]","(45, 50]",Female,52,24,15,11,2.167,1.364,1.589,0.747
19,"(15, 24]","(45, 50]",Male,40,20,46,24,2.000,1.917,1.043,0.392
20,"(15, 24]","(50, 55]",Female,58,22,13,6,2.636,2.167,1.217,0.676
21,"(15, 24]","(50, 55]",Male,31,7,38,12,4.429,3.167,1.398,0.750
22,"(15, 24]","(55, 60]",Female,30,11,11,7,2.727,1.571,1.736,1.042
23,"(15, 24]","(55, 60]",Male,18,5,25,4,3.600,6.250,0.576,0.426
24,"(15, 24]","(60, 65]",Male,16,1,18,5,16.000,3.600,4.444,5.107
25,"(15, 24]","(65, 70]",Female,19,5,8,1,3.800,8.000,0.475,0.558
26,"(15, 24]","(65, 70]",Male,11,1,5,1,11.000,5.000,2.200,3.332
27,"(15, 24]","(70, 75]",Female,16,2,6,1,8.000,6.000,1.333,1.755
28,"(15, 24]","(75, 80]",Male,7,1,6,1,7.000,6.000,1.167,1.774
29,"(15, 24]","(80, 85]",Female,10,2,1,1,5.000,1.000,5.000,8.066
30,"(24, 34]","(0, 5]",Female,16,20,17,27,0.800,0.630,1.271,0.583
31,"(24, 34]","(0, 5]",Male,7,6,12,13,1.167,0.923,1.264,0.869
32,"(24, 34]","(5, 10]",Female,76,52,64,62,1.462,1.032,1.416,0.366
33,"(24, 34]","(5, 10]",Male,21,22,28,28,0.955,1.000,0.955,0.390
34,"(24, 34]","(10, 15]",Female,52,66,31,48,0.788,0.646,1.220,0.366
35,"(24, 34]","(10, 15]",Male,14,12,22,42,1.167,0.524,2.227,1.060
36,"(24, 34]","(15, 20]",Female,31,38,15,27,0.816,0.556,1.468,0.596
37,"(24, 34]","(15, 20]",Male,80,93,89,120,0.860,0.742,1.160,0.247
38,"(24, 34]","(20, 25]",Female,66,73,55,77,0.904,0.714,1.266,0.316
39,"(24, 34]","(20, 25]",Male,333,306,310,336,1.088,0.923,1.180,0.144
40,"(24, 34]","(25, 30]",Female,80,80,122,151,1.000,0.808,1.238,0.255
41,"(24, 34]","(25, 30]",Male,357,302,316,323,1.182,0.978,1.208,0.147
42,"(24, 34]","(30, 35]",Female,52,52,105,135,1.000,0.778,1.286,0.309
43,"(24, 34]","(30, 35]",Male,177,145,167,146,1.221,1.144,1.067,0.178
44,"(24, 34]","(35, 40]",Female,42,24,49,54,1.750,0.907,1.929,0.631
45,"(24, 34]","(35, 40]",Male,76,49,98,84,1.551,1.167,1.329,0.321
46,"(24, 34]","(40, 45]",Female,28,22,31,29,1.273,1.069,1.191,0.462
47,"(24, 34]","(40, 45]",Male,43,24,50,47,1.792,1.064,1.684,0.555
48,"(24, 34]","(45, 50]",Female,35,23,15,12,1.522,1.250,1.217,0.577
49,"(24, 34]","(45, 50]",Male,34,17,50,29,2.000,1.724,1.160,0.442
50,"(24, 34]","(50, 55]",Female,64,22,15,10,2.909,1.500,1.939,0.931
51,"(24, 34]","(50, 55]",Male,24,7,35,23,3.429,1.522,2.253,1.147
52,"(24, 34]","(55, 60]",Female,56,13,15,6,4.308,2.500,1.723,0.991
53,"(24, 34]","(55, 60]",Male,28,11,25,12,2.545,2.083,1.222,0.614
54,"(24, 34]","(60, 65]",Female,30,7,11,4,4.286,2.750,1.558,1.123
55,"(24, 34]","(65, 70]",Female,25,5,9,4,5.000,2.250,2.222,1.726
56,"(24, 34]","(65, 70]",Male,17,2,5,3,8.500,1.667,5.100,5.336
57,"(24, 34]","(70, 75]",Female,16,4,6,2,4.000,3.000,1.333,1.321
58,"(24, 34]","(75, 80]",Male,9,1,3,1,9.000,3.000,3.000,4.693
59,"(24, 34]","(80, 85]",Female,14,2,4,3,7.000,1.333,5.250,5.648
60,"(34, 54]","(0, 5]",Female,16,15,10,12,1.067,0.833,1.280,0.718
61,"(34, 54]","(0, 5]",Male,7,6,4,9,1.167,0.444,2.625,2.154
62,"(34, 54]","(5, 10]",Female,49,79,40,59,0.620,0.678,0.915,0.255
63,"(34, 54]","(5, 10]",Male,24,41,30,43,0.585,0.698,0.839,0.297
64,"(34, 54]","(10, 15]",Female,108,198,74,157,0.545,0.471,1.157,0.222
65,"(34, 54]","(10, 15]",Male,27,55,58,124,0.491,0.468,1.050,0.302
66,"(34, 54]","(15, 20]",Female,99,210,47,129,0.471,0.364,1.294,0.279
67,"(34, 54]","(15, 20]",Male,39,71,49,120,0.549,0.408,1.345,0.358
68,"(34, 54]","(20, 25]",Female,48,89,31,49,0.539,0.633,0.852,0.252
69,"(34, 54]","(20, 25]",Male,61,71,76,126,0.859,0.603,1.424,0.331
70,"(34, 54]","(25, 30]",Female,37,61,29,56,0.607,0.518,1.171,0.367
71,"(34, 54]","(25, 30]",Male,98,116,97,113,0.845,0.858,0.984,0.198
72,"(34, 54]","(30, 35]",Female,38,66,44,63,0.576,0.698,0.824,0.237
73,"(34, 54]","(30, 35]",Male,163,169,102,127,0.964,0.803,1.201,0.216
74,"(34, 54]","(35, 40]",Female,57,60,86,103,0.950,0.835,1.138,0.274
75,"(34, 54]","(35, 40]",Male,218,245,102,113,0.890,0.903,0.986,0.170
76,"(34, 54]","(40, 45]",Female,81,62,96,124,1.306,0.774,1.688,0.375
77,"(34, 54]","(40, 45]",Male,276,283,110,114,0.975,0.965,1.011,0.168
78,"(34, 54]","(45, 50]",Female,67,61,110,116,1.098,0.948,1.158,0.263
79,"(34, 54]","(45, 50]",Male,291,268,95,91,1.086,1.044,1.040,0.184
80,"(34, 54]","(50, 55]",Female,88,68,125,110,1.294,1.136,1.139,0.243
81,"(34, 54]","(50, 55]",Male,205,160,85,71,1.281,1.197,1.070,0.213
82,"(34, 54]","(55, 60]",Female,92,43,73,61,2.140,1.197,1.788,0.462
83,"(34, 54]","(55, 60]",Male,79,60,54,30,1.317,1.800,0.731,0.212
84,"(34, 54]","(60, 65]",Female,80,46,41,26,1.739,1.577,1.103,0.348
85,"(34, 54]","(60, 65]",Male,57,23,52,22,2.478,2.364,1.048,0.375
86,"(34, 54]","(65, 70]",Female,112,31,37,15,3.613,2.467,1.465,0.543
87,"(34, 54]","(65, 70]",Male,69,14,30,18,4.929,1.667,2.957,1.245
88,"(34, 54]","(70, 75]",Female,129,44,22,10,2.932,2.200,1.333,0.563
89,"(34, 54]","(70, 75]",Male,78,21,26,10,3.714,2.600,1.429,0.641
90,"(34, 54]","(75, 80]",Female,107,26,38,8,4.115,4.750,0.866,0.389
91,"(34, 54]","(75, 80]",Male,57,14,39,10,4.071,3.900,1.044,0.486
92,"(34, 54]","(80, 85]",Male,59,11,28,9,5.364,3.111,1.724,0.874
