,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.882,0.238,3.000
1,"(5, 10]",0.993,0.240,8.000
2,"(10, 15]",1.042,0.180,13.000
3,"(15, 20]",1.163,0.117,18.000
4,"(20, 25]",1.247,0.184,23.000
5,"(25, 30]",1.137,0.234,28.000
6,"(30, 35]",0.923,0.237,33.000
7,"(35, 40]",1.348,0.434,38.000
8,"(40, 45]",1.000,0.327,43.000
9,"(45, 50]",1.432,0.704,48.000
10,"(50, 55]",0.884,0.441,53.000
11,"(55, 60]",0.919,0.636,58.000
12,"(60, 65]",1.298,1.074,63.000
13,"(65, 70]",1.529,1.355,68.000
14,"(70, 75]",2.000,2.122,73.000
15,"(75, 80]",0.444,0.567,78.000
16,"(80, 85]",3.500,5.693,83.000
17,"(85, 90]",1.250,1.958,88.000
