,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,11,10,14,17,1.100,0.824,1.336,0.760
1,"(15, 24]","(0, 5]",Male,12,1,10,7,12.000,1.429,8.400,9.683
2,"(15, 24]","(5, 10]",Female,9,7,8,6,1.286,1.333,0.964,0.714
3,"(15, 24]","(5, 10]",Male,4,4,14,9,1.000,1.556,0.643,0.532
4,"(15, 24]","(10, 15]",Female,54,57,17,25,0.947,0.680,1.393,0.516
5,"(15, 24]","(10, 15]",Male,56,58,110,126,0.966,0.873,1.106,0.258
6,"(15, 24]","(15, 20]",Female,178,183,77,84,0.973,0.917,1.061,0.208
7,"(15, 24]","(15, 20]",Male,322,270,608,648,1.193,0.938,1.271,0.142
8,"(15, 24]","(20, 25]",Female,67,76,68,92,0.882,0.739,1.193,0.283
9,"(15, 24]","(20, 25]",Male,152,145,368,371,1.048,0.992,1.057,0.155
10,"(15, 24]","(25, 30]",Female,16,18,32,38,0.889,0.842,1.056,0.445
11,"(15, 24]","(25, 30]",Male,35,21,94,107,1.667,0.879,1.897,0.596
12,"(15, 24]","(30, 35]",Female,5,8,12,13,0.625,0.923,0.677,0.473
13,"(15, 24]","(30, 35]",Male,21,9,50,42,2.333,1.190,1.960,0.888
14,"(15, 24]","(35, 40]",Female,17,9,16,11,1.889,1.455,1.299,0.741
15,"(15, 24]","(35, 40]",Male,31,15,49,34,2.067,1.441,1.434,0.558
16,"(15, 24]","(40, 45]",Female,32,10,15,6,3.200,2.500,1.280,0.776
17,"(15, 24]","(40, 45]",Male,31,17,46,32,1.824,1.438,1.269,0.486
18,"(15, 24]","(45, 50]",Female,24,11,17,7,2.182,2.429,0.898,0.521
19,"(15, 24]","(45, 50]",Male,28,11,37,11,2.545,3.364,0.757,0.376
20,"(15, 24]","(50, 55]",Female,25,11,11,7,2.273,1.571,1.446,0.876
21,"(15, 24]","(50, 55]",Male,14,5,40,17,2.800,2.353,1.190,0.712
22,"(15, 24]","(55, 60]",Female,7,5,8,4,1.400,2.000,0.700,0.594
23,"(15, 24]","(55, 60]",Male,12,3,21,7,4.000,3.000,1.333,1.041
24,"(15, 24]","(60, 65]",Male,11,2,16,2,5.500,8.000,0.688,0.739
25,"(15, 24]","(65, 70]",Female,9,2,6,2,4.500,3.000,1.500,1.697
26,"(15, 24]","(65, 70]",Male,4,2,6,4,2.000,1.500,1.333,1.442
27,"(15, 24]","(70, 75]",Male,7,1,11,5,7.000,2.200,3.182,3.813
28,"(24, 34]","(0, 5]",Female,33,33,32,33,1.000,0.970,1.031,0.364
29,"(24, 34]","(0, 5]",Male,13,10,29,23,1.300,1.261,1.031,0.523
30,"(24, 34]","(5, 10]",Female,45,63,29,40,0.714,0.725,0.985,0.312
31,"(24, 34]","(5, 10]",Male,15,9,30,34,1.667,0.882,1.889,0.931
32,"(24, 34]","(10, 15]",Female,33,46,24,27,0.717,0.889,0.807,0.295
33,"(24, 34]","(10, 15]",Male,9,22,17,27,0.409,0.630,0.650,0.328
34,"(24, 34]","(15, 20]",Female,24,24,8,20,1.000,0.400,2.500,1.277
35,"(24, 34]","(15, 20]",Male,29,32,53,111,0.906,0.477,1.898,0.588
36,"(24, 34]","(20, 25]",Female,26,36,19,29,0.722,0.655,1.102,0.435
37,"(24, 34]","(20, 25]",Male,135,139,159,208,0.971,0.764,1.271,0.213
38,"(24, 34]","(25, 30]",Female,28,34,56,86,0.824,0.651,1.265,0.394
39,"(24, 34]","(25, 30]",Male,219,229,204,212,0.956,0.962,0.994,0.144
40,"(24, 34]","(30, 35]",Female,44,33,38,74,1.333,0.514,2.596,0.802
41,"(24, 34]","(30, 35]",Male,141,155,121,120,0.910,1.008,0.902,0.163
42,"(24, 34]","(35, 40]",Female,19,20,48,35,0.950,1.371,0.693,0.272
43,"(24, 34]","(35, 40]",Male,47,34,70,57,1.382,1.228,1.126,0.328
