,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.353,0.072,19.000
1,"(22, 27]",1.424,0.094,25.000
2,"(27, 32]",1.208,0.089,30.000
3,"(32, 37]",1.244,0.095,35.000
4,"(37, 42]",1.238,0.108,40.000
5,"(42, 47]",1.019,0.099,45.000
6,"(47, 52]",0.973,0.106,50.000
7,"(52, 57]",1.178,0.146,55.000
8,"(57, 62]",0.862,0.126,60.000
9,"(62, 67]",0.970,0.160,65.000
10,"(67, 72]",0.948,0.187,70.000
11,"(72, 77]",0.739,0.171,75.000
12,"(77, 82]",0.867,0.269,80.000
13,"(82, 87]",0.716,0.330,85.000
14,"(87, 92]",0.811,0.836,90.000
