,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(5, 10]",Male,1,2,7,6,0.500,1.167,0.429,0.577
1,"(15, 24]","(10, 15]",Male,42,40,71,96,1.050,0.740,1.420,0.391
2,"(15, 24]","(15, 20]",Female,3,8,2,9,0.375,0.222,1.688,1.747
3,"(15, 24]","(15, 20]",Male,382,440,359,498,0.868,0.721,1.204,0.133
4,"(15, 24]","(20, 25]",Female,3,3,4,7,1.000,0.571,1.750,1.803
5,"(15, 24]","(20, 25]",Male,224,219,230,291,1.023,0.790,1.294,0.180
6,"(15, 24]","(25, 30]",Male,55,40,39,44,1.375,0.886,1.551,0.476
7,"(15, 24]","(30, 35]",Male,20,17,17,13,1.176,1.308,0.900,0.447
8,"(15, 24]","(35, 40]",Male,9,4,5,2,2.250,2.500,0.900,0.928
9,"(15, 24]","(40, 45]",Male,10,7,2,2,1.429,1.000,1.429,1.594
10,"(15, 24]","(45, 50]",Male,2,2,3,1,1.000,3.000,0.333,0.509
11,"(15, 24]","(50, 55]",Male,1,1,2,1,1.000,2.000,0.500,0.936
12,"(24, 34]","(5, 10]",Male,4,7,14,24,0.571,0.583,0.980,0.699
13,"(24, 34]","(10, 15]",Male,8,16,17,25,0.500,0.680,0.735,0.395
14,"(24, 34]","(15, 20]",Female,2,1,1,1,2.000,1.000,2.000,3.743
15,"(24, 34]","(15, 20]",Male,100,157,37,57,0.637,0.649,0.981,0.247
16,"(24, 34]","(20, 25]",Male,245,303,86,128,0.809,0.672,1.203,0.206
17,"(24, 34]","(25, 30]",Female,3,4,1,6,0.750,0.167,4.500,5.957
18,"(24, 34]","(25, 30]",Male,265,262,78,84,1.011,0.929,1.089,0.203
19,"(24, 34]","(30, 35]",Female,2,1,1,8,2.000,0.125,16.000,25.935
20,"(24, 34]","(30, 35]",Male,125,118,34,44,1.059,0.773,1.371,0.366
21,"(24, 34]","(35, 40]",Female,1,1,1,2,1.000,0.500,2.000,3.743
22,"(24, 34]","(35, 40]",Male,46,30,21,16,1.533,1.312,1.168,0.478
23,"(24, 34]","(40, 45]",Male,30,20,2,6,1.500,0.333,4.500,3.904
24,"(24, 34]","(45, 50]",Male,7,5,5,3,1.400,1.667,0.840,0.787
25,"(34, 54]","(5, 10]",Male,7,16,16,31,0.438,0.516,0.848,0.466
26,"(34, 54]","(10, 15]",Male,19,36,29,78,0.528,0.372,1.420,0.512
27,"(34, 54]","(15, 20]",Male,42,57,20,40,0.737,0.500,1.474,0.508
28,"(34, 54]","(20, 25]",Male,53,97,10,22,0.546,0.455,1.202,0.506
29,"(34, 54]","(25, 30]",Female,3,2,1,1,1.500,1.000,1.500,2.526
30,"(34, 54]","(25, 30]",Male,85,132,12,17,0.644,0.706,0.912,0.369
31,"(34, 54]","(30, 35]",Male,178,201,13,27,0.886,0.481,1.839,0.656
32,"(34, 54]","(35, 40]",Male,268,293,17,18,0.915,0.944,0.968,0.341
33,"(34, 54]","(40, 45]",Female,2,2,1,1,1.000,1.000,1.000,1.733
34,"(34, 54]","(40, 45]",Male,321,331,7,13,0.970,0.538,1.801,0.861
35,"(34, 54]","(45, 50]",Male,294,298,8,12,0.987,0.667,1.480,0.690
36,"(34, 54]","(50, 55]",Male,163,165,7,11,0.988,0.636,1.552,0.774
37,"(34, 54]","(55, 60]",Male,37,32,5,1,1.156,5.000,0.231,0.260
38,"(34, 54]","(65, 70]",Male,3,2,1,1,1.500,1.000,1.500,2.526
39,"(54, 100]","(5, 10]",Male,1,2,2,5,0.500,0.400,1.250,1.855
40,"(54, 100]","(10, 15]",Male,1,9,3,10,0.111,0.300,0.370,0.461
41,"(54, 100]","(15, 20]",Male,1,4,1,5,0.250,0.200,1.250,1.958
42,"(54, 100]","(20, 25]",Male,1,6,1,3,0.167,0.333,0.500,0.791
43,"(54, 100]","(40, 45]",Male,26,40,2,1,0.650,2.000,0.325,0.407
44,"(54, 100]","(45, 50]",Male,55,94,1,1,0.585,1.000,0.585,0.834
45,"(54, 100]","(50, 55]",Male,140,191,6,3,0.733,2.000,0.366,0.263
46,"(54, 100]","(55, 60]",Male,191,220,5,5,0.868,1.000,0.868,0.557
47,"(54, 100]","(60, 65]",Male,137,158,3,4,0.867,0.750,1.156,0.895
48,"(54, 100]","(65, 70]",Male,69,81,1,1,0.852,1.000,0.852,1.214
