,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.035,0.097,3.000
1,"(5, 10]",1.007,0.094,8.000
2,"(10, 15]",0.965,0.070,13.000
3,"(15, 20]",1.215,0.070,18.000
4,"(20, 25]",1.071,0.084,23.000
5,"(25, 30]",1.209,0.134,28.000
6,"(30, 35]",1.237,0.170,33.000
7,"(35, 40]",1.195,0.192,38.000
8,"(40, 45]",1.359,0.243,43.000
9,"(45, 50]",0.824,0.154,48.000
10,"(50, 55]",1.325,0.274,53.000
11,"(55, 60]",0.957,0.218,58.000
12,"(60, 65]",0.966,0.233,63.000
13,"(65, 70]",1.181,0.291,68.000
14,"(70, 75]",0.818,0.229,73.000
15,"(75, 80]",0.858,0.293,78.000
16,"(80, 85]",0.681,0.302,83.000
17,"(85, 90]",0.649,0.487,88.000
18,"(90, 95]",2.500,3.493,93.000
