,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,57,63,103,115,0.905,0.896,1.010,0.235
1,"(15, 24]","(15, 22]",Male,49,39,199,223,1.256,0.892,1.408,0.339
2,"(15, 24]","(22, 27]",Female,16,11,49,35,1.455,1.400,1.039,0.470
3,"(15, 24]","(22, 27]",Male,13,4,72,42,3.250,1.714,1.896,1.149
4,"(15, 24]","(27, 32]",Female,4,5,13,12,0.800,1.083,0.738,0.578
5,"(15, 24]","(27, 32]",Male,5,2,23,18,2.500,1.278,1.957,1.752
6,"(15, 24]","(32, 37]",Female,12,6,13,7,2.000,1.857,1.077,0.740
7,"(15, 24]","(32, 37]",Male,8,1,16,14,8.000,1.143,7.000,7.862
8,"(15, 24]","(37, 42]",Female,9,8,7,1,1.125,7.000,0.161,0.189
9,"(15, 24]","(37, 42]",Male,11,4,20,10,2.750,2.000,1.375,0.966
10,"(15, 24]","(42, 47]",Female,10,9,7,4,1.111,1.750,0.635,0.494
11,"(15, 24]","(42, 47]",Male,14,5,23,6,2.800,3.833,0.730,0.508
12,"(15, 24]","(47, 52]",Female,15,4,10,8,3.750,1.250,3.000,2.213
13,"(15, 24]","(47, 52]",Male,14,2,24,13,7.000,1.846,3.792,3.155
14,"(15, 24]","(52, 57]",Female,10,5,7,2,2.000,3.500,0.571,0.556
15,"(15, 24]","(52, 57]",Male,8,2,16,11,4.000,1.455,2.750,2.430
16,"(15, 24]","(57, 62]",Female,8,2,5,1,4.000,5.000,0.800,1.081
17,"(15, 24]","(72, 77]",Male,2,1,9,3,2.000,3.000,0.667,0.930
18,"(24, 34]","(15, 22]",Female,7,3,4,6,2.333,0.667,3.500,3.312
19,"(24, 34]","(15, 22]",Male,13,11,35,32,1.182,1.094,1.081,0.518
20,"(24, 34]","(22, 27]",Female,6,8,44,38,0.750,1.158,0.648,0.379
21,"(24, 34]","(22, 27]",Male,30,23,59,40,1.304,1.475,0.884,0.308
22,"(24, 34]","(27, 32]",Female,9,8,79,68,1.125,1.162,0.968,0.499
23,"(24, 34]","(27, 32]",Male,35,14,52,64,2.500,0.812,3.077,1.140
24,"(24, 34]","(32, 37]",Female,14,10,57,48,1.400,1.188,1.179,0.543
25,"(24, 34]","(32, 37]",Male,14,7,46,34,2.000,1.353,1.478,0.765
26,"(24, 34]","(37, 42]",Female,3,3,27,33,1.000,0.818,1.222,1.049
27,"(24, 34]","(37, 42]",Male,5,4,24,12,1.250,2.000,0.625,0.475
28,"(24, 34]","(42, 47]",Female,4,7,15,7,0.571,2.143,0.267,0.207
29,"(24, 34]","(42, 47]",Male,6,3,16,12,2.000,1.333,1.500,1.208
30,"(24, 34]","(47, 52]",Female,7,1,4,3,7.000,1.333,5.250,6.903
31,"(24, 34]","(52, 57]",Female,13,2,13,4,6.500,3.250,2.000,1.904
32,"(24, 34]","(52, 57]",Male,6,2,19,4,3.000,4.750,0.632,0.623
33,"(24, 34]","(57, 62]",Female,7,3,12,4,2.333,3.000,0.778,0.701
34,"(24, 34]","(57, 62]",Male,5,1,15,6,5.000,2.500,2.000,2.397
35,"(24, 34]","(62, 67]",Male,5,1,14,3,5.000,4.667,1.071,1.358
36,"(34, 54]","(15, 22]",Female,12,28,16,23,0.429,0.696,0.616,0.294
37,"(34, 54]","(15, 22]",Male,10,19,22,35,0.526,0.629,0.837,0.401
38,"(34, 54]","(22, 27]",Female,11,19,9,16,0.579,0.562,1.029,0.582
39,"(34, 54]","(22, 27]",Male,9,15,23,28,0.600,0.821,0.730,0.372
40,"(34, 54]","(27, 32]",Female,8,21,15,27,0.381,0.556,0.686,0.362
41,"(34, 54]","(27, 32]",Male,11,11,20,31,1.000,0.645,1.550,0.800
42,"(34, 54]","(32, 37]",Female,9,14,38,39,0.643,0.974,0.660,0.321
43,"(34, 54]","(32, 37]",Male,18,19,29,38,0.947,0.763,1.241,0.514
44,"(34, 54]","(37, 42]",Female,15,12,66,57,1.250,1.158,1.080,0.465
45,"(34, 54]","(37, 42]",Male,33,28,41,47,1.179,0.872,1.351,0.457
46,"(34, 54]","(42, 47]",Female,12,11,83,82,1.091,1.012,1.078,0.483
47,"(34, 54]","(42, 47]",Male,32,18,32,37,1.778,0.865,2.056,0.790
48,"(34, 54]","(47, 52]",Female,16,10,119,90,1.600,1.322,1.210,0.520
49,"(34, 54]","(47, 52]",Male,24,17,60,39,1.412,1.538,0.918,0.350
50,"(34, 54]","(52, 57]",Female,26,11,85,74,2.364,1.149,2.058,0.816
51,"(34, 54]","(52, 57]",Male,16,6,39,24,2.667,1.625,1.641,0.897
52,"(34, 54]","(57, 62]",Female,15,6,54,35,2.500,1.543,1.620,0.862
53,"(34, 54]","(57, 62]",Male,7,3,32,20,2.333,1.600,1.458,1.091
54,"(34, 54]","(62, 67]",Female,15,5,23,11,3.000,2.091,1.435,0.911
55,"(34, 54]","(62, 67]",Male,7,5,26,9,1.400,2.889,0.485,0.341
56,"(34, 54]","(67, 72]",Female,7,1,20,10,7.000,2.000,3.500,3.983
57,"(34, 54]","(72, 77]",Female,9,5,12,2,1.800,6.000,0.300,0.284
58,"(34, 54]","(72, 77]",Male,9,3,17,8,3.000,2.125,1.412,1.121
59,"(34, 54]","(77, 82]",Female,5,2,3,4,2.500,0.750,3.333,3.780
60,"(54, 100]","(15, 22]",Female,4,12,3,9,0.333,0.333,1.000,0.883
61,"(54, 100]","(15, 22]",Male,2,9,5,21,0.222,0.238,0.933,0.866
62,"(54, 100]","(22, 27]",Female,2,15,4,10,0.133,0.400,0.333,0.320
63,"(54, 100]","(22, 27]",Male,1,6,4,14,0.167,0.286,0.583,0.712
64,"(54, 100]","(27, 32]",Female,2,16,5,12,0.125,0.417,0.300,0.276
65,"(54, 100]","(27, 32]",Male,1,9,9,7,0.111,1.286,0.086,0.101
66,"(54, 100]","(32, 37]",Female,6,24,7,14,0.250,0.500,0.500,0.326
67,"(54, 100]","(32, 37]",Male,4,14,9,23,0.286,0.391,0.730,0.505
