,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(10, 15]",Female,1,2,3,4,0.500,0.750,0.667,0.963
1,"(15, 24]","(10, 15]",Male,1,5,10,10,0.200,1.000,0.200,0.237
2,"(15, 24]","(15, 20]",Female,5,10,4,13,0.500,0.308,1.625,1.289
3,"(15, 24]","(15, 20]",Male,24,33,37,48,0.727,0.771,0.943,0.330
4,"(15, 24]","(20, 25]",Male,9,14,22,34,0.643,0.647,0.994,0.506
5,"(15, 24]","(25, 30]",Male,6,5,6,9,1.200,0.667,1.800,1.448
6,"(15, 24]","(40, 45]",Male,2,1,1,2,2.000,0.500,4.000,6.931
7,"(24, 34]","(0, 5]",Female,3,6,6,7,0.500,0.857,0.583,0.526
8,"(24, 34]","(5, 10]",Female,7,12,4,6,0.583,0.667,0.875,0.703
9,"(24, 34]","(5, 10]",Male,5,5,6,2,1.000,3.000,0.333,0.345
10,"(24, 34]","(10, 15]",Female,2,4,2,1,0.500,2.000,0.250,0.375
11,"(24, 34]","(10, 15]",Male,3,4,5,6,0.750,0.833,0.900,0.878
12,"(24, 34]","(15, 20]",Male,6,5,6,9,1.200,0.667,1.800,1.448
13,"(24, 34]","(20, 25]",Female,2,2,3,5,1.000,0.600,1.667,2.065
14,"(24, 34]","(20, 25]",Male,5,8,12,20,0.625,0.600,1.042,0.707
15,"(24, 34]","(25, 30]",Male,2,5,12,10,0.400,1.200,0.333,0.314
16,"(24, 34]","(30, 35]",Female,4,2,4,2,2.000,2.000,1.000,1.226
17,"(24, 34]","(30, 35]",Male,5,3,8,1,1.667,8.000,0.208,0.268
18,"(24, 34]","(35, 40]",Male,3,3,3,6,1.000,0.500,2.000,2.163
19,"(24, 34]","(40, 45]",Male,4,3,1,3,1.333,0.333,4.000,5.541
20,"(24, 34]","(45, 50]",Male,2,2,2,1,1.000,2.000,0.500,0.791
21,"(34, 54]","(0, 5]",Male,2,3,2,3,0.667,0.667,1.000,1.292
22,"(34, 54]","(5, 10]",Female,4,8,1,3,0.500,0.333,1.500,1.962
23,"(34, 54]","(5, 10]",Male,4,2,5,8,2.000,0.625,3.200,3.322
24,"(34, 54]","(10, 15]",Female,6,9,3,7,0.667,0.429,1.556,1.353
25,"(34, 54]","(10, 15]",Male,3,6,2,5,0.500,0.400,1.250,1.371
26,"(34, 54]","(15, 20]",Male,3,8,3,12,0.375,0.250,1.500,1.405
27,"(34, 54]","(20, 25]",Male,2,7,5,11,0.286,0.455,0.629,0.608
28,"(34, 54]","(25, 30]",Male,2,4,4,6,0.500,0.667,0.750,0.811
29,"(34, 54]","(30, 35]",Male,1,4,4,5,0.250,0.800,0.312,0.408
30,"(34, 54]","(35, 40]",Male,1,2,4,8,0.500,0.500,1.000,1.370
31,"(34, 54]","(40, 45]",Male,3,4,4,4,0.750,1.000,0.750,0.782
32,"(34, 54]","(45, 50]",Female,1,1,2,5,1.000,0.400,2.500,4.110
33,"(34, 54]","(45, 50]",Male,4,3,4,4,1.333,1.000,1.333,1.389
34,"(54, 100]","(5, 10]",Male,1,5,2,3,0.200,0.667,0.300,0.428
