,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.302,0.282,19.000
1,"(22, 27]",0.944,0.260,25.000
2,"(27, 32]",1.061,0.322,30.000
3,"(32, 37]",0.912,0.283,35.000
4,"(37, 42]",0.951,0.287,40.000
5,"(42, 47]",0.956,0.283,45.000
6,"(47, 52]",1.195,0.349,50.000
7,"(52, 57]",1.109,0.274,55.000
8,"(57, 62]",0.795,0.212,60.000
9,"(62, 67]",0.671,0.176,65.000
10,"(67, 72]",0.808,0.262,70.000
11,"(72, 77]",0.580,0.188,75.000
12,"(77, 82]",0.707,0.243,80.000
13,"(82, 87]",0.656,0.273,85.000
14,"(87, 92]",0.469,0.376,90.000
