,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 20]",Female,2,4,1,4,0.500,0.250,2.000,2.830
1,"(15, 24]","(15, 20]",Male,10,8,17,24,1.250,0.708,1.765,1.011
2,"(15, 24]","(20, 25]",Male,6,10,9,18,0.600,0.500,1.200,0.792
3,"(15, 24]","(25, 30]",Male,3,3,4,6,1.000,0.667,1.500,1.563
4,"(24, 34]","(0, 5]",Female,1,1,4,5,1.000,0.800,1.250,1.958
5,"(24, 34]","(15, 20]",Male,1,1,3,4,1.000,0.750,1.333,2.144
6,"(24, 34]","(20, 25]",Male,2,5,3,8,0.400,0.375,1.067,1.149
7,"(24, 34]","(25, 30]",Male,2,2,2,7,1.000,0.286,3.500,4.490
8,"(24, 34]","(30, 35]",Female,2,1,2,1,2.000,2.000,1.000,1.733
9,"(24, 34]","(40, 45]",Male,3,1,1,2,3.000,0.500,6.000,10.104
10,"(34, 54]","(0, 5]",Male,1,2,1,3,0.500,0.333,1.500,2.526
11,"(34, 54]","(5, 10]",Female,3,4,1,1,0.750,1.000,0.750,1.206
12,"(34, 54]","(5, 10]",Male,1,1,4,3,1.000,1.333,0.750,1.206
13,"(34, 54]","(10, 15]",Female,2,3,2,5,0.667,0.400,1.667,2.065
14,"(34, 54]","(20, 25]",Male,2,4,3,7,0.500,0.429,1.167,1.293
15,"(34, 54]","(25, 30]",Male,1,1,2,1,1.000,2.000,0.500,0.936
16,"(34, 54]","(30, 35]",Male,1,3,2,1,0.333,2.000,0.167,0.281
17,"(34, 54]","(45, 50]",Male,2,1,2,2,2.000,1.000,2.000,3.164
