,Subject Age,R,DeltaR,Age
0,"(5, 10]",1.882,0.973,8.000
1,"(10, 15]",1.165,0.282,13.000
2,"(15, 20]",1.010,0.123,18.000
3,"(20, 25]",1.115,0.144,23.000
4,"(25, 30]",0.904,0.151,28.000
5,"(30, 35]",0.838,0.167,33.000
6,"(35, 40]",1.193,0.271,38.000
7,"(40, 45]",1.252,0.275,43.000
8,"(45, 50]",1.357,0.332,48.000
9,"(50, 55]",1.190,0.320,53.000
10,"(55, 60]",1.103,0.271,58.000
11,"(60, 65]",1.265,0.335,63.000
12,"(65, 70]",1.348,0.362,68.000
13,"(70, 75]",0.946,0.261,73.000
14,"(75, 80]",1.047,0.342,78.000
15,"(80, 85]",1.226,0.302,83.000
16,"(85, 90]",1.212,0.393,88.000
17,"(90, 95]",0.534,0.298,93.000
