,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,2,1,1,1,2.000,1.000,2.000,3.743
1,"(15, 24]","(0, 5]",Male,1,1,2,1,1.000,2.000,0.500,0.936
2,"(15, 24]","(10, 15]",Male,4,2,9,8,2.000,1.125,1.778,1.768
3,"(15, 24]","(15, 20]",Female,6,10,10,7,0.600,1.429,0.420,0.301
4,"(15, 24]","(15, 20]",Male,13,14,37,39,0.929,0.949,0.979,0.442
5,"(15, 24]","(20, 25]",Female,6,5,3,6,1.200,0.500,2.400,2.237
6,"(15, 24]","(20, 25]",Male,4,6,26,29,0.667,0.897,0.744,0.522
7,"(15, 24]","(25, 30]",Female,1,2,1,3,0.500,0.333,1.500,2.526
8,"(15, 24]","(25, 30]",Male,2,1,5,6,2.000,0.833,2.400,3.281
9,"(15, 24]","(30, 35]",Male,1,1,2,2,1.000,1.000,1.000,1.733
10,"(24, 34]","(0, 5]",Female,2,2,1,2,1.000,0.500,2.000,3.164
11,"(24, 34]","(5, 10]",Female,4,1,2,5,4.000,0.400,10.000,13.973
12,"(24, 34]","(5, 10]",Male,1,3,1,1,0.333,1.000,0.333,0.609
13,"(24, 34]","(15, 20]",Male,3,1,2,6,3.000,0.333,9.000,12.736
14,"(24, 34]","(20, 25]",Male,2,5,12,15,0.400,0.800,0.500,0.462
15,"(24, 34]","(25, 30]",Male,4,5,9,10,0.800,0.900,0.889,0.724
16,"(24, 34]","(30, 35]",Female,2,2,2,3,1.000,0.667,1.500,2.032
17,"(24, 34]","(30, 35]",Male,2,1,3,6,2.000,0.500,4.000,5.660
18,"(24, 34]","(35, 40]",Female,1,1,2,1,1.000,2.000,0.500,0.936
19,"(34, 54]","(5, 10]",Male,2,3,1,2,0.667,0.500,1.333,2.038
20,"(34, 54]","(35, 40]",Male,1,2,2,1,0.500,2.000,0.250,0.433
21,"(34, 54]","(40, 45]",Male,3,1,2,3,3.000,0.667,4.500,6.628
22,"(34, 54]","(70, 75]",Male,1,1,2,1,1.000,2.000,0.500,0.936
23,"(54, 100]","(40, 45]",Male,1,1,1,1,1.000,1.000,1.000,2.001
