,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,130,112,141,170,1.161,0.829,1.399,0.251
1,"(15, 24]","(15, 22]",Male,96,66,195,197,1.455,0.990,1.469,0.287
2,"(15, 24]","(22, 27]",Female,32,24,79,79,1.333,1.000,1.333,0.423
3,"(15, 24]","(22, 27]",Male,24,19,57,37,1.263,1.541,0.820,0.308
4,"(15, 24]","(27, 32]",Female,8,8,28,26,1.000,1.077,0.929,0.531
5,"(15, 24]","(27, 32]",Male,6,3,17,10,2.000,1.700,1.176,0.957
6,"(15, 24]","(32, 37]",Female,8,5,10,5,1.600,2.000,0.800,0.634
7,"(15, 24]","(32, 37]",Male,7,3,11,7,2.333,1.571,1.485,1.253
8,"(15, 24]","(37, 42]",Female,17,13,4,3,1.308,1.333,0.981,0.833
9,"(15, 24]","(37, 42]",Male,12,3,9,4,4.000,2.250,1.778,1.570
10,"(15, 24]","(42, 47]",Female,23,13,4,6,1.769,0.667,2.654,1.949
11,"(15, 24]","(42, 47]",Male,17,8,7,6,2.125,1.167,1.821,1.283
12,"(15, 24]","(47, 52]",Female,17,9,8,5,1.889,1.600,1.181,0.833
13,"(15, 24]","(47, 52]",Male,5,1,12,6,5.000,2.000,2.500,3.013
14,"(15, 24]","(52, 57]",Female,14,5,5,1,2.800,5.000,0.560,0.680
15,"(15, 24]","(52, 57]",Male,5,3,6,1,1.667,6.000,0.278,0.362
16,"(15, 24]","(57, 62]",Male,3,1,3,1,3.000,3.000,1.000,1.634
17,"(15, 24]","(67, 72]",Female,5,3,2,1,1.667,2.000,0.833,1.189
18,"(15, 24]","(72, 77]",Male,1,1,3,1,1.000,3.000,0.333,0.609
19,"(24, 34]","(15, 22]",Female,13,15,5,9,0.867,0.556,1.560,1.055
20,"(24, 34]","(15, 22]",Male,20,11,19,19,1.818,1.000,1.818,0.907
21,"(24, 34]","(22, 27]",Female,21,16,38,46,1.312,0.826,1.589,0.637
22,"(24, 34]","(22, 27]",Male,35,33,36,38,1.061,0.947,1.120,0.380
23,"(24, 34]","(27, 32]",Female,23,12,76,88,1.917,0.864,2.219,0.870
24,"(24, 34]","(27, 32]",Male,24,14,34,33,1.714,1.030,1.664,0.697
25,"(24, 34]","(32, 37]",Female,10,11,46,58,0.909,0.793,1.146,0.553
26,"(24, 34]","(32, 37]",Male,14,9,9,8,1.556,1.125,1.383,0.897
27,"(24, 34]","(37, 42]",Female,10,7,22,22,1.429,1.000,1.429,0.828
28,"(24, 34]","(37, 42]",Male,3,9,9,12,0.333,0.750,0.444,0.356
