,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.397,0.163,19.000
1,"(22, 27]",1.215,0.198,25.000
2,"(27, 32]",1.710,0.317,30.000
3,"(32, 37]",1.260,0.268,35.000
4,"(37, 42]",1.120,0.227,40.000
5,"(42, 47]",1.409,0.291,45.000
6,"(47, 52]",0.998,0.196,50.000
7,"(52, 57]",0.667,0.131,55.000
8,"(57, 62]",0.766,0.150,60.000
9,"(62, 67]",0.653,0.131,65.000
10,"(67, 72]",0.559,0.116,70.000
11,"(72, 77]",0.624,0.135,75.000
12,"(77, 82]",0.739,0.155,80.000
13,"(82, 87]",1.005,0.278,85.000
14,"(87, 92]",1.092,0.474,90.000
15,"(92, 97]",0.364,0.477,95.000
