,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,7,7,4,6,1.000,0.667,1.500,1.259
1,"(15, 24]","(0, 5]",Male,3,2,2,1,1.500,2.000,0.750,1.146
2,"(15, 24]","(5, 10]",Female,4,3,3,4,1.333,0.750,1.778,1.922
3,"(15, 24]","(5, 10]",Male,1,2,1,1,0.500,1.000,0.500,0.936
4,"(15, 24]","(10, 15]",Female,28,26,12,10,1.077,1.200,0.897,0.458
5,"(15, 24]","(10, 15]",Male,28,27,26,28,1.037,0.929,1.117,0.432
6,"(15, 24]","(15, 20]",Female,93,108,43,64,0.861,0.672,1.282,0.318
7,"(15, 24]","(15, 20]",Male,146,114,158,151,1.281,1.046,1.224,0.216
8,"(15, 24]","(20, 25]",Female,37,50,39,52,0.740,0.750,0.987,0.303
9,"(15, 24]","(20, 25]",Male,67,76,74,83,0.882,0.892,0.989,0.234
10,"(15, 24]","(25, 30]",Female,11,9,16,21,1.222,0.762,1.604,0.900
11,"(15, 24]","(25, 30]",Male,13,7,11,15,1.857,0.733,2.532,1.561
12,"(15, 24]","(30, 35]",Female,4,4,2,8,1.000,0.250,4.000,4.247
13,"(15, 24]","(30, 35]",Male,6,4,12,9,1.500,1.333,1.125,0.881
14,"(15, 24]","(35, 40]",Female,9,9,3,2,1.000,1.500,0.667,0.686
15,"(15, 24]","(35, 40]",Male,5,3,7,6,1.667,1.167,1.429,1.313
16,"(15, 24]","(40, 45]",Female,14,9,6,2,1.556,3.000,0.519,0.479
17,"(15, 24]","(40, 45]",Male,12,4,9,2,3.000,4.500,0.667,0.649
18,"(15, 24]","(45, 50]",Female,18,8,2,2,2.250,1.000,2.250,2.447
19,"(15, 24]","(45, 50]",Male,9,6,8,2,1.500,4.000,0.375,0.357
20,"(15, 24]","(50, 55]",Male,10,3,2,3,3.333,0.667,5.000,5.633
21,"(15, 24]","(55, 60]",Female,8,2,1,2,4.000,0.500,8.000,11.669
22,"(15, 24]","(60, 65]",Male,7,2,4,1,3.500,4.000,0.875,1.205
23,"(24, 34]","(0, 5]",Female,13,11,9,16,1.182,0.562,2.101,1.232
24,"(24, 34]","(0, 5]",Male,7,5,11,6,1.400,1.833,0.764,0.593
25,"(24, 34]","(5, 10]",Female,17,16,17,15,1.062,1.133,0.938,0.468
26,"(24, 34]","(5, 10]",Male,6,6,4,7,1.000,0.571,1.750,1.494
27,"(24, 34]","(10, 15]",Female,12,13,4,11,0.923,0.364,2.538,1.802
28,"(24, 34]","(10, 15]",Male,3,3,2,6,1.000,0.333,3.000,3.467
29,"(24, 34]","(15, 20]",Female,10,12,2,4,0.833,0.500,1.667,1.612
30,"(24, 34]","(15, 20]",Male,13,14,8,15,0.929,0.533,1.741,1.019
31,"(24, 34]","(20, 25]",Female,13,13,12,18,1.000,0.667,1.500,0.815
32,"(24, 34]","(20, 25]",Male,72,69,22,36,1.043,0.611,1.708,0.551
33,"(24, 34]","(25, 30]",Female,16,26,21,24,0.615,0.875,0.703,0.309
34,"(24, 34]","(25, 30]",Male,81,78,35,39,1.038,0.897,1.157,0.331
35,"(24, 34]","(30, 35]",Female,13,17,17,22,0.765,0.773,0.990,0.487
36,"(24, 34]","(30, 35]",Male,51,39,23,18,1.308,1.278,1.023,0.392
37,"(24, 34]","(35, 40]",Female,8,9,9,18,0.889,0.500,1.778,1.132
38,"(24, 34]","(35, 40]",Male,22,11,14,11,2.000,1.273,1.571,0.862
39,"(24, 34]","(40, 45]",Female,7,8,3,4,0.875,0.750,1.167,1.078
40,"(24, 34]","(40, 45]",Male,9,6,7,5,1.500,1.400,1.071,0.846
41,"(24, 34]","(45, 50]",Female,15,9,3,1,1.667,3.000,0.556,0.683
42,"(24, 34]","(45, 50]",Male,6,2,13,9,3.000,1.444,2.077,1.923
43,"(24, 34]","(50, 55]",Female,16,5,1,1,3.200,1.000,3.200,4.816
44,"(24, 34]","(50, 55]",Male,9,4,6,3,2.250,2.000,1.125,1.045
45,"(24, 34]","(55, 60]",Female,21,6,2,1,3.500,2.000,1.750,2.293
46,"(24, 34]","(55, 60]",Male,4,3,6,3,1.333,2.000,0.667,0.695
47,"(24, 34]","(60, 65]",Female,12,5,4,2,2.400,2.000,1.200,1.221
48,"(24, 34]","(65, 70]",Female,8,2,1,1,4.000,1.000,4.000,6.484
49,"(24, 34]","(70, 75]",Female,4,2,6,1,2.000,6.000,0.333,0.462
50,"(34, 54]","(0, 5]",Female,8,12,2,6,0.667,0.333,2.000,1.873
51,"(34, 54]","(0, 5]",Male,3,1,2,2,3.000,1.000,3.000,4.585
52,"(34, 54]","(5, 10]",Female,12,14,9,17,0.857,0.529,1.619,0.926
53,"(34, 54]","(5, 10]",Male,6,10,4,11,0.600,0.364,1.650,1.289
54,"(34, 54]","(10, 15]",Female,32,58,17,39,0.552,0.436,1.266,0.466
55,"(34, 54]","(10, 15]",Male,12,17,8,25,0.706,0.320,2.206,1.228
56,"(34, 54]","(15, 20]",Female,30,54,10,35,0.556,0.286,1.944,0.832
57,"(34, 54]","(15, 20]",Male,11,15,10,20,0.733,0.500,1.467,0.817
58,"(34, 54]","(20, 25]",Female,12,16,8,10,0.750,0.800,0.938,0.573
59,"(34, 54]","(20, 25]",Male,9,12,13,20,0.750,0.650,1.154,0.657
60,"(34, 54]","(25, 30]",Female,11,21,6,10,0.524,0.600,0.873,0.557
61,"(34, 54]","(25, 30]",Male,30,28,17,15,1.071,1.133,0.945,0.420
62,"(34, 54]","(30, 35]",Female,16,25,18,14,0.640,1.286,0.498,0.240
63,"(34, 54]","(30, 35]",Male,48,42,10,17,1.143,0.588,1.943,0.882
64,"(34, 54]","(35, 40]",Female,18,13,15,30,1.385,0.500,2.769,1.342
65,"(34, 54]","(35, 40]",Male,57,68,18,14,0.838,1.286,0.652,0.262
66,"(34, 54]","(40, 45]",Female,14,16,27,39,0.875,0.692,1.264,0.564
67,"(34, 54]","(40, 45]",Male,83,75,19,22,1.107,0.864,1.281,0.455
68,"(34, 54]","(45, 50]",Female,18,19,28,27,0.947,1.037,0.914,0.391
69,"(34, 54]","(45, 50]",Male,70,95,21,16,0.737,1.312,0.561,0.208
70,"(34, 54]","(50, 55]",Female,21,17,26,30,1.235,0.867,1.425,0.606
71,"(34, 54]","(50, 55]",Male,56,54,20,16,1.037,1.250,0.830,0.323
72,"(34, 54]","(55, 60]",Female,21,11,19,16,1.909,1.188,1.608,0.814
73,"(34, 54]","(55, 60]",Male,23,17,12,10,1.353,1.200,1.127,0.605
74,"(34, 54]","(60, 65]",Female,23,12,11,6,1.917,1.833,1.045,0.650
75,"(34, 54]","(60, 65]",Male,10,5,13,6,2.000,2.167,0.923,0.682
76,"(34, 54]","(65, 70]",Female,39,14,11,4,2.786,2.750,1.013,0.672
77,"(34, 54]","(65, 70]",Male,10,1,5,1,10.000,5.000,2.000,3.035
78,"(34, 54]","(70, 75]",Male,18,6,7,1,3.000,7.000,0.429,0.501
79,"(34, 54]","(75, 80]",Female,35,6,8,2,5.833,4.000,1.458,1.323
80,"(34, 54]","(75, 80]",Male,13,2,13,5,6.500,2.600,2.500,2.313
81,"(34, 54]","(80, 85]",Male,13,3,10,3,4.333,3.333,1.300,1.196
82,"(54, 100]","(5, 10]",Female,4,9,2,7,0.444,0.286,1.556,1.561
83,"(54, 100]","(10, 15]",Female,6,17,2,17,0.353,0.118,3.000,2.661
84,"(54, 100]","(10, 15]",Male,3,7,1,6,0.429,0.167,2.571,3.298
85,"(54, 100]","(15, 20]",Female,2,13,1,7,0.154,0.143,1.077,1.413
86,"(54, 100]","(15, 20]",Male,2,6,1,9,0.333,0.111,3.000,4.003
87,"(54, 100]","(20, 25]",Female,4,12,2,3,0.333,0.667,0.500,0.541
88,"(54, 100]","(20, 25]",Male,3,7,3,10,0.429,0.300,1.429,1.364
89,"(54, 100]","(25, 30]",Female,6,9,1,5,0.667,0.200,3.333,4.056
90,"(54, 100]","(25, 30]",Male,1,5,3,4,0.200,0.750,0.267,0.356
91,"(54, 100]","(30, 35]",Female,4,14,1,3,0.286,0.333,0.857,1.103
92,"(54, 100]","(30, 35]",Male,3,6,3,11,0.500,0.273,1.833,1.765
93,"(54, 100]","(35, 40]",Female,7,11,2,4,0.636,0.500,1.273,1.264
94,"(54, 100]","(35, 40]",Male,3,6,5,4,0.500,1.250,0.400,0.390
