,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,148,141,246,256,1.050,0.961,1.092,0.170
1,"(15, 24]","(15, 22]",Male,95,72,504,500,1.319,1.008,1.309,0.230
2,"(15, 24]","(22, 27]",Female,42,36,121,116,1.167,1.043,1.118,0.298
3,"(15, 24]","(22, 27]",Male,20,19,160,126,1.053,1.270,0.829,0.286
4,"(15, 24]","(27, 32]",Female,20,14,41,33,1.429,1.242,1.150,0.486
5,"(15, 24]","(27, 32]",Male,9,3,46,29,3.000,1.586,1.891,1.342
6,"(15, 24]","(32, 37]",Female,13,4,20,14,3.250,1.429,2.275,1.528
7,"(15, 24]","(32, 37]",Male,8,7,25,12,1.143,2.083,0.549,0.344
8,"(15, 24]","(37, 42]",Female,21,10,6,6,2.100,1.000,2.100,1.460
9,"(15, 24]","(37, 42]",Male,8,7,20,12,1.143,1.667,0.686,0.436
10,"(15, 24]","(42, 47]",Female,13,3,7,5,4.333,1.400,3.095,2.691
11,"(15, 24]","(42, 47]",Male,2,1,15,9,2.000,1.667,1.200,1.556
12,"(15, 24]","(47, 52]",Female,9,7,5,2,1.286,2.500,0.514,0.503
13,"(15, 24]","(47, 52]",Male,5,2,12,6,2.500,2.000,1.250,1.220
14,"(15, 24]","(52, 57]",Female,4,6,4,3,0.667,1.333,0.500,0.501
15,"(15, 24]","(57, 62]",Female,6,1,1,1,6.000,1.000,6.000,10.681
16,"(15, 24]","(62, 67]",Female,3,2,5,1,1.500,5.000,0.300,0.428
17,"(24, 34]","(15, 22]",Female,17,15,18,30,1.133,0.600,1.889,0.880
18,"(24, 34]","(15, 22]",Male,18,12,60,48,1.500,1.250,1.200,0.508
19,"(24, 34]","(22, 27]",Female,25,20,51,57,1.250,0.895,1.397,0.503
20,"(24, 34]","(22, 27]",Male,34,33,92,99,1.030,0.929,1.109,0.320
21,"(24, 34]","(27, 32]",Female,22,23,83,92,0.957,0.902,1.060,0.359
