,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,2,6,9,9,0.333,1.000,0.333,0.315
1,"(15, 24]","(0, 5]",Male,5,6,5,7,0.833,0.714,1.167,0.984
2,"(15, 24]","(5, 10]",Female,1,2,2,2,0.500,1.000,0.500,0.791
3,"(15, 24]","(10, 15]",Female,3,5,2,1,0.600,2.000,0.300,0.428
4,"(15, 24]","(10, 15]",Male,14,10,31,22,1.400,1.409,0.994,0.498
5,"(15, 24]","(15, 20]",Female,18,21,9,17,0.857,0.529,1.619,0.850
6,"(15, 24]","(15, 20]",Male,34,32,68,80,1.062,0.850,1.250,0.376
7,"(15, 24]","(20, 25]",Female,2,8,1,6,0.250,0.167,1.500,2.009
8,"(15, 24]","(20, 25]",Male,6,8,26,37,0.750,0.703,1.067,0.640
9,"(15, 24]","(25, 30]",Male,6,4,6,8,1.500,0.750,2.000,1.686
10,"(15, 24]","(30, 35]",Male,2,1,5,3,2.000,1.667,1.200,1.712
11,"(15, 24]","(35, 40]",Male,4,3,1,1,1.333,1.000,1.333,2.144
12,"(24, 34]","(0, 5]",Female,16,15,7,14,1.067,0.500,2.133,1.255
13,"(24, 34]","(0, 5]",Male,8,11,10,7,0.727,1.429,0.509,0.346
14,"(24, 34]","(5, 10]",Female,11,15,10,14,0.733,0.714,1.027,0.591
15,"(24, 34]","(5, 10]",Male,6,8,9,10,0.750,0.900,0.833,0.592
16,"(24, 34]","(10, 15]",Female,4,6,4,8,0.667,0.500,1.333,1.188
17,"(24, 34]","(10, 15]",Male,6,7,5,5,0.857,1.000,0.857,0.723
18,"(24, 34]","(15, 20]",Male,7,7,9,12,1.000,0.750,1.333,0.926
19,"(24, 34]","(20, 25]",Female,1,3,2,3,0.333,0.667,0.500,0.736
20,"(24, 34]","(20, 25]",Male,6,9,14,16,0.667,0.875,0.762,0.490
21,"(24, 34]","(25, 30]",Female,1,2,1,2,0.500,0.500,1.000,1.733
22,"(24, 34]","(25, 30]",Male,5,10,7,11,0.500,0.636,0.786,0.575
23,"(24, 34]","(30, 35]",Male,4,4,7,7,1.000,1.000,1.000,0.888
24,"(24, 34]","(35, 40]",Male,3,2,3,8,1.500,0.375,4.000,4.550
25,"(24, 34]","(40, 45]",Male,2,1,3,2,2.000,1.500,1.333,2.038
26,"(24, 34]","(50, 55]",Male,6,4,3,2,1.500,1.500,1.000,1.119
27,"(24, 34]","(65, 70]",Male,1,1,2,1,1.000,2.000,0.500,0.936
28,"(34, 54]","(0, 5]",Female,3,6,4,8,0.500,0.500,1.000,0.937
29,"(34, 54]","(0, 5]",Male,4,4,3,5,1.000,0.600,1.667,1.696
30,"(34, 54]","(5, 10]",Female,4,10,3,5,0.400,0.600,0.667,0.627
31,"(34, 54]","(5, 10]",Male,8,15,9,11,0.533,0.818,0.652,0.410
32,"(34, 54]","(10, 15]",Female,6,14,2,12,0.429,0.167,2.571,2.334
33,"(34, 54]","(10, 15]",Male,10,16,14,18,0.625,0.778,0.804,0.434
34,"(34, 54]","(15, 20]",Female,2,6,3,5,0.333,0.600,0.556,0.609
35,"(34, 54]","(15, 20]",Male,7,8,7,15,0.875,0.467,1.875,1.299
36,"(34, 54]","(20, 25]",Male,2,2,4,7,1.000,0.571,1.750,2.067
37,"(34, 54]","(25, 30]",Male,1,3,4,4,0.333,1.000,0.333,0.452
38,"(34, 54]","(30, 35]",Male,6,5,1,3,1.200,0.333,3.600,4.697
39,"(34, 54]","(35, 40]",Male,5,9,4,4,0.556,1.000,0.556,0.501
40,"(34, 54]","(40, 45]",Male,6,6,4,6,1.000,0.667,1.500,1.301
41,"(34, 54]","(45, 50]",Male,8,10,3,4,0.800,0.750,1.067,0.960
42,"(34, 54]","(50, 55]",Male,5,3,2,1,1.667,2.000,0.833,1.189
43,"(34, 54]","(65, 70]",Male,5,2,3,2,2.500,1.500,1.667,2.065
44,"(54, 100]","(10, 15]",Male,3,1,3,5,3.000,0.600,5.000,6.836
45,"(54, 100]","(55, 60]",Male,10,8,1,1,1.250,1.000,1.250,1.866
46,"(54, 100]","(60, 65]",Female,3,1,1,1,3.000,1.000,3.000,5.479
47,"(54, 100]","(60, 65]",Male,8,6,1,2,1.333,0.500,2.667,3.572
48,"(54, 100]","(65, 70]",Male,6,8,4,2,0.750,2.000,0.375,0.383
49,"(54, 100]","(70, 75]",Male,6,4,2,1,1.500,2.000,0.750,1.039
50,"(54, 100]","(75, 80]",Male,4,5,3,1,0.800,3.000,0.267,0.356
