,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,21,16,21,14,1.312,1.500,0.875,0.421
1,"(15, 24]","(0, 5]",Male,7,4,10,7,1.750,1.429,1.225,0.979
2,"(15, 24]","(5, 10]",Female,7,6,3,2,1.167,1.500,0.778,0.832
3,"(15, 24]","(10, 15]",Female,20,30,12,10,0.667,1.200,0.556,0.288
4,"(15, 24]","(10, 15]",Male,38,26,57,48,1.462,1.188,1.231,0.400
5,"(15, 24]","(15, 20]",Female,125,128,38,55,0.977,0.691,1.413,0.354
6,"(15, 24]","(15, 20]",Male,220,224,401,411,0.982,0.976,1.007,0.129
7,"(15, 24]","(20, 25]",Female,42,47,49,58,0.894,0.845,1.058,0.309
8,"(15, 24]","(20, 25]",Male,113,96,190,204,1.177,0.931,1.264,0.226
9,"(15, 24]","(25, 30]",Female,14,15,11,16,0.933,0.688,1.358,0.736
10,"(15, 24]","(25, 30]",Male,28,19,50,47,1.474,1.064,1.385,0.504
11,"(15, 24]","(30, 35]",Female,8,7,8,7,1.143,1.143,1.000,0.734
12,"(15, 24]","(30, 35]",Male,13,5,24,26,2.600,0.923,2.817,1.689
13,"(15, 24]","(35, 40]",Female,7,9,3,2,0.778,1.500,0.519,0.541
14,"(15, 24]","(35, 40]",Male,5,4,11,10,1.250,1.100,1.136,0.912
15,"(15, 24]","(40, 45]",Female,14,7,3,7,2.000,0.429,4.667,3.885
16,"(15, 24]","(40, 45]",Male,9,4,12,7,2.250,1.714,1.312,1.008
17,"(15, 24]","(45, 50]",Female,9,4,2,2,2.250,1.000,2.250,2.627
18,"(15, 24]","(45, 50]",Male,9,2,11,5,4.500,2.200,2.045,1.945
19,"(15, 24]","(55, 60]",Male,6,2,5,2,3.000,2.500,1.200,1.404
20,"(15, 24]","(60, 65]",Female,3,1,3,1,3.000,3.000,1.000,1.634
21,"(15, 24]","(60, 65]",Male,1,1,5,1,1.000,5.000,0.200,0.358
22,"(24, 34]","(0, 5]",Female,14,21,14,19,0.667,0.737,0.905,0.448
23,"(24, 34]","(0, 5]",Male,11,13,15,7,0.846,2.143,0.395,0.243
24,"(24, 34]","(5, 10]",Female,23,24,20,25,0.958,0.800,1.198,0.505
25,"(24, 34]","(5, 10]",Male,5,3,7,12,1.667,0.583,2.857,2.494
26,"(24, 34]","(10, 15]",Female,11,20,7,10,0.550,0.700,0.786,0.488
27,"(24, 34]","(10, 15]",Male,4,8,8,13,0.500,0.615,0.812,0.618
28,"(24, 34]","(15, 20]",Female,10,15,5,10,0.667,0.500,1.333,0.913
29,"(24, 34]","(15, 20]",Male,26,30,36,47,0.867,0.766,1.131,0.397
30,"(24, 34]","(20, 25]",Female,25,34,12,21,0.735,0.571,1.287,0.580
31,"(24, 34]","(20, 25]",Male,99,107,75,114,0.925,0.658,1.406,0.295
32,"(24, 34]","(25, 30]",Female,20,22,27,36,0.909,0.750,1.212,0.489
33,"(24, 34]","(25, 30]",Male,80,77,79,84,1.039,0.940,1.105,0.253
34,"(24, 34]","(30, 35]",Female,16,16,19,30,1.000,0.633,1.579,0.730
35,"(24, 34]","(30, 35]",Male,56,56,41,46,1.000,0.891,1.122,0.326
36,"(24, 34]","(35, 40]",Female,5,6,8,15,0.833,0.533,1.562,1.170
37,"(24, 34]","(35, 40]",Male,17,14,27,24,1.214,1.125,1.079,0.496
38,"(24, 34]","(40, 45]",Female,4,4,7,7,1.000,1.000,1.000,0.888
39,"(24, 34]","(40, 45]",Male,15,11,15,16,1.364,0.938,1.455,0.782
40,"(24, 34]","(45, 50]",Female,10,5,2,1,2.000,2.000,1.000,1.343
41,"(24, 34]","(45, 50]",Male,6,4,10,7,1.500,1.429,1.050,0.854
42,"(24, 34]","(50, 55]",Female,12,9,3,2,1.333,1.500,0.889,0.902
43,"(24, 34]","(50, 55]",Male,6,1,12,4,6.000,3.000,2.000,2.452
44,"(24, 34]","(60, 65]",Male,7,4,4,2,1.750,2.000,0.875,0.936
45,"(24, 34]","(65, 70]",Male,4,2,5,3,2.000,1.667,1.200,1.361
46,"(24, 34]","(70, 75]",Male,1,1,1,1,1.000,1.000,1.000,2.001
47,"(34, 54]","(0, 5]",Female,5,4,4,7,1.250,0.571,2.188,2.011
