,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,11,9,4,8,1.222,0.500,2.444,1.861
1,"(15, 24]","(0, 5]",Male,2,3,7,7,0.667,1.000,0.667,0.706
2,"(15, 24]","(5, 10]",Female,3,3,3,2,1.000,1.500,0.667,0.817
3,"(15, 24]","(5, 10]",Male,1,2,2,3,0.500,0.667,0.750,1.146
4,"(15, 24]","(10, 15]",Female,5,4,3,2,1.250,1.500,0.833,0.945
5,"(15, 24]","(10, 15]",Male,15,17,12,17,0.882,0.706,1.250,0.650
6,"(15, 24]","(15, 20]",Female,16,20,13,17,0.800,0.765,1.046,0.524
7,"(15, 24]","(15, 20]",Male,37,36,78,90,1.028,0.867,1.186,0.338
8,"(15, 24]","(20, 25]",Female,5,11,4,6,0.455,0.667,0.682,0.575
9,"(15, 24]","(20, 25]",Male,11,14,26,50,0.786,0.520,1.511,0.714
10,"(15, 24]","(25, 30]",Female,3,2,3,3,1.500,1.000,1.500,1.839
11,"(15, 24]","(25, 30]",Male,4,4,8,16,1.000,0.500,2.000,1.661
12,"(15, 24]","(30, 35]",Female,1,1,2,2,1.000,1.000,1.000,1.733
13,"(15, 24]","(35, 40]",Female,1,1,3,1,1.000,3.000,0.333,0.609
14,"(15, 24]","(45, 50]",Male,3,2,3,3,1.500,1.000,1.500,1.839
15,"(15, 24]","(50, 55]",Male,3,1,1,1,3.000,1.000,3.000,5.479
16,"(24, 34]","(0, 5]",Female,11,9,10,14,1.222,0.714,1.711,1.049
17,"(24, 34]","(0, 5]",Male,8,12,4,9,0.667,0.444,1.500,1.134
18,"(24, 34]","(5, 10]",Female,7,12,11,15,0.583,0.733,0.795,0.494
19,"(24, 34]","(5, 10]",Male,5,8,6,11,0.625,0.545,1.146,0.876
20,"(24, 34]","(10, 15]",Female,6,4,3,6,1.500,0.500,3.000,2.876
21,"(24, 34]","(10, 15]",Male,5,8,2,3,0.625,0.667,0.938,1.010
22,"(24, 34]","(15, 20]",Female,1,7,2,3,0.143,0.667,0.214,0.301
23,"(24, 34]","(15, 20]",Male,3,8,7,12,0.375,0.583,0.643,0.533
24,"(24, 34]","(20, 25]",Male,5,7,11,14,0.714,0.786,0.909,0.648
25,"(24, 34]","(25, 30]",Male,5,10,17,24,0.500,0.708,0.706,0.448
26,"(24, 34]","(30, 35]",Male,3,3,7,7,1.000,1.000,1.000,0.977
27,"(24, 34]","(35, 40]",Male,5,1,3,1,5.000,3.000,1.667,2.654
28,"(24, 34]","(40, 45]",Male,1,2,3,2,0.500,1.500,0.333,0.509
29,"(34, 54]","(0, 5]",Female,4,5,4,4,0.800,1.000,0.800,0.781
30,"(34, 54]","(0, 5]",Male,2,4,3,6,0.500,0.500,1.000,1.119
31,"(34, 54]","(5, 10]",Female,6,9,4,15,0.667,0.267,2.500,1.932
32,"(34, 54]","(5, 10]",Male,9,15,5,8,0.600,0.625,0.960,0.682
33,"(34, 54]","(10, 15]",Female,4,14,2,11,0.286,0.182,1.571,1.503
34,"(34, 54]","(10, 15]",Male,8,24,8,15,0.333,0.533,0.625,0.375
35,"(34, 54]","(15, 20]",Female,6,9,3,9,0.667,0.333,2.000,1.703
36,"(34, 54]","(15, 20]",Male,6,16,7,15,0.375,0.467,0.804,0.534
37,"(34, 54]","(20, 25]",Female,5,5,1,3,1.000,0.333,3.000,3.953
38,"(34, 54]","(20, 25]",Male,2,8,3,15,0.250,0.200,1.250,1.267
39,"(34, 54]","(25, 30]",Male,2,4,4,8,0.500,0.500,1.000,1.062
40,"(34, 54]","(30, 35]",Male,4,5,3,4,0.800,0.750,1.067,1.086
41,"(34, 54]","(35, 40]",Female,2,2,1,1,1.000,1.000,1.000,1.733
42,"(34, 54]","(35, 40]",Male,4,9,6,3,0.444,2.000,0.222,0.207
43,"(34, 54]","(40, 45]",Male,7,6,3,8,1.167,0.375,3.111,2.731
44,"(34, 54]","(45, 50]",Male,6,5,2,1,1.200,2.000,0.600,0.820
45,"(34, 54]","(50, 55]",Male,9,4,2,3,2.250,0.667,3.375,3.692
46,"(34, 54]","(55, 60]",Male,2,1,2,2,2.000,1.000,2.000,3.164
47,"(34, 54]","(60, 65]",Male,5,4,1,1,1.250,1.000,1.250,1.958
48,"(34, 54]","(65, 70]",Male,5,3,5,4,1.667,1.250,1.333,1.324
49,"(54, 100]","(10, 15]",Male,2,5,3,7,0.400,0.429,0.933,1.013
50,"(54, 100]","(15, 20]",Male,3,5,1,3,0.600,0.333,1.800,2.461
51,"(54, 100]","(30, 35]",Male,4,7,1,2,0.571,0.500,1.143,1.573
52,"(54, 100]","(45, 50]",Male,5,8,1,5,0.625,0.200,3.125,3.862
53,"(54, 100]","(50, 55]",Male,3,3,2,1,1.000,2.000,0.500,0.736
54,"(54, 100]","(60, 65]",Female,3,2,1,1,1.500,1.000,1.500,2.526
55,"(54, 100]","(60, 65]",Male,6,7,1,1,0.857,1.000,0.857,1.303
56,"(54, 100]","(65, 70]",Male,4,5,1,2,0.800,0.500,1.600,2.236
57,"(54, 100]","(70, 75]",Female,2,7,2,1,0.286,2.000,0.143,0.209
58,"(54, 100]","(70, 75]",Male,12,13,1,2,0.923,0.500,1.846,2.381
59,"(54, 100]","(75, 80]",Male,8,8,2,1,1.000,2.000,0.500,0.662
60,"(54, 100]","(80, 85]",Male,4,4,3,1,1.000,3.000,0.333,0.452
61,"(54, 100]","(85, 90]",Male,6,4,1,2,1.500,0.500,3.000,4.156
