,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.416,0.475,3.000
1,"(5, 10]",1.081,0.359,8.000
2,"(10, 15]",1.090,0.326,13.000
3,"(15, 20]",1.075,0.227,18.000
4,"(20, 25]",1.233,0.402,23.000
5,"(25, 30]",1.078,0.460,28.000
6,"(30, 35]",1.047,0.618,33.000
7,"(35, 40]",0.425,0.288,38.000
8,"(40, 45]",1.788,1.361,43.000
9,"(45, 50]",1.492,1.096,48.000
10,"(50, 55]",1.902,1.505,53.000
11,"(55, 60]",2.000,3.164,58.000
12,"(60, 65]",1.151,1.053,63.000
13,"(65, 70]",1.417,1.147,68.000
14,"(70, 75]",0.604,0.585,73.000
15,"(75, 80]",0.500,0.662,78.000
16,"(80, 85]",0.333,0.452,83.000
17,"(85, 90]",3.000,4.156,88.000
