,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,875,875,875,1120,1.000,0.781,1.280,0.106
1,"(15, 24]","(15, 22]",Male,563,468,2002,2005,1.203,0.999,1.205,0.104
2,"(15, 24]","(22, 27]",Female,148,147,405,475,1.007,0.853,1.181,0.170
3,"(15, 24]","(22, 27]",Male,103,99,535,461,1.040,1.161,0.896,0.146
4,"(15, 24]","(27, 32]",Female,34,17,119,122,2.000,0.975,2.050,0.672
5,"(15, 24]","(27, 32]",Male,20,8,119,106,2.500,1.123,2.227,0.984
6,"(15, 24]","(32, 37]",Female,37,19,34,47,1.947,0.723,2.692,0.981
7,"(15, 24]","(32, 37]",Male,19,10,87,56,1.900,1.554,1.223,0.525
8,"(15, 24]","(37, 42]",Female,70,40,19,19,1.750,1.000,1.750,0.671
9,"(15, 24]","(37, 42]",Male,51,21,52,28,2.429,1.857,1.308,0.462
10,"(15, 24]","(42, 47]",Female,84,37,24,26,2.270,0.923,2.459,0.858
11,"(15, 24]","(42, 47]",Male,56,23,50,27,2.435,1.852,1.315,0.457
12,"(15, 24]","(47, 52]",Female,65,31,26,16,2.097,1.625,1.290,0.502
13,"(15, 24]","(47, 52]",Male,32,16,57,21,2.000,2.714,0.737,0.296
14,"(15, 24]","(52, 57]",Female,46,16,22,10,2.875,2.200,1.307,0.630
15,"(15, 24]","(52, 57]",Male,26,7,19,11,3.714,1.727,2.150,1.230
16,"(15, 24]","(57, 62]",Female,24,5,14,2,4.800,7.000,0.686,0.619
17,"(15, 24]","(57, 62]",Male,17,1,23,5,17.000,4.600,3.696,4.221
18,"(15, 24]","(62, 67]",Female,13,2,5,1,6.500,5.000,1.300,1.734
19,"(15, 24]","(62, 67]",Male,8,1,10,1,8.000,10.000,0.800,1.194
20,"(15, 24]","(67, 72]",Female,10,3,5,3,3.333,1.667,2.000,1.969
21,"(15, 24]","(67, 72]",Male,8,1,12,1,8.000,12.000,0.667,0.991
22,"(15, 24]","(72, 77]",Male,3,1,10,1,3.000,10.000,0.300,0.468
23,"(15, 24]","(77, 82]",Female,8,2,3,3,4.000,1.000,4.000,4.550
24,"(24, 34]","(15, 22]",Female,44,59,49,61,0.746,0.803,0.928,0.261
25,"(24, 34]","(15, 22]",Male,94,78,173,211,1.205,0.820,1.470,0.281
26,"(24, 34]","(22, 27]",Female,92,87,208,263,1.057,0.791,1.337,0.245
27,"(24, 34]","(22, 27]",Male,155,138,363,390,1.123,0.931,1.207,0.177
28,"(24, 34]","(27, 32]",Female,77,70,280,302,1.100,0.927,1.186,0.227
29,"(24, 34]","(27, 32]",Male,135,109,275,259,1.239,1.062,1.166,0.190
30,"(24, 34]","(32, 37]",Female,43,27,189,212,1.593,0.892,1.786,0.482
31,"(24, 34]","(32, 37]",Male,49,32,130,132,1.531,0.985,1.555,0.410
32,"(24, 34]","(37, 42]",Female,20,19,77,82,1.053,0.939,1.121,0.405
33,"(24, 34]","(37, 42]",Male,36,26,63,64,1.385,0.984,1.407,0.445
34,"(24, 34]","(42, 47]",Female,30,10,53,41,3.000,1.293,2.321,0.982
35,"(24, 34]","(42, 47]",Male,19,9,47,33,2.111,1.424,1.482,0.692
36,"(24, 34]","(47, 52]",Female,28,21,29,22,1.333,1.318,1.011,0.412
37,"(24, 34]","(47, 52]",Male,27,14,48,19,1.929,2.526,0.763,0.328
38,"(24, 34]","(52, 57]",Female,36,15,26,16,2.400,1.625,1.477,0.657
39,"(24, 34]","(52, 57]",Male,10,5,28,11,2.000,2.545,0.786,0.515
40,"(24, 34]","(57, 62]",Female,25,11,15,7,2.273,2.143,1.061,0.621
41,"(24, 34]","(57, 62]",Male,14,5,23,5,2.800,4.600,0.609,0.438
42,"(24, 34]","(62, 67]",Female,4,2,13,2,2.000,6.500,0.308,0.355
43,"(24, 34]","(67, 72]",Female,11,4,6,4,2.750,1.500,1.833,1.598
44,"(24, 34]","(67, 72]",Male,6,2,12,1,3.000,12.000,0.250,0.331
45,"(24, 34]","(72, 77]",Female,8,3,4,2,2.667,2.000,1.333,1.467
46,"(24, 34]","(72, 77]",Male,5,2,8,1,2.500,8.000,0.312,0.422
47,"(34, 54]","(15, 22]",Female,92,159,60,134,0.579,0.448,1.292,0.270
48,"(34, 54]","(15, 22]",Male,31,43,71,115,0.721,0.617,1.168,0.332
49,"(34, 54]","(22, 27]",Female,43,85,38,91,0.506,0.418,1.211,0.331
50,"(34, 54]","(22, 27]",Male,32,38,73,121,0.842,0.603,1.396,0.400
51,"(34, 54]","(27, 32]",Female,51,90,53,109,0.567,0.486,1.165,0.288
52,"(34, 54]","(27, 32]",Male,71,84,91,132,0.845,0.689,1.226,0.266
53,"(34, 54]","(32, 37]",Female,50,77,122,175,0.649,0.697,0.931,0.207
54,"(34, 54]","(32, 37]",Male,91,95,113,153,0.958,0.739,1.297,0.257
55,"(34, 54]","(37, 42]",Female,58,74,206,267,0.784,0.772,1.016,0.208
56,"(34, 54]","(37, 42]",Male,129,121,140,151,1.066,0.927,1.150,0.207
57,"(34, 54]","(42, 47]",Female,76,76,236,313,1.000,0.754,1.326,0.253
58,"(34, 54]","(42, 47]",Male,132,127,101,98,1.039,1.031,1.008,0.197
59,"(34, 54]","(47, 52]",Female,61,66,345,368,0.924,0.938,0.986,0.196
60,"(34, 54]","(47, 52]",Male,121,107,83,68,1.131,1.221,0.926,0.201
61,"(34, 54]","(52, 57]",Female,64,31,329,280,2.065,1.175,1.757,0.419
62,"(34, 54]","(52, 57]",Male,61,45,82,58,1.356,1.414,0.959,0.255
63,"(34, 54]","(57, 62]",Female,41,37,167,136,1.108,1.228,0.902,0.234
64,"(34, 54]","(57, 62]",Male,27,13,40,30,2.077,1.333,1.558,0.651
65,"(34, 54]","(62, 67]",Female,49,31,92,67,1.581,1.373,1.151,0.328
66,"(34, 54]","(62, 67]",Male,27,9,40,24,3.000,1.667,1.800,0.839
67,"(34, 54]","(67, 72]",Female,47,26,43,38,1.808,1.132,1.597,0.534
68,"(34, 54]","(67, 72]",Male,31,19,38,11,1.632,3.455,0.472,0.214
69,"(34, 54]","(72, 77]",Female,53,17,32,16,3.118,2.000,1.559,0.650
70,"(34, 54]","(72, 77]",Male,21,6,34,8,3.500,4.250,0.824,0.502
71,"(34, 54]","(77, 82]",Female,18,7,22,12,2.571,1.833,1.403,0.805
72,"(34, 54]","(77, 82]",Male,19,7,20,7,2.714,2.857,0.950,0.594
73,"(34, 54]","(82, 87]",Female,11,4,18,5,2.750,3.600,0.764,0.591
74,"(34, 54]","(87, 92]",Female,2,1,8,4,2.000,2.000,1.000,1.370
75,"(54, 100]","(15, 22]",Female,16,95,7,70,0.168,0.100,1.684,0.812
76,"(54, 100]","(15, 22]",Male,10,29,9,53,0.345,0.170,2.031,1.049
77,"(54, 100]","(22, 27]",Female,15,101,7,51,0.149,0.137,1.082,0.532
78,"(54, 100]","(22, 27]",Male,2,24,7,28,0.083,0.250,0.333,0.283
79,"(54, 100]","(27, 32]",Female,19,71,13,48,0.268,0.271,0.988,0.404
80,"(54, 100]","(27, 32]",Male,8,25,17,40,0.320,0.425,0.753,0.377
81,"(54, 100]","(32, 37]",Female,30,110,18,70,0.273,0.257,1.061,0.359
82,"(54, 100]","(32, 37]",Male,14,40,14,57,0.350,0.246,1.425,0.618
83,"(54, 100]","(37, 42]",Female,38,157,19,77,0.242,0.247,0.981,0.311
84,"(54, 100]","(37, 42]",Male,15,47,20,49,0.319,0.408,0.782,0.314
85,"(54, 100]","(42, 47]",Female,61,208,30,100,0.293,0.300,0.978,0.253
86,"(54, 100]","(42, 47]",Male,32,59,26,70,0.542,0.371,1.460,0.470
87,"(54, 100]","(47, 52]",Female,84,259,58,165,0.324,0.352,0.923,0.188
88,"(54, 100]","(47, 52]",Male,56,84,25,61,0.667,0.410,1.627,0.484
89,"(54, 100]","(52, 57]",Female,90,309,160,301,0.291,0.532,0.548,0.089
90,"(54, 100]","(52, 57]",Male,150,203,49,90,0.739,0.544,1.357,0.290
91,"(54, 100]","(57, 62]",Female,145,405,423,654,0.358,0.647,0.554,0.069
92,"(54, 100]","(57, 62]",Male,188,261,50,82,0.720,0.610,1.181,0.247
93,"(54, 100]","(62, 67]",Female,182,404,764,960,0.450,0.796,0.566,0.064
94,"(54, 100]","(62, 67]",Male,251,350,48,72,0.717,0.667,1.076,0.226
95,"(54, 100]","(67, 72]",Female,229,411,978,1198,0.557,0.816,0.683,0.072
96,"(54, 100]","(67, 72]",Male,286,492,55,102,0.581,0.539,1.078,0.205
97,"(54, 100]","(72, 77]",Female,304,479,1295,1618,0.635,0.800,0.793,0.076
98,"(54, 100]","(72, 77]",Male,332,585,82,92,0.568,0.891,0.637,0.111
99,"(54, 100]","(77, 82]",Female,272,361,1387,1693,0.753,0.819,0.920,0.093
100,"(54, 100]","(77, 82]",Male,295,523,93,72,0.564,1.292,0.437,0.079
101,"(54, 100]","(82, 87]",Female,171,189,974,1145,0.905,0.851,1.064,0.133
102,"(54, 100]","(82, 87]",Male,135,248,45,50,0.544,0.900,0.605,0.143
103,"(54, 100]","(87, 92]",Female,54,70,384,425,0.771,0.904,0.854,0.171
104,"(54, 100]","(87, 92]",Male,38,62,24,13,0.613,1.846,0.332,0.134
105,"(54, 100]","(92, 97]",Female,12,8,68,65,1.500,1.046,1.434,0.704
