,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,62,44,42,38,1.409,1.105,1.275,0.386
1,"(15, 24]","(0, 5]",Male,13,2,12,6,6.500,2.000,3.250,2.960
2,"(15, 24]","(5, 10]",Female,28,23,19,17,1.217,1.118,1.089,0.479
3,"(15, 24]","(5, 10]",Male,8,11,14,15,0.727,0.933,0.779,0.465
4,"(15, 24]","(10, 15]",Female,208,201,76,94,1.035,0.809,1.280,0.243
5,"(15, 24]","(10, 15]",Male,157,144,272,252,1.090,1.079,1.010,0.155
6,"(15, 24]","(15, 20]",Female,723,729,308,355,0.992,0.868,1.143,0.122
7,"(15, 24]","(15, 20]",Male,967,768,1526,1530,1.259,0.997,1.262,0.099
8,"(15, 24]","(20, 25]",Female,254,253,262,322,1.004,0.814,1.234,0.162
9,"(15, 24]","(20, 25]",Male,439,352,854,892,1.247,0.957,1.303,0.130
10,"(15, 24]","(25, 30]",Female,52,40,79,90,1.300,0.878,1.481,0.393
11,"(15, 24]","(25, 30]",Male,63,54,201,169,1.167,1.189,0.981,0.214
12,"(15, 24]","(30, 35]",Female,22,20,23,33,1.100,0.697,1.578,0.654
13,"(15, 24]","(30, 35]",Male,30,24,71,45,1.250,1.578,0.792,0.267
14,"(15, 24]","(35, 40]",Female,26,24,15,14,1.083,1.071,1.011,0.475
15,"(15, 24]","(35, 40]",Male,36,20,48,33,1.800,1.455,1.238,0.449
16,"(15, 24]","(40, 45]",Female,51,36,17,12,1.417,1.417,1.000,0.438
17,"(15, 24]","(40, 45]",Male,49,25,47,23,1.960,2.043,0.959,0.343
18,"(15, 24]","(45, 50]",Female,66,29,16,9,2.276,1.778,1.280,0.608
19,"(15, 24]","(45, 50]",Male,47,19,34,17,2.474,2.000,1.237,0.502
20,"(15, 24]","(50, 55]",Female,53,21,9,4,2.524,2.250,1.122,0.736
21,"(15, 24]","(50, 55]",Male,33,9,26,13,3.667,2.000,1.833,0.934
22,"(15, 24]","(55, 60]",Female,34,4,11,6,8.500,1.833,4.636,3.405
23,"(15, 24]","(55, 60]",Male,19,3,23,3,6.333,7.667,0.826,0.723
24,"(15, 24]","(65, 70]",Male,17,3,5,2,5.667,2.500,2.267,2.372
