,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.202,0.184,3.000
1,"(5, 10]",1.036,0.140,8.000
2,"(10, 15]",1.143,0.098,13.000
3,"(15, 20]",1.265,0.071,18.000
4,"(20, 25]",1.272,0.077,23.000
5,"(25, 30]",1.188,0.090,28.000
6,"(30, 35]",1.107,0.100,33.000
7,"(35, 40]",1.260,0.120,38.000
8,"(40, 45]",1.261,0.122,43.000
9,"(45, 50]",1.215,0.124,48.000
10,"(50, 55]",1.226,0.124,53.000
11,"(55, 60]",1.336,0.147,58.000
12,"(60, 65]",1.003,0.109,63.000
13,"(65, 70]",1.158,0.122,68.000
14,"(70, 75]",0.956,0.092,73.000
15,"(75, 80]",0.909,0.083,78.000
16,"(80, 85]",1.055,0.103,83.000
17,"(85, 90]",1.093,0.133,88.000
18,"(90, 95]",1.115,0.253,93.000
19,"(95, 100]",2.045,1.346,98.000
