,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,1806,1704,2753,3377,1.060,0.815,1.300,0.085
1,"(15, 24]","(15, 22]",Male,1287,934,9292,9236,1.378,1.006,1.370,0.093
2,"(15, 24]","(22, 27]",Female,319,296,1296,1452,1.078,0.893,1.207,0.124
3,"(15, 24]","(22, 27]",Male,296,191,2727,2417,1.550,1.128,1.374,0.150
4,"(15, 24]","(27, 32]",Female,127,75,479,502,1.693,0.954,1.775,0.296
5,"(15, 24]","(27, 32]",Male,92,65,818,573,1.415,1.428,0.991,0.177
6,"(15, 24]","(32, 37]",Female,75,45,176,139,1.667,1.266,1.316,0.297
7,"(15, 24]","(32, 37]",Male,69,29,340,203,2.379,1.675,1.421,0.346
8,"(15, 24]","(37, 42]",Female,90,51,95,47,1.765,2.021,0.873,0.223
9,"(15, 24]","(37, 42]",Male,69,35,197,107,1.971,1.841,1.071,0.262
10,"(15, 24]","(42, 47]",Female,82,33,59,36,2.485,1.639,1.516,0.454
11,"(15, 24]","(42, 47]",Male,54,20,137,55,2.700,2.491,1.084,0.337
12,"(15, 24]","(47, 52]",Female,47,24,50,27,1.958,1.852,1.057,0.370
13,"(15, 24]","(47, 52]",Male,24,10,117,33,2.400,3.545,0.677,0.290
14,"(15, 24]","(52, 57]",Female,36,18,31,13,2.000,2.385,0.839,0.370
15,"(15, 24]","(52, 57]",Male,13,11,58,12,1.182,4.833,0.245,0.127
16,"(15, 24]","(57, 62]",Female,23,8,17,2,2.875,8.500,0.338,0.289
17,"(15, 24]","(57, 62]",Male,21,2,43,10,10.500,4.300,2.442,2.004
18,"(15, 24]","(62, 67]",Female,14,3,26,6,4.667,4.333,1.077,0.843
19,"(15, 24]","(62, 67]",Male,11,6,26,2,1.833,13.000,0.141,0.126
20,"(15, 24]","(67, 72]",Male,6,3,17,3,2.000,5.667,0.353,0.334
21,"(24, 34]","(15, 22]",Female,128,131,179,321,0.977,0.558,1.752,0.286
22,"(24, 34]","(15, 22]",Male,314,268,990,1070,1.172,0.925,1.266,0.135
23,"(24, 34]","(22, 27]",Female,242,238,609,792,1.017,0.769,1.322,0.155
24,"(24, 34]","(22, 27]",Male,413,367,1715,1778,1.125,0.965,1.167,0.109
25,"(24, 34]","(27, 32]",Female,188,189,694,842,0.995,0.824,1.207,0.151
26,"(24, 34]","(27, 32]",Male,301,218,1271,1230,1.381,1.033,1.336,0.146
27,"(24, 34]","(32, 37]",Female,111,105,481,530,1.057,0.908,1.165,0.184
28,"(24, 34]","(32, 37]",Male,173,102,599,523,1.696,1.145,1.481,0.218
29,"(24, 34]","(37, 42]",Female,61,43,224,243,1.419,0.922,1.539,0.347
30,"(24, 34]","(37, 42]",Male,89,47,290,205,1.894,1.415,1.339,0.279
31,"(24, 34]","(42, 47]",Female,36,26,114,80,1.385,1.425,0.972,0.292
32,"(24, 34]","(42, 47]",Male,50,21,165,94,2.381,1.755,1.356,0.400
33,"(24, 34]","(47, 52]",Female,32,25,63,37,1.280,1.703,0.752,0.257
34,"(24, 34]","(47, 52]",Male,32,14,119,61,2.286,1.951,1.172,0.422
35,"(24, 34]","(52, 57]",Female,31,19,53,25,1.632,2.120,0.770,0.294
36,"(24, 34]","(52, 57]",Male,18,6,86,30,3.000,2.867,1.047,0.543
37,"(24, 34]","(57, 62]",Female,22,10,33,19,2.200,1.737,1.267,0.609
38,"(24, 34]","(57, 62]",Male,11,5,53,20,2.200,2.650,0.830,0.500
39,"(24, 34]","(62, 67]",Female,15,6,19,7,2.500,2.714,0.921,0.605
40,"(24, 34]","(62, 67]",Male,9,2,29,8,4.500,3.625,1.241,1.091
41,"(24, 34]","(67, 72]",Female,8,4,16,6,2.000,2.667,0.750,0.584
42,"(24, 34]","(67, 72]",Male,5,2,18,5,2.500,3.600,0.694,0.680
43,"(24, 34]","(72, 77]",Female,4,1,10,1,4.000,10.000,0.400,0.614
44,"(24, 34]","(72, 77]",Male,5,1,16,11,5.000,1.455,3.438,4.003
45,"(34, 54]","(15, 22]",Female,113,220,79,216,0.514,0.366,1.404,0.256
46,"(34, 54]","(15, 22]",Male,60,83,225,418,0.723,0.538,1.343,0.262
47,"(34, 54]","(22, 27]",Female,73,119,106,206,0.613,0.515,1.192,0.235
48,"(34, 54]","(22, 27]",Male,91,112,347,512,0.812,0.678,1.199,0.198
49,"(34, 54]","(27, 32]",Female,68,107,157,253,0.636,0.621,1.024,0.197
50,"(34, 54]","(27, 32]",Male,154,158,407,454,0.975,0.896,1.087,0.154
51,"(34, 54]","(32, 37]",Female,85,95,298,405,0.895,0.736,1.216,0.213
52,"(34, 54]","(32, 37]",Male,233,199,399,532,1.171,0.750,1.561,0.199
53,"(34, 54]","(37, 42]",Female,105,96,382,486,1.094,0.786,1.392,0.229
54,"(34, 54]","(37, 42]",Male,237,193,416,455,1.228,0.914,1.343,0.173
55,"(34, 54]","(42, 47]",Female,86,101,460,546,0.851,0.842,1.011,0.169
56,"(34, 54]","(42, 47]",Male,199,167,322,276,1.192,1.167,1.021,0.145
57,"(34, 54]","(47, 52]",Female,64,65,515,530,0.985,0.972,1.013,0.196
58,"(34, 54]","(47, 52]",Male,125,131,237,180,0.954,1.317,0.725,0.121
59,"(34, 54]","(52, 57]",Female,57,48,424,434,1.188,0.977,1.216,0.259
60,"(34, 54]","(52, 57]",Male,67,48,175,141,1.396,1.241,1.125,0.254
61,"(34, 54]","(57, 62]",Female,61,25,210,194,2.440,1.082,2.254,0.591
62,"(34, 54]","(57, 62]",Male,31,27,115,71,1.148,1.620,0.709,0.218
63,"(34, 54]","(62, 67]",Female,47,24,125,87,1.958,1.437,1.363,0.397
64,"(34, 54]","(62, 67]",Male,25,15,74,52,1.667,1.423,1.171,0.441
65,"(34, 54]","(67, 72]",Female,34,18,72,41,1.889,1.756,1.076,0.381
66,"(34, 54]","(67, 72]",Male,26,16,44,22,1.625,2.000,0.812,0.337
67,"(34, 54]","(72, 77]",Female,25,9,41,27,2.778,1.519,1.829,0.848
68,"(34, 54]","(72, 77]",Male,15,6,42,18,2.500,2.333,1.071,0.602
69,"(34, 54]","(77, 82]",Female,8,3,36,18,2.667,2.000,1.333,0.984
70,"(34, 54]","(77, 82]",Male,5,2,27,10,2.500,2.700,0.926,0.848
71,"(34, 54]","(82, 87]",Female,5,2,13,7,2.500,1.857,1.346,1.293
72,"(54, 100]","(15, 22]",Female,18,118,18,88,0.153,0.205,0.746,0.272
73,"(54, 100]","(15, 22]",Male,16,37,38,125,0.432,0.304,1.422,0.506
74,"(54, 100]","(22, 27]",Female,27,96,17,65,0.281,0.262,1.075,0.379
75,"(54, 100]","(22, 27]",Male,8,26,30,109,0.308,0.275,1.118,0.510
76,"(54, 100]","(27, 32]",Female,37,98,19,62,0.378,0.306,1.232,0.406
77,"(54, 100]","(27, 32]",Male,17,33,33,99,0.515,0.333,1.545,0.562
78,"(54, 100]","(32, 37]",Female,35,109,31,76,0.321,0.408,0.787,0.230
79,"(54, 100]","(32, 37]",Male,15,44,41,113,0.341,0.363,0.940,0.332
80,"(54, 100]","(37, 42]",Female,50,122,29,74,0.410,0.392,1.046,0.293
81,"(54, 100]","(37, 42]",Male,25,52,48,127,0.481,0.378,1.272,0.383
82,"(54, 100]","(42, 47]",Female,61,164,37,79,0.372,0.468,0.794,0.202
83,"(54, 100]","(42, 47]",Male,44,80,55,107,0.550,0.514,1.070,0.273
84,"(54, 100]","(47, 52]",Female,85,202,75,141,0.421,0.532,0.791,0.158
85,"(54, 100]","(47, 52]",Male,77,109,66,120,0.706,0.550,1.284,0.282
86,"(54, 100]","(52, 57]",Female,131,279,207,294,0.470,0.704,0.667,0.099
87,"(54, 100]","(52, 57]",Male,134,204,94,145,0.657,0.648,1.013,0.182
88,"(54, 100]","(57, 62]",Female,149,282,532,684,0.528,0.778,0.679,0.086
89,"(54, 100]","(57, 62]",Male,204,236,110,137,0.864,0.803,1.077,0.180
90,"(54, 100]","(62, 67]",Female,159,304,761,910,0.523,0.836,0.625,0.075
91,"(54, 100]","(62, 67]",Male,197,321,107,148,0.614,0.723,0.849,0.139
92,"(54, 100]","(67, 72]",Female,214,278,940,1088,0.770,0.864,0.891,0.101
93,"(54, 100]","(67, 72]",Male,222,298,104,134,0.745,0.776,0.960,0.159
94,"(54, 100]","(72, 77]",Female,228,307,978,1143,0.743,0.856,0.868,0.095
95,"(54, 100]","(72, 77]",Male,179,287,79,82,0.624,0.963,0.647,0.124
96,"(54, 100]","(77, 82]",Female,173,205,839,1011,0.844,0.830,1.017,0.126
97,"(54, 100]","(77, 82]",Male,134,212,72,76,0.632,0.947,0.667,0.136
98,"(54, 100]","(82, 87]",Female,83,81,499,601,1.025,0.830,1.234,0.216
99,"(54, 100]","(82, 87]",Male,66,93,32,40,0.710,0.800,0.887,0.258
100,"(54, 100]","(87, 92]",Female,15,22,156,179,0.682,0.872,0.782,0.278
101,"(54, 100]","(87, 92]",Male,12,14,17,10,0.857,1.700,0.504,0.283
102,"(54, 100]","(92, 97]",Female,2,2,23,18,1.000,1.278,0.783,0.821
