,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.341,0.053,19.000
1,"(22, 27]",1.240,0.059,25.000
2,"(27, 32]",1.241,0.071,30.000
3,"(32, 37]",1.322,0.086,35.000
4,"(37, 42]",1.275,0.091,40.000
5,"(42, 47]",1.048,0.083,45.000
6,"(47, 52]",0.899,0.076,50.000
7,"(52, 57]",0.870,0.074,55.000
8,"(57, 62]",0.908,0.079,60.000
9,"(62, 67]",0.761,0.066,65.000
10,"(67, 72]",0.905,0.079,70.000
11,"(72, 77]",0.845,0.077,75.000
12,"(77, 82]",0.915,0.095,80.000
13,"(82, 87]",1.135,0.168,85.000
14,"(87, 92]",0.690,0.207,90.000
15,"(92, 97]",0.783,0.821,95.000
