,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,6,2,5,5,3.000,1.000,3.000,3.102
1,"(15, 24]","(15, 20]",Male,6,6,13,22,1.000,0.591,1.692,1.146
2,"(15, 24]","(20, 25]",Female,1,2,1,1,0.500,1.000,0.500,0.936
3,"(15, 24]","(20, 25]",Male,1,1,16,19,1.000,0.842,1.188,1.728
4,"(24, 34]","(0, 5]",Female,11,8,2,3,1.375,0.667,2.062,2.115
5,"(24, 34]","(0, 5]",Male,2,2,4,4,1.000,1.000,1.000,1.226
6,"(24, 34]","(5, 10]",Male,1,1,2,1,1.000,2.000,0.500,0.936
7,"(24, 34]","(15, 20]",Male,2,1,2,2,2.000,1.000,2.000,3.164
8,"(24, 34]","(20, 25]",Male,1,3,5,6,0.333,0.833,0.400,0.522
9,"(24, 34]","(25, 30]",Male,1,4,2,5,0.250,0.400,0.625,0.873
10,"(34, 54]","(20, 25]",Male,2,1,1,3,2.000,0.333,6.000,10.104
11,"(34, 54]","(35, 40]",Male,1,1,1,3,1.000,0.333,3.000,5.479
