,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,6,5,5,5,1.200,1.000,1.200,1.052
1,"(15, 24]","(15, 20]",Male,2,4,25,31,0.500,0.806,0.620,0.563
2,"(15, 24]","(20, 25]",Male,4,3,11,18,1.333,0.611,2.182,1.867
3,"(24, 34]","(0, 5]",Female,11,9,7,7,1.222,1.000,1.222,0.856
4,"(24, 34]","(5, 10]",Female,1,1,3,4,1.000,0.750,1.333,2.144
5,"(24, 34]","(10, 15]",Female,1,2,1,1,0.500,1.000,0.500,0.936
6,"(24, 34]","(15, 20]",Female,2,2,1,1,1.000,1.000,1.000,1.733
7,"(24, 34]","(20, 25]",Male,2,1,6,6,2.000,1.000,2.000,2.710
8,"(24, 34]","(25, 30]",Male,2,2,3,8,1.000,0.375,2.667,3.223
9,"(24, 34]","(30, 35]",Male,2,2,3,1,1.000,3.000,0.333,0.509
10,"(34, 54]","(0, 5]",Female,4,1,3,3,4.000,1.000,4.000,5.541
11,"(34, 54]","(5, 10]",Female,3,5,2,3,0.600,0.667,0.900,1.053
12,"(34, 54]","(25, 30]",Male,1,3,1,2,0.333,0.500,0.667,1.123
13,"(34, 54]","(35, 40]",Male,3,2,3,4,1.500,0.750,2.000,2.383
14,"(34, 54]","(40, 45]",Male,3,3,3,7,1.000,0.429,2.333,2.497
15,"(34, 54]","(45, 50]",Male,1,2,1,2,0.500,0.500,1.000,1.733
16,"(34, 54]","(75, 80]",Male,1,1,1,1,1.000,1.000,1.000,2.001
17,"(54, 100]","(45, 50]",Male,1,2,1,2,0.500,0.500,1.000,1.733
18,"(54, 100]","(50, 55]",Male,1,1,1,2,1.000,0.500,2.000,3.743
19,"(54, 100]","(55, 60]",Male,2,2,1,2,1.000,0.500,2.000,3.164
