,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,231,262,268,306,0.882,0.876,1.007,0.134
1,"(15, 24]","(15, 22]",Male,192,124,634,670,1.548,0.946,1.636,0.225
2,"(15, 24]","(22, 27]",Female,49,33,121,130,1.485,0.931,1.595,0.420
3,"(15, 24]","(22, 27]",Male,35,26,140,124,1.346,1.129,1.192,0.347
4,"(15, 24]","(27, 32]",Female,15,3,37,33,5.000,1.121,4.459,3.024
5,"(15, 24]","(27, 32]",Male,8,3,48,27,2.667,1.778,1.500,1.080
6,"(15, 24]","(32, 37]",Female,8,5,19,5,1.600,3.800,0.421,0.321
7,"(15, 24]","(32, 37]",Male,13,7,22,14,1.857,1.571,1.182,0.688
8,"(15, 24]","(37, 42]",Female,35,17,11,4,2.059,2.750,0.749,0.491
9,"(15, 24]","(37, 42]",Male,16,7,25,10,2.286,2.500,0.914,0.539
10,"(15, 24]","(42, 47]",Female,27,15,9,4,1.800,2.250,0.800,0.547
11,"(15, 24]","(42, 47]",Male,12,4,13,4,3.000,3.250,0.923,0.751
12,"(15, 24]","(47, 52]",Female,14,8,10,7,1.750,1.429,1.225,0.814
13,"(15, 24]","(47, 52]",Male,11,3,11,4,3.667,2.750,1.333,1.168
14,"(15, 24]","(52, 57]",Female,8,5,7,4,1.600,1.750,0.914,0.776
15,"(15, 24]","(52, 57]",Male,7,2,10,4,3.500,2.500,1.400,1.397
16,"(15, 24]","(57, 62]",Female,4,1,4,1,4.000,4.000,1.000,1.582
17,"(15, 24]","(57, 62]",Male,4,4,6,4,1.000,1.500,0.667,0.639
18,"(15, 24]","(62, 67]",Female,6,2,3,1,3.000,3.000,1.000,1.415
19,"(15, 24]","(62, 67]",Male,1,1,8,1,1.000,8.000,0.125,0.221
20,"(24, 34]","(15, 22]",Female,19,28,21,29,0.679,0.724,0.937,0.390
21,"(24, 34]","(15, 22]",Male,39,31,44,61,1.258,0.721,1.744,0.550
22,"(24, 34]","(22, 27]",Female,26,36,58,83,0.722,0.699,1.034,0.324
23,"(24, 34]","(22, 27]",Male,48,43,75,98,1.116,0.765,1.459,0.386
24,"(24, 34]","(27, 32]",Female,33,30,81,96,1.100,0.844,1.304,0.389
25,"(24, 34]","(27, 32]",Male,33,31,73,70,1.065,1.043,1.021,0.311
26,"(24, 34]","(32, 37]",Female,24,12,65,59,2.000,1.102,1.815,0.726
27,"(24, 34]","(32, 37]",Male,20,13,38,20,1.538,1.900,0.810,0.367
28,"(24, 34]","(37, 42]",Female,10,7,32,20,1.429,1.600,0.893,0.510
29,"(24, 34]","(37, 42]",Male,3,6,15,17,0.500,0.882,0.567,0.449
30,"(24, 34]","(42, 47]",Female,9,8,14,7,1.125,2.000,0.562,0.379
31,"(24, 34]","(42, 47]",Male,3,3,17,3,1.000,5.667,0.176,0.182
32,"(24, 34]","(47, 52]",Female,9,9,7,5,1.000,1.400,0.714,0.538
33,"(24, 34]","(47, 52]",Male,6,3,5,6,2.000,0.833,2.400,2.237
34,"(24, 34]","(52, 57]",Female,11,3,7,5,3.667,1.400,2.619,2.298
35,"(24, 34]","(52, 57]",Male,2,1,4,5,2.000,0.800,2.500,3.493
36,"(24, 34]","(57, 62]",Female,9,3,5,2,3.000,2.500,1.200,1.285
37,"(34, 54]","(15, 22]",Female,31,52,15,39,0.596,0.385,1.550,0.593
38,"(34, 54]","(15, 22]",Male,9,19,19,31,0.474,0.613,0.773,0.387
39,"(34, 54]","(22, 27]",Female,20,29,15,26,0.690,0.577,1.195,0.524
40,"(34, 54]","(22, 27]",Male,6,12,13,26,0.500,0.500,1.000,0.607
41,"(34, 54]","(27, 32]",Female,20,34,17,29,0.588,0.586,1.003,0.420
42,"(34, 54]","(27, 32]",Male,21,16,23,29,1.312,0.793,1.655,0.722
43,"(34, 54]","(32, 37]",Female,15,22,30,47,0.682,0.638,1.068,0.439
44,"(34, 54]","(32, 37]",Male,29,25,17,27,1.160,0.630,1.842,0.766
45,"(34, 54]","(37, 42]",Female,17,19,76,65,0.895,1.169,0.765,0.289
46,"(34, 54]","(37, 42]",Male,46,31,30,31,1.484,0.968,1.533,0.536
47,"(34, 54]","(42, 47]",Female,24,21,81,82,1.143,0.988,1.157,0.395
48,"(34, 54]","(42, 47]",Male,36,24,19,26,1.500,0.731,2.053,0.829
49,"(34, 54]","(47, 52]",Female,23,16,98,94,1.438,1.043,1.379,0.496
50,"(34, 54]","(47, 52]",Male,24,19,28,19,1.263,1.474,0.857,0.369
51,"(34, 54]","(52, 57]",Female,17,13,58,61,1.308,0.951,1.375,0.570
52,"(34, 54]","(52, 57]",Male,9,11,17,13,0.818,1.308,0.626,0.365
53,"(34, 54]","(57, 62]",Female,17,10,23,25,1.700,0.920,1.848,0.914
54,"(34, 54]","(57, 62]",Male,8,4,9,5,2.000,1.800,1.111,0.922
55,"(34, 54]","(62, 67]",Female,15,8,20,13,1.875,1.538,1.219,0.691
56,"(34, 54]","(62, 67]",Male,6,3,3,4,2.000,0.750,2.667,2.779
57,"(34, 54]","(67, 72]",Female,12,5,15,4,2.400,3.750,0.640,0.497
58,"(34, 54]","(67, 72]",Male,1,1,5,2,1.000,2.500,0.400,0.658
59,"(34, 54]","(72, 77]",Female,13,8,17,8,1.625,2.125,0.765,0.476
60,"(54, 100]","(15, 22]",Female,7,32,2,26,0.219,0.077,2.844,2.405
61,"(54, 100]","(15, 22]",Male,4,14,2,15,0.286,0.133,2.143,2.022
62,"(54, 100]","(22, 27]",Female,9,35,7,15,0.257,0.467,0.551,0.327
63,"(54, 100]","(22, 27]",Male,5,13,1,11,0.385,0.091,4.231,4.953
64,"(54, 100]","(27, 32]",Female,15,46,3,16,0.326,0.188,1.739,1.213
65,"(54, 100]","(27, 32]",Male,3,9,7,16,0.333,0.438,0.762,0.615
66,"(54, 100]","(32, 37]",Female,12,68,4,18,0.176,0.222,0.794,0.506
67,"(54, 100]","(32, 37]",Male,7,9,6,12,0.778,0.500,1.556,1.107
68,"(54, 100]","(37, 42]",Female,19,69,9,16,0.275,0.562,0.490,0.241
69,"(54, 100]","(37, 42]",Male,6,13,8,15,0.462,0.533,0.865,0.573
70,"(54, 100]","(42, 47]",Female,21,63,8,36,0.333,0.222,1.500,0.702
71,"(54, 100]","(42, 47]",Male,6,21,6,19,0.286,0.316,0.905,0.597
72,"(54, 100]","(47, 52]",Female,32,71,10,41,0.451,0.244,1.848,0.767
73,"(54, 100]","(47, 52]",Male,8,21,5,20,0.381,0.250,1.524,0.994
74,"(54, 100]","(52, 57]",Female,29,83,26,47,0.349,0.553,0.632,0.208
75,"(54, 100]","(52, 57]",Male,15,28,16,22,0.536,0.727,0.737,0.340
76,"(54, 100]","(57, 62]",Female,34,70,58,85,0.486,0.682,0.712,0.195
77,"(54, 100]","(57, 62]",Male,17,28,13,16,0.607,0.812,0.747,0.363
78,"(54, 100]","(62, 67]",Female,35,83,70,104,0.422,0.673,0.627,0.162
79,"(54, 100]","(62, 67]",Male,22,36,11,19,0.611,0.579,1.056,0.494
80,"(54, 100]","(67, 72]",Female,44,83,95,112,0.530,0.848,0.625,0.149
81,"(54, 100]","(67, 72]",Male,21,25,18,22,0.840,0.818,1.027,0.449
82,"(54, 100]","(72, 77]",Female,31,58,109,116,0.534,0.940,0.569,0.150
83,"(54, 100]","(72, 77]",Male,14,20,17,14,0.700,1.214,0.576,0.291
84,"(54, 100]","(77, 82]",Female,39,49,86,86,0.796,1.000,0.796,0.213
85,"(54, 100]","(77, 82]",Male,11,20,11,7,0.550,1.571,0.350,0.215
86,"(54, 100]","(82, 87]",Female,18,28,35,52,0.643,0.673,0.955,0.359
87,"(54, 100]","(82, 87]",Male,4,17,8,8,0.235,1.000,0.235,0.176
88,"(54, 100]","(87, 92]",Female,9,6,14,18,1.500,0.778,1.929,1.231
