,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,15,17,13,12,0.882,1.083,0.814,0.437
1,"(15, 24]","(5, 10]",Female,9,8,10,6,1.125,1.667,0.675,0.480
2,"(15, 24]","(5, 10]",Male,4,3,2,1,1.333,2.000,0.667,0.963
3,"(15, 24]","(10, 15]",Female,74,71,19,26,1.042,0.731,1.426,0.497
4,"(15, 24]","(10, 15]",Male,54,44,95,88,1.227,1.080,1.137,0.291
5,"(15, 24]","(15, 20]",Female,203,189,93,145,1.074,0.641,1.675,0.292
6,"(15, 24]","(15, 20]",Male,268,235,529,509,1.140,1.039,1.097,0.131
7,"(15, 24]","(20, 25]",Female,85,75,54,73,1.133,0.740,1.532,0.375
8,"(15, 24]","(20, 25]",Male,126,115,243,223,1.096,1.090,1.005,0.167
9,"(15, 24]","(25, 30]",Female,27,10,24,33,2.700,0.727,3.713,1.707
10,"(15, 24]","(25, 30]",Male,36,18,65,44,2.000,1.477,1.354,0.477
11,"(15, 24]","(30, 35]",Female,11,10,11,14,1.100,0.786,1.400,0.835
12,"(15, 24]","(30, 35]",Male,10,8,19,16,1.250,1.188,1.053,0.616
13,"(15, 24]","(35, 40]",Female,18,10,4,4,1.800,1.000,1.800,1.460
14,"(15, 24]","(35, 40]",Male,13,10,15,10,1.300,1.500,0.867,0.510
15,"(15, 24]","(40, 45]",Female,19,14,3,3,1.357,1.000,1.357,1.209
16,"(15, 24]","(40, 45]",Male,17,1,11,7,17.000,1.571,10.818,12.311
17,"(15, 24]","(45, 50]",Female,15,9,8,3,1.667,2.667,0.625,0.499
18,"(15, 24]","(45, 50]",Male,10,4,11,8,2.500,1.375,1.818,1.371
19,"(15, 24]","(50, 55]",Female,12,6,5,2,2.000,2.500,0.800,0.781
20,"(15, 24]","(55, 60]",Male,4,1,5,1,4.000,5.000,0.800,1.253
21,"(15, 24]","(60, 65]",Female,7,1,1,2,7.000,0.500,14.000,22.770
22,"(15, 24]","(60, 65]",Male,5,3,4,1,1.667,4.000,0.417,0.557
23,"(15, 24]","(65, 70]",Female,7,2,6,1,3.500,6.000,0.583,0.785
24,"(15, 24]","(70, 75]",Female,9,2,4,1,4.500,4.000,1.125,1.536
25,"(24, 34]","(0, 5]",Female,30,23,27,35,1.304,0.771,1.691,0.644
26,"(24, 34]","(0, 5]",Male,8,6,10,8,1.333,1.250,1.067,0.769
27,"(24, 34]","(5, 10]",Female,45,42,36,41,1.071,0.878,1.220,0.387
28,"(24, 34]","(5, 10]",Male,17,5,12,14,3.400,0.857,3.967,2.559
29,"(24, 34]","(10, 15]",Female,24,30,18,20,0.800,0.900,0.889,0.380
30,"(24, 34]","(10, 15]",Male,5,9,11,9,0.556,1.222,0.455,0.326
31,"(24, 34]","(15, 20]",Female,6,19,3,11,0.316,0.273,1.158,0.931
32,"(24, 34]","(15, 20]",Male,19,31,25,54,0.613,0.463,1.324,0.506
33,"(24, 34]","(20, 25]",Female,18,26,14,21,0.692,0.667,1.038,0.482
34,"(24, 34]","(20, 25]",Male,98,97,80,84,1.010,0.952,1.061,0.231
35,"(24, 34]","(25, 30]",Female,33,34,38,49,0.971,0.776,1.252,0.413
36,"(24, 34]","(25, 30]",Male,113,84,74,85,1.345,0.871,1.545,0.340
37,"(24, 34]","(30, 35]",Female,23,29,36,31,0.793,1.161,0.683,0.256
38,"(24, 34]","(30, 35]",Male,50,49,39,31,1.020,1.258,0.811,0.258
