,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,641,623,813,1010,1.029,0.805,1.278,0.114
1,"(15, 24]","(15, 22]",Male,447,325,3483,3503,1.375,0.994,1.383,0.127
2,"(15, 24]","(22, 27]",Female,96,98,406,412,0.980,0.985,0.994,0.166
3,"(15, 24]","(22, 27]",Male,75,66,851,758,1.136,1.123,1.012,0.185
4,"(15, 24]","(27, 32]",Female,50,31,134,127,1.613,1.055,1.529,0.405
5,"(15, 24]","(27, 32]",Male,37,19,251,178,1.947,1.410,1.381,0.418
6,"(15, 24]","(32, 37]",Female,40,17,66,49,2.353,1.347,1.747,0.610
7,"(15, 24]","(32, 37]",Male,27,10,121,72,2.700,1.681,1.607,0.646
8,"(15, 24]","(37, 42]",Female,54,22,28,19,2.455,1.474,1.666,0.655
9,"(15, 24]","(37, 42]",Male,29,11,67,35,2.636,1.914,1.377,0.570
10,"(15, 24]","(42, 47]",Female,37,17,13,9,2.176,1.444,1.507,0.792
11,"(15, 24]","(42, 47]",Male,15,11,61,21,1.364,2.905,0.469,0.222
12,"(15, 24]","(47, 52]",Female,24,4,10,5,6.000,2.000,3.000,2.312
13,"(15, 24]","(47, 52]",Male,14,1,45,18,14.000,2.500,5.600,6.010
14,"(15, 24]","(52, 57]",Female,14,5,5,3,2.800,1.667,1.680,1.509
15,"(15, 24]","(57, 62]",Female,8,3,6,4,2.667,1.500,1.778,1.665
16,"(15, 24]","(57, 62]",Male,6,2,7,7,3.000,1.000,3.000,2.932
17,"(15, 24]","(62, 67]",Female,5,2,4,2,2.500,2.000,1.250,1.506
18,"(15, 24]","(62, 67]",Male,4,1,13,7,4.000,1.857,2.154,2.613
19,"(24, 34]","(15, 22]",Female,60,56,66,80,1.071,0.825,1.299,0.330
20,"(24, 34]","(15, 22]",Male,84,80,324,355,1.050,0.913,1.150,0.208
21,"(24, 34]","(22, 27]",Female,69,71,126,196,0.972,0.643,1.512,0.318
22,"(24, 34]","(22, 27]",Male,114,89,468,482,1.281,0.971,1.319,0.216
23,"(24, 34]","(27, 32]",Female,58,44,206,258,1.318,0.798,1.651,0.374
24,"(24, 34]","(27, 32]",Male,76,58,350,337,1.310,1.039,1.262,0.248
25,"(24, 34]","(32, 37]",Female,34,24,131,146,1.417,0.897,1.579,0.469
26,"(24, 34]","(32, 37]",Male,29,26,179,120,1.115,1.492,0.748,0.224
27,"(24, 34]","(37, 42]",Female,15,7,60,56,2.143,1.071,2.000,0.993
28,"(24, 34]","(37, 42]",Male,20,7,93,53,2.857,1.755,1.628,0.772
29,"(24, 34]","(42, 47]",Female,9,11,32,24,0.818,1.333,0.614,0.323
30,"(24, 34]","(42, 47]",Male,10,3,44,24,3.333,1.833,1.818,1.286
31,"(24, 34]","(47, 52]",Female,23,8,22,12,2.875,1.833,1.568,0.859
32,"(24, 34]","(47, 52]",Male,9,5,27,14,1.800,1.929,0.933,0.606
33,"(24, 34]","(52, 57]",Female,21,10,19,7,2.100,2.714,0.774,0.455
34,"(24, 34]","(52, 57]",Male,5,1,16,11,5.000,1.455,3.438,4.003
35,"(24, 34]","(57, 62]",Female,12,3,10,3,4.000,3.333,1.200,1.108
36,"(24, 34]","(57, 62]",Male,6,1,12,4,6.000,3.000,2.000,2.452
37,"(24, 34]","(62, 67]",Female,6,7,3,3,0.857,1.000,0.857,0.848
38,"(34, 54]","(15, 22]",Female,46,97,28,73,0.474,0.384,1.236,0.358
39,"(34, 54]","(15, 22]",Male,18,21,79,141,0.857,0.560,1.530,0.542
40,"(34, 54]","(22, 27]",Female,39,62,40,57,0.629,0.702,0.896,0.264
41,"(34, 54]","(22, 27]",Male,23,28,88,133,0.821,0.662,1.241,0.394
42,"(34, 54]","(27, 32]",Female,36,48,26,67,0.750,0.388,1.933,0.625
43,"(34, 54]","(27, 32]",Male,33,32,97,108,1.031,0.898,1.148,0.332
44,"(34, 54]","(32, 37]",Female,36,39,61,103,0.923,0.592,1.559,0.446
45,"(34, 54]","(32, 37]",Male,39,39,107,136,1.000,0.787,1.271,0.337
46,"(34, 54]","(37, 42]",Female,28,32,101,117,0.875,0.863,1.014,0.301
47,"(34, 54]","(37, 42]",Male,45,37,113,110,1.216,1.027,1.184,0.313
48,"(34, 54]","(42, 47]",Female,25,19,95,107,1.316,0.888,1.482,0.503
49,"(34, 54]","(42, 47]",Male,30,32,55,63,0.938,0.873,1.074,0.342
50,"(34, 54]","(47, 52]",Female,18,28,99,101,0.643,0.980,0.656,0.221
51,"(34, 54]","(47, 52]",Male,30,26,47,43,1.154,1.093,1.056,0.364
52,"(34, 54]","(52, 57]",Female,19,23,96,93,0.826,1.032,0.800,0.277
53,"(34, 54]","(52, 57]",Male,14,8,40,28,1.750,1.429,1.225,0.624
54,"(34, 54]","(57, 62]",Female,15,9,48,45,1.667,1.067,1.562,0.738
55,"(34, 54]","(57, 62]",Male,10,4,21,13,2.500,1.615,1.548,1.069
56,"(34, 54]","(62, 67]",Female,20,8,30,16,2.500,1.875,1.333,0.697
57,"(34, 54]","(62, 67]",Male,8,6,19,10,1.333,1.900,0.702,0.469
58,"(34, 54]","(67, 72]",Female,9,5,20,7,1.800,2.857,0.630,0.448
59,"(34, 54]","(72, 77]",Female,8,4,13,7,2.000,1.857,1.077,0.832
60,"(34, 54]","(77, 82]",Female,2,1,7,2,2.000,3.500,0.571,0.837
61,"(54, 100]","(15, 22]",Female,16,60,6,33,0.267,0.182,1.467,0.774
62,"(54, 100]","(15, 22]",Male,4,17,9,26,0.235,0.346,0.680,0.461
63,"(54, 100]","(22, 27]",Female,12,52,10,34,0.231,0.294,0.785,0.380
64,"(54, 100]","(22, 27]",Male,3,14,19,52,0.214,0.365,0.586,0.406
65,"(54, 100]","(27, 32]",Female,25,68,8,32,0.368,0.250,1.471,0.679
66,"(54, 100]","(27, 32]",Male,7,18,19,35,0.389,0.543,0.716,0.380
67,"(54, 100]","(32, 37]",Female,17,65,16,31,0.262,0.516,0.507,0.210
68,"(54, 100]","(32, 37]",Male,3,20,13,38,0.150,0.342,0.438,0.307
69,"(54, 100]","(37, 42]",Female,20,71,9,20,0.282,0.450,0.626,0.299
70,"(54, 100]","(37, 42]",Male,4,13,16,28,0.308,0.571,0.538,0.352
