,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,17,25,25,32,0.680,0.781,0.870,0.362
1,"(15, 24]","(0, 5]",Male,16,7,20,19,2.286,1.053,2.171,1.210
2,"(15, 24]","(5, 10]",Female,6,7,3,8,0.857,0.375,2.286,2.006
3,"(15, 24]","(5, 10]",Male,5,3,8,7,1.667,1.143,1.458,1.307
4,"(15, 24]","(10, 15]",Female,23,32,11,9,0.719,1.222,0.588,0.311
5,"(15, 24]","(10, 15]",Male,36,44,80,102,0.818,0.784,1.043,0.286
6,"(15, 24]","(15, 20]",Female,53,76,25,53,0.697,0.472,1.478,0.452
7,"(15, 24]","(15, 20]",Male,102,97,386,555,1.052,0.695,1.512,0.248
8,"(15, 24]","(20, 25]",Female,19,27,23,37,0.704,0.622,1.132,0.457
9,"(15, 24]","(20, 25]",Male,21,42,208,250,0.500,0.832,0.601,0.173
10,"(15, 24]","(25, 30]",Female,6,2,6,9,3.000,0.667,4.500,4.379
11,"(15, 24]","(25, 30]",Male,14,8,54,63,1.750,0.857,2.042,0.986
12,"(15, 24]","(30, 35]",Female,3,3,5,8,1.000,0.625,1.600,1.595
13,"(15, 24]","(30, 35]",Male,6,3,18,24,2.000,0.750,2.667,2.065
14,"(15, 24]","(35, 40]",Female,1,2,1,2,0.500,0.500,1.000,1.733
15,"(15, 24]","(35, 40]",Male,4,6,3,4,0.667,0.750,0.889,0.890
16,"(15, 24]","(40, 45]",Female,6,3,3,1,2.000,3.000,0.667,0.903
17,"(15, 24]","(40, 45]",Male,6,6,11,3,1.000,3.667,0.273,0.238
18,"(15, 24]","(45, 50]",Female,1,1,3,1,1.000,3.000,0.333,0.609
19,"(15, 24]","(45, 50]",Male,1,4,9,4,0.250,2.250,0.111,0.141
20,"(15, 24]","(50, 55]",Male,3,2,2,3,1.500,0.667,2.250,2.907
21,"(15, 24]","(65, 70]",Male,3,1,2,1,3.000,2.000,1.500,2.526
22,"(24, 34]","(0, 5]",Female,26,44,27,45,0.591,0.600,0.985,0.345
23,"(24, 34]","(0, 5]",Male,14,14,18,24,1.000,0.750,1.333,0.657
24,"(24, 34]","(5, 10]",Female,25,35,37,44,0.714,0.841,0.849,0.295
25,"(24, 34]","(5, 10]",Male,8,12,18,18,0.667,1.000,0.667,0.378
26,"(24, 34]","(10, 15]",Female,13,19,11,9,0.684,1.222,0.560,0.324
27,"(24, 34]","(10, 15]",Male,3,7,7,12,0.429,0.583,0.735,0.617
28,"(24, 34]","(15, 20]",Female,7,15,2,9,0.467,0.222,2.100,1.905
29,"(24, 34]","(15, 20]",Male,8,20,54,86,0.400,0.628,0.637,0.290
30,"(24, 34]","(20, 25]",Female,10,10,9,15,1.000,0.600,1.667,1.028
31,"(24, 34]","(20, 25]",Male,10,22,73,122,0.455,0.598,0.760,0.313
32,"(24, 34]","(25, 30]",Female,10,11,9,10,0.909,0.900,1.010,0.642
33,"(24, 34]","(25, 30]",Male,11,19,52,76,0.579,0.684,0.846,0.357
34,"(24, 34]","(30, 35]",Female,3,5,9,6,0.600,1.500,0.400,0.361
35,"(24, 34]","(30, 35]",Male,13,5,40,53,2.600,0.755,3.445,1.959
36,"(24, 34]","(35, 40]",Female,1,2,2,7,0.500,0.286,1.750,2.563
37,"(24, 34]","(40, 45]",Female,2,5,3,2,0.400,1.500,0.267,0.330
38,"(24, 34]","(45, 50]",Male,4,5,5,8,0.800,0.625,1.280,1.129
39,"(24, 34]","(50, 55]",Female,1,1,3,2,1.000,1.500,0.667,1.123
40,"(24, 34]","(50, 55]",Male,3,5,8,4,0.600,2.000,0.300,0.286
41,"(24, 34]","(55, 60]",Male,6,3,6,3,2.000,2.000,1.000,1.001
42,"(34, 54]","(0, 5]",Female,9,14,9,12,0.643,0.750,0.857,0.528
43,"(34, 54]","(0, 5]",Male,2,9,4,11,0.222,0.364,0.611,0.597
44,"(34, 54]","(5, 10]",Female,13,17,11,24,0.765,0.458,1.668,0.868
45,"(34, 54]","(5, 10]",Male,11,20,12,23,0.550,0.522,1.054,0.548
46,"(34, 54]","(10, 15]",Female,13,31,8,26,0.419,0.308,1.363,0.715
47,"(34, 54]","(10, 15]",Male,12,30,14,34,0.400,0.412,0.971,0.456
48,"(34, 54]","(15, 20]",Female,4,15,5,14,0.267,0.357,0.747,0.574
49,"(34, 54]","(15, 20]",Male,10,17,11,27,0.588,0.407,1.444,0.777
50,"(34, 54]","(20, 25]",Female,4,7,3,6,0.571,0.500,1.143,1.081
51,"(34, 54]","(20, 25]",Male,4,9,13,24,0.444,0.542,0.821,0.570
52,"(34, 54]","(25, 30]",Female,3,3,2,4,1.000,0.500,2.000,2.383
53,"(34, 54]","(25, 30]",Male,6,11,9,29,0.545,0.310,1.758,1.119
54,"(34, 54]","(30, 35]",Female,5,5,4,6,1.000,0.667,1.500,1.358
