,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.076,0.215,3.000
1,"(5, 10]",1.000,0.209,8.000
2,"(10, 15]",0.887,0.162,13.000
3,"(15, 20]",1.389,0.180,18.000
4,"(20, 25]",0.801,0.145,23.000
5,"(25, 30]",1.382,0.330,28.000
6,"(30, 35]",1.642,0.487,33.000
7,"(35, 40]",1.462,0.595,38.000
8,"(40, 45]",0.976,0.344,43.000
9,"(45, 50]",0.666,0.274,48.000
10,"(50, 55]",1.153,0.466,53.000
11,"(55, 60]",1.754,0.869,58.000
12,"(60, 65]",0.918,0.508,63.000
13,"(65, 70]",1.469,0.713,68.000
14,"(70, 75]",0.869,0.397,73.000
15,"(75, 80]",1.112,0.633,78.000
16,"(80, 85]",0.750,0.777,83.000
