,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,64,51,64,59,1.255,1.085,1.157,0.307
1,"(15, 24]","(0, 5]",Male,32,16,42,16,2.000,2.625,0.762,0.326
2,"(15, 24]","(5, 10]",Female,19,21,18,13,0.905,1.385,0.653,0.317
3,"(15, 24]","(5, 10]",Male,6,3,16,11,2.000,1.455,1.375,1.114
4,"(15, 24]","(10, 15]",Female,148,147,61,63,1.007,0.968,1.040,0.229
5,"(15, 24]","(10, 15]",Male,203,176,342,319,1.153,1.072,1.076,0.149
6,"(15, 24]","(15, 20]",Female,524,554,207,304,0.946,0.681,1.389,0.166
7,"(15, 24]","(15, 20]",Male,881,760,2758,2835,1.159,0.973,1.192,0.090
8,"(15, 24]","(20, 25]",Female,174,151,197,218,1.152,0.904,1.275,0.200
9,"(15, 24]","(20, 25]",Male,382,287,1328,1256,1.331,1.057,1.259,0.127
10,"(15, 24]","(25, 30]",Female,38,47,56,72,0.809,0.778,1.040,0.297
11,"(15, 24]","(25, 30]",Male,67,60,300,283,1.117,1.060,1.053,0.213
12,"(15, 24]","(30, 35]",Female,28,24,20,28,1.167,0.714,1.633,0.665
13,"(15, 24]","(30, 35]",Male,45,28,112,90,1.607,1.244,1.291,0.366
14,"(15, 24]","(35, 40]",Female,30,15,9,10,2.000,0.900,2.222,1.244
15,"(15, 24]","(35, 40]",Male,32,13,65,50,2.462,1.300,1.893,0.724
16,"(15, 24]","(40, 45]",Female,33,21,15,7,1.571,2.143,0.733,0.395
17,"(15, 24]","(40, 45]",Male,25,9,58,34,2.778,1.706,1.628,0.729
18,"(15, 24]","(45, 50]",Female,32,15,3,3,2.133,1.000,2.133,1.868
19,"(15, 24]","(45, 50]",Male,24,11,37,17,2.182,2.176,1.002,0.471
20,"(15, 24]","(50, 55]",Female,19,4,5,4,4.750,1.250,3.800,3.302
21,"(15, 24]","(50, 55]",Male,17,9,19,13,1.889,1.462,1.292,0.710
22,"(15, 24]","(55, 60]",Female,18,5,3,1,3.600,3.000,1.200,1.514
23,"(15, 24]","(55, 60]",Male,17,2,19,9,8.500,2.111,4.026,3.428
24,"(15, 24]","(60, 65]",Female,16,2,4,3,8.000,1.333,6.000,6.430
25,"(15, 24]","(65, 70]",Male,6,5,10,2,1.200,5.000,0.240,0.236
26,"(15, 24]","(70, 75]",Female,7,3,7,1,2.333,7.000,0.333,0.424
27,"(24, 34]","(0, 5]",Female,51,72,65,57,0.708,1.140,0.621,0.163
