,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,22,28,17,14,0.786,1.214,0.647,0.299
1,"(15, 24]","(0, 5]",Male,10,7,15,17,1.429,0.882,1.619,0.986
2,"(15, 24]","(5, 10]",Female,12,11,7,6,1.091,1.167,0.935,0.652
3,"(15, 24]","(5, 10]",Male,9,5,6,9,1.800,0.667,2.700,2.076
4,"(15, 24]","(10, 15]",Female,43,53,19,31,0.811,0.613,1.324,0.476
5,"(15, 24]","(10, 15]",Male,63,75,128,185,0.840,0.692,1.214,0.257
6,"(15, 24]","(15, 20]",Female,79,127,59,100,0.622,0.590,1.054,0.236
7,"(15, 24]","(15, 20]",Male,157,168,750,1058,0.935,0.709,1.318,0.172
8,"(15, 24]","(20, 25]",Female,28,31,34,62,0.903,0.548,1.647,0.561
9,"(15, 24]","(20, 25]",Male,46,64,325,470,0.719,0.691,1.039,0.221
10,"(15, 24]","(25, 30]",Female,8,10,10,12,0.800,0.833,0.960,0.615
11,"(15, 24]","(25, 30]",Male,19,18,82,88,1.056,0.932,1.133,0.415
12,"(15, 24]","(30, 35]",Female,4,4,6,9,1.000,0.667,1.500,1.325
13,"(15, 24]","(30, 35]",Male,4,4,39,25,1.000,1.560,0.641,0.483
14,"(15, 24]","(35, 40]",Female,2,3,3,4,0.667,0.750,0.889,1.059
15,"(15, 24]","(35, 40]",Male,12,3,20,20,4.000,1.000,4.000,2.882
16,"(15, 24]","(40, 45]",Female,7,7,1,2,1.000,0.500,2.000,2.674
17,"(15, 24]","(40, 45]",Male,10,7,19,10,1.429,1.900,0.752,0.474
18,"(15, 24]","(45, 50]",Female,2,3,3,2,0.667,1.500,0.444,0.574
19,"(15, 24]","(45, 50]",Male,7,4,6,6,1.750,1.000,1.750,1.494
20,"(15, 24]","(50, 55]",Male,7,7,4,2,1.000,2.000,0.500,0.509
21,"(15, 24]","(55, 60]",Female,2,2,1,1,1.000,1.000,1.000,1.733
22,"(15, 24]","(55, 60]",Male,7,1,3,3,7.000,1.000,7.000,9.423
23,"(15, 24]","(60, 65]",Female,1,1,2,2,1.000,1.000,1.000,1.733
24,"(15, 24]","(80, 85]",Male,4,1,2,1,4.000,2.000,2.000,3.318
25,"(24, 34]","(0, 5]",Female,28,38,33,40,0.737,0.825,0.893,0.309
26,"(24, 34]","(0, 5]",Male,13,23,22,23,0.565,0.957,0.591,0.272
27,"(24, 34]","(5, 10]",Female,31,44,23,44,0.705,0.523,1.348,0.474
28,"(24, 34]","(5, 10]",Male,9,15,11,12,0.600,0.917,0.655,0.390
29,"(24, 34]","(10, 15]",Female,19,23,8,20,0.826,0.400,2.065,1.080
30,"(24, 34]","(10, 15]",Male,6,8,19,28,0.750,0.679,1.105,0.684
31,"(24, 34]","(15, 20]",Female,9,12,2,8,0.750,0.250,3.000,2.720
32,"(24, 34]","(15, 20]",Male,25,36,60,121,0.694,0.496,1.400,0.432
33,"(24, 34]","(20, 25]",Female,14,14,7,12,1.000,0.583,1.714,1.045
34,"(24, 34]","(20, 25]",Male,29,41,124,205,0.707,0.605,1.169,0.319
35,"(24, 34]","(25, 30]",Female,11,13,11,13,0.846,0.846,1.000,0.582
36,"(24, 34]","(25, 30]",Male,26,30,102,154,0.867,0.662,1.308,0.394
37,"(24, 34]","(30, 35]",Female,7,6,11,10,1.167,1.100,1.061,0.752
38,"(24, 34]","(30, 35]",Male,14,13,51,71,1.077,0.718,1.499,0.644
39,"(24, 34]","(35, 40]",Female,8,3,5,8,2.667,0.625,4.267,3.782
40,"(24, 34]","(35, 40]",Male,14,7,24,34,2.000,0.706,2.833,1.520
41,"(24, 34]","(40, 45]",Female,5,5,3,3,1.000,1.000,1.000,1.034
42,"(24, 34]","(40, 45]",Male,5,2,21,18,2.500,1.167,2.143,1.923
43,"(24, 34]","(45, 50]",Female,4,1,6,5,4.000,1.200,3.333,4.242
44,"(24, 34]","(45, 50]",Male,10,2,8,9,5.000,0.889,5.625,5.151
45,"(24, 34]","(50, 55]",Female,3,4,2,3,0.750,0.667,1.125,1.340
46,"(24, 34]","(50, 55]",Male,10,2,13,4,5.000,3.250,1.538,1.483
47,"(24, 34]","(55, 60]",Male,7,4,4,3,1.750,1.333,1.312,1.298
48,"(24, 34]","(60, 65]",Male,2,1,7,1,2.000,7.000,0.286,0.465
49,"(24, 34]","(65, 70]",Female,5,2,5,3,2.500,1.667,1.500,1.668
50,"(34, 54]","(0, 5]",Female,5,14,7,12,0.357,0.583,0.612,0.433
51,"(34, 54]","(0, 5]",Male,2,11,10,12,0.182,0.833,0.218,0.192
52,"(34, 54]","(5, 10]",Female,12,36,8,30,0.333,0.267,1.250,0.652
53,"(34, 54]","(5, 10]",Male,9,25,11,27,0.360,0.407,0.884,0.469
54,"(34, 54]","(10, 15]",Female,15,59,11,31,0.254,0.355,0.716,0.328
55,"(34, 54]","(10, 15]",Male,19,34,18,55,0.559,0.327,1.708,0.679
56,"(34, 54]","(15, 20]",Female,14,29,10,17,0.483,0.588,0.821,0.424
57,"(34, 54]","(15, 20]",Male,12,38,23,64,0.316,0.359,0.879,0.364
58,"(34, 54]","(20, 25]",Female,5,8,2,13,0.625,0.154,4.062,3.863
59,"(34, 54]","(20, 25]",Male,10,23,21,53,0.435,0.396,1.097,0.506
60,"(34, 54]","(25, 30]",Female,5,6,4,8,0.833,0.500,1.667,1.438
61,"(34, 54]","(25, 30]",Male,5,13,25,39,0.385,0.641,0.600,0.352
62,"(34, 54]","(30, 35]",Female,3,7,4,8,0.429,0.500,0.857,0.792
63,"(34, 54]","(30, 35]",Male,11,19,30,51,0.579,0.588,0.984,0.439
64,"(34, 54]","(35, 40]",Female,1,6,4,4,0.167,1.000,0.167,0.215
65,"(34, 54]","(35, 40]",Male,16,19,25,45,0.842,0.556,1.516,0.643
66,"(34, 54]","(40, 45]",Female,1,4,6,6,0.250,1.000,0.250,0.315
67,"(34, 54]","(40, 45]",Male,13,17,16,32,0.765,0.500,1.529,0.737
68,"(34, 54]","(45, 50]",Female,7,8,6,8,0.875,0.750,1.167,0.875
69,"(34, 54]","(45, 50]",Male,15,10,19,20,1.500,0.950,1.579,0.823
70,"(34, 54]","(50, 55]",Female,11,5,6,10,2.200,0.600,3.667,2.744
71,"(34, 54]","(50, 55]",Male,19,14,17,8,1.357,2.125,0.639,0.356
72,"(34, 54]","(55, 60]",Female,5,4,7,7,1.250,1.000,1.250,1.074
73,"(34, 54]","(55, 60]",Male,4,9,14,4,0.444,3.500,0.127,0.105
74,"(34, 54]","(60, 65]",Female,7,7,5,2,1.000,2.500,0.400,0.398
75,"(34, 54]","(60, 65]",Male,12,7,9,10,1.714,0.900,1.905,1.263
76,"(34, 54]","(65, 70]",Female,7,3,3,1,2.333,3.000,0.778,1.047
77,"(34, 54]","(65, 70]",Male,14,8,11,4,1.750,2.750,0.636,0.468
78,"(34, 54]","(70, 75]",Male,13,3,4,5,4.333,0.800,5.417,5.031
79,"(34, 54]","(75, 80]",Female,5,3,6,2,1.667,3.000,0.556,0.609
80,"(34, 54]","(75, 80]",Male,13,2,4,1,6.500,4.000,1.625,2.198
81,"(54, 100]","(0, 5]",Female,1,6,1,2,0.167,0.500,0.333,0.545
82,"(54, 100]","(0, 5]",Male,2,7,4,4,0.286,1.000,0.286,0.306
83,"(54, 100]","(5, 10]",Female,2,4,2,6,0.500,0.333,1.500,1.787
84,"(54, 100]","(10, 15]",Male,4,17,5,30,0.235,0.167,1.412,1.042
85,"(54, 100]","(15, 20]",Female,2,6,2,3,0.333,0.667,0.500,0.613
86,"(54, 100]","(15, 20]",Male,1,17,5,18,0.059,0.278,0.212,0.243
87,"(54, 100]","(20, 25]",Female,1,2,2,6,0.500,0.333,1.500,2.209
88,"(54, 100]","(25, 30]",Male,4,10,2,11,0.400,0.182,2.200,2.137
