,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.708,0.142,3.000
1,"(5, 10]",1.164,0.245,8.000
2,"(10, 15]",1.272,0.181,13.000
3,"(15, 20]",1.206,0.120,18.000
4,"(20, 25]",1.227,0.168,23.000
5,"(25, 30]",1.141,0.211,28.000
6,"(30, 35]",1.207,0.277,33.000
7,"(35, 40]",2.022,0.524,38.000
8,"(40, 45]",1.105,0.335,43.000
9,"(45, 50]",1.597,0.465,48.000
10,"(50, 55]",1.264,0.370,53.000
11,"(55, 60]",0.937,0.307,58.000
12,"(60, 65]",1.254,0.428,63.000
13,"(65, 70]",1.072,0.354,68.000
14,"(70, 75]",1.066,0.420,73.000
15,"(75, 80]",0.985,0.399,78.000
16,"(80, 85]",1.351,0.593,83.000
17,"(85, 90]",1.190,0.857,88.000
18,"(90, 95]",1.517,1.681,93.000
19,"(95, 100]",3.000,5.479,98.000
