,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,185,171,180,205,1.082,0.878,1.232,0.192
1,"(15, 24]","(15, 22]",Male,129,111,428,397,1.162,1.078,1.078,0.167
2,"(15, 24]","(22, 27]",Female,36,26,78,90,1.385,0.867,1.598,0.486
3,"(15, 24]","(22, 27]",Male,25,14,96,84,1.786,1.143,1.563,0.577
4,"(15, 24]","(27, 32]",Female,8,13,27,17,0.615,1.588,0.387,0.212
5,"(15, 24]","(27, 32]",Male,8,7,22,15,1.143,1.467,0.779,0.482
6,"(15, 24]","(32, 37]",Female,10,10,10,11,1.000,0.909,1.100,0.690
7,"(15, 24]","(32, 37]",Male,9,4,11,4,2.250,2.750,0.818,0.687
8,"(15, 24]","(37, 42]",Female,18,8,5,4,2.250,1.250,1.800,1.432
9,"(15, 24]","(37, 42]",Male,15,5,6,4,3.000,1.500,2.000,1.656
10,"(15, 24]","(42, 47]",Female,27,8,8,1,3.375,8.000,0.422,0.479
11,"(15, 24]","(42, 47]",Male,14,3,11,2,4.667,5.500,0.848,0.848
12,"(15, 24]","(47, 52]",Female,10,5,8,1,2.000,8.000,0.250,0.299
13,"(15, 24]","(52, 57]",Male,3,2,5,1,1.500,5.000,0.300,0.428
14,"(15, 24]","(62, 67]",Male,1,1,4,1,1.000,4.000,0.250,0.451
15,"(24, 34]","(15, 22]",Female,17,10,13,21,1.700,0.619,2.746,1.468
16,"(24, 34]","(15, 22]",Male,15,9,30,33,1.667,0.909,1.833,0.905
17,"(24, 34]","(22, 27]",Female,24,24,60,54,1.000,1.111,0.900,0.313
18,"(24, 34]","(22, 27]",Male,39,33,55,61,1.182,0.902,1.311,0.400
19,"(24, 34]","(27, 32]",Female,15,13,104,132,1.154,0.788,1.464,0.592
20,"(24, 34]","(27, 32]",Male,36,24,24,27,1.500,0.889,1.688,0.655
21,"(24, 34]","(32, 37]",Female,12,12,76,69,1.000,1.101,0.908,0.403
22,"(24, 34]","(32, 37]",Male,18,12,12,6,1.500,2.000,0.750,0.469
23,"(24, 34]","(37, 42]",Female,13,6,27,36,2.167,0.750,2.889,1.611
24,"(24, 34]","(37, 42]",Male,9,5,10,7,1.800,1.429,1.260,0.940
25,"(24, 34]","(42, 47]",Female,9,3,13,11,3.000,1.182,2.538,1.990
26,"(24, 34]","(42, 47]",Male,4,1,5,6,4.000,0.833,4.800,6.108
27,"(24, 34]","(47, 52]",Female,15,10,4,4,1.500,1.000,1.500,1.227
28,"(24, 34]","(47, 52]",Male,7,3,3,4,2.333,0.750,3.111,3.206
29,"(24, 34]","(52, 57]",Female,10,7,6,1,1.429,6.000,0.238,0.283
30,"(24, 34]","(52, 57]",Male,1,2,6,2,0.500,3.000,0.167,0.245
31,"(24, 34]","(57, 62]",Female,6,3,6,1,2.000,6.000,0.333,0.431
32,"(34, 54]","(15, 22]",Female,27,50,9,24,0.540,0.375,1.440,0.664
33,"(34, 54]","(15, 22]",Male,7,11,22,34,0.636,0.647,0.983,0.549
34,"(34, 54]","(22, 27]",Female,15,36,10,16,0.417,0.625,0.667,0.340
35,"(34, 54]","(22, 27]",Male,12,12,5,18,1.000,0.278,3.600,2.346
36,"(34, 54]","(27, 32]",Female,29,23,9,22,1.261,0.409,3.082,1.501
37,"(34, 54]","(27, 32]",Male,25,19,17,18,1.316,0.944,1.393,0.638
38,"(34, 54]","(32, 37]",Female,13,23,55,53,0.565,1.038,0.545,0.218
39,"(34, 54]","(32, 37]",Male,35,18,14,17,1.944,0.824,2.361,1.100
40,"(34, 54]","(37, 42]",Female,21,25,88,93,0.840,0.946,0.888,0.297
41,"(34, 54]","(37, 42]",Male,42,37,15,18,1.135,0.833,1.362,0.571
42,"(34, 54]","(42, 47]",Female,13,9,86,82,1.444,1.049,1.377,0.638
43,"(34, 54]","(42, 47]",Male,21,18,10,14,1.167,0.714,1.633,0.860
44,"(34, 54]","(47, 52]",Female,11,12,57,62,0.917,0.919,0.997,0.457
45,"(34, 54]","(47, 52]",Male,7,7,9,4,1.000,2.250,0.444,0.358
46,"(34, 54]","(52, 57]",Female,12,11,42,35,1.091,1.200,0.909,0.435
47,"(34, 54]","(52, 57]",Male,4,1,16,9,4.000,1.778,2.250,2.687
48,"(34, 54]","(57, 62]",Female,10,7,24,14,1.429,1.714,0.833,0.499
49,"(34, 54]","(62, 67]",Female,8,4,7,5,2.000,1.400,1.429,1.212
50,"(34, 54]","(67, 72]",Female,10,4,7,3,2.500,2.333,1.071,0.975
51,"(54, 100]","(15, 22]",Female,7,15,2,6,0.467,0.333,1.400,1.312
52,"(54, 100]","(15, 22]",Male,2,7,4,14,0.286,0.286,1.000,0.983
53,"(54, 100]","(22, 27]",Male,3,8,2,8,0.375,0.250,1.500,1.563
54,"(54, 100]","(27, 32]",Female,13,45,2,16,0.289,0.125,2.311,1.883
55,"(54, 100]","(27, 32]",Male,4,14,6,8,0.286,0.750,0.381,0.299
56,"(54, 100]","(32, 37]",Female,19,41,3,12,0.463,0.250,1.854,1.306
