,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,5,5,7,6,1.000,1.167,0.857,0.723
1,"(15, 24]","(0, 5]",Male,8,2,6,1,4.000,6.000,0.667,0.893
2,"(15, 24]","(5, 10]",Female,9,1,3,3,9.000,1.000,9.000,12.008
3,"(15, 24]","(10, 15]",Female,35,36,11,22,0.972,0.500,1.944,0.859
4,"(15, 24]","(10, 15]",Male,36,44,56,50,0.818,1.120,0.731,0.220
5,"(15, 24]","(15, 20]",Female,143,159,73,97,0.899,0.753,1.195,0.238
6,"(15, 24]","(15, 20]",Male,192,168,319,340,1.143,0.938,1.218,0.171
7,"(15, 24]","(20, 25]",Female,49,55,52,56,0.891,0.929,0.959,0.268
8,"(15, 24]","(20, 25]",Male,76,59,142,155,1.288,0.916,1.406,0.302
9,"(15, 24]","(25, 30]",Female,10,10,8,12,1.000,0.667,1.500,0.961
10,"(15, 24]","(25, 30]",Male,16,11,35,28,1.455,1.250,1.164,0.546
11,"(15, 24]","(30, 35]",Female,3,9,9,8,0.333,1.125,0.296,0.245
12,"(15, 24]","(30, 35]",Male,11,7,15,12,1.571,1.250,1.257,0.781
13,"(15, 24]","(35, 40]",Female,12,11,5,3,1.091,1.667,0.655,0.552
14,"(15, 24]","(35, 40]",Male,8,6,12,6,1.333,2.000,0.667,0.492
15,"(15, 24]","(40, 45]",Female,18,7,5,5,2.571,1.000,2.571,1.993
16,"(15, 24]","(40, 45]",Male,16,2,9,7,8.000,1.286,6.222,5.631
17,"(15, 24]","(45, 50]",Female,15,4,3,3,3.750,1.000,3.750,3.723
18,"(15, 24]","(45, 50]",Male,2,5,9,6,0.400,1.500,0.267,0.264
19,"(15, 24]","(50, 55]",Female,17,8,4,1,2.125,4.000,0.531,0.637
20,"(15, 24]","(50, 55]",Male,3,1,10,2,3.000,5.000,0.600,0.835
21,"(15, 24]","(55, 60]",Female,7,3,4,1,2.333,4.000,0.583,0.767
22,"(15, 24]","(55, 60]",Male,3,2,5,1,1.500,5.000,0.300,0.428
23,"(24, 34]","(0, 5]",Female,19,6,11,14,3.167,0.786,4.030,2.498
24,"(24, 34]","(0, 5]",Male,7,3,5,3,2.333,1.667,1.400,1.408
25,"(24, 34]","(5, 10]",Female,28,16,31,26,1.750,1.192,1.468,0.608
26,"(24, 34]","(5, 10]",Male,5,7,5,8,0.714,0.625,1.143,0.936
27,"(24, 34]","(10, 15]",Female,25,33,16,19,0.758,0.842,0.900,0.390
28,"(24, 34]","(10, 15]",Male,5,5,6,13,1.000,0.462,2.167,1.742
29,"(24, 34]","(15, 20]",Female,12,15,4,8,0.800,0.500,1.600,1.162
30,"(24, 34]","(15, 20]",Male,13,12,19,22,1.083,0.864,1.254,0.641
31,"(24, 34]","(20, 25]",Female,15,17,12,16,0.882,0.750,1.176,0.616
32,"(24, 34]","(20, 25]",Male,75,80,41,64,0.938,0.641,1.463,0.383
33,"(24, 34]","(25, 30]",Female,20,24,19,42,0.833,0.452,1.842,0.761
