,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.730,0.626,3.000
1,"(5, 10]",1.618,0.424,8.000
2,"(10, 15]",1.110,0.189,13.000
3,"(15, 20]",1.204,0.127,18.000
4,"(20, 25]",1.247,0.163,23.000
5,"(25, 30]",1.141,0.192,28.000
6,"(30, 35]",1.066,0.213,33.000
7,"(35, 40]",1.107,0.234,38.000
8,"(40, 45]",2.140,0.493,43.000
9,"(45, 50]",1.055,0.278,48.000
10,"(50, 55]",1.146,0.350,53.000
11,"(55, 60]",1.254,0.368,58.000
12,"(60, 65]",1.055,0.290,63.000
13,"(65, 70]",1.446,0.384,68.000
14,"(70, 75]",0.786,0.208,73.000
15,"(75, 80]",0.713,0.221,78.000
16,"(80, 85]",0.574,0.225,83.000
17,"(85, 90]",0.555,0.353,88.000
18,"(90, 95]",2.733,2.482,93.000
