,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,465,459,941,1083,1.013,0.869,1.166,0.109
1,"(15, 24]","(15, 22]",Male,409,302,2313,2186,1.354,1.058,1.280,0.122
2,"(15, 24]","(22, 27]",Female,117,99,375,403,1.182,0.931,1.270,0.206
3,"(15, 24]","(22, 27]",Male,95,42,492,389,2.262,1.265,1.788,0.364
4,"(15, 24]","(27, 32]",Female,41,36,136,140,1.139,0.971,1.172,0.308
5,"(15, 24]","(27, 32]",Male,34,16,162,109,2.125,1.486,1.430,0.474
6,"(15, 24]","(32, 37]",Female,43,25,36,28,1.720,1.286,1.338,0.481
7,"(15, 24]","(32, 37]",Male,32,25,52,40,1.280,1.300,0.985,0.338
8,"(15, 24]","(37, 42]",Female,50,17,23,18,2.941,1.278,2.302,0.978
9,"(15, 24]","(37, 42]",Male,22,7,38,27,3.143,1.407,2.233,1.126
10,"(15, 24]","(42, 47]",Female,32,14,18,11,2.286,1.636,1.397,0.701
11,"(15, 24]","(42, 47]",Male,14,4,33,9,3.500,3.667,0.955,0.651
12,"(15, 24]","(47, 52]",Female,19,6,13,5,3.167,2.600,1.218,0.860
13,"(15, 24]","(47, 52]",Male,4,1,25,6,4.000,4.167,0.960,1.160
14,"(15, 24]","(52, 57]",Female,15,3,13,4,5.000,3.250,1.538,1.314
15,"(15, 24]","(52, 57]",Male,3,1,14,6,3.000,2.333,1.286,1.613
16,"(15, 24]","(57, 62]",Female,9,1,9,6,9.000,1.500,6.000,7.077
17,"(15, 24]","(57, 62]",Male,4,1,8,5,4.000,1.600,2.500,3.140
18,"(15, 24]","(62, 67]",Male,1,1,14,3,1.000,4.667,0.214,0.332
19,"(24, 34]","(15, 22]",Female,43,52,72,82,0.827,0.878,0.942,0.251
20,"(24, 34]","(15, 22]",Male,57,58,179,219,0.983,0.817,1.202,0.262
21,"(24, 34]","(22, 27]",Female,76,74,177,210,1.027,0.843,1.219,0.242
22,"(24, 34]","(22, 27]",Male,120,91,268,268,1.319,1.000,1.319,0.226
23,"(24, 34]","(27, 32]",Female,60,56,295,343,1.071,0.860,1.246,0.259
24,"(24, 34]","(27, 32]",Male,103,71,152,146,1.451,1.041,1.393,0.278
25,"(24, 34]","(32, 37]",Female,34,29,221,217,1.172,1.018,1.151,0.316
26,"(24, 34]","(32, 37]",Male,42,23,94,72,1.826,1.306,1.399,0.430
27,"(24, 34]","(37, 42]",Female,20,12,87,68,1.667,1.279,1.303,0.524
28,"(24, 34]","(37, 42]",Male,14,10,39,27,1.400,1.444,0.969,0.471
29,"(24, 34]","(42, 47]",Female,15,13,32,22,1.154,1.455,0.793,0.374
30,"(24, 34]","(42, 47]",Male,14,7,26,17,2.000,1.529,1.308,0.733
31,"(24, 34]","(47, 52]",Female,30,11,18,13,2.727,1.385,1.970,1.003
32,"(24, 34]","(47, 52]",Male,4,1,20,4,4.000,5.000,0.800,0.997
33,"(24, 34]","(52, 57]",Female,19,7,16,7,2.714,2.286,1.188,0.754
34,"(24, 34]","(52, 57]",Male,3,1,9,5,3.000,1.800,1.667,2.139
35,"(24, 34]","(57, 62]",Female,12,2,10,3,6.000,3.333,1.800,1.817
36,"(24, 34]","(62, 67]",Female,5,1,11,2,5.000,5.500,0.909,1.217
37,"(34, 54]","(15, 22]",Female,50,73,35,77,0.685,0.455,1.507,0.420
38,"(34, 54]","(15, 22]",Male,17,20,61,94,0.850,0.649,1.310,0.487
39,"(34, 54]","(22, 27]",Female,36,87,36,57,0.414,0.632,0.655,0.193
40,"(34, 54]","(22, 27]",Male,24,24,40,72,1.000,0.556,1.800,0.636
41,"(34, 54]","(27, 32]",Female,35,48,45,75,0.729,0.600,1.215,0.359
42,"(34, 54]","(27, 32]",Male,42,40,60,82,1.050,0.732,1.435,0.406
43,"(34, 54]","(32, 37]",Female,35,28,90,107,1.250,0.841,1.486,0.439
44,"(34, 54]","(32, 37]",Male,68,48,63,48,1.417,1.312,1.079,0.295
45,"(34, 54]","(37, 42]",Female,31,33,171,172,0.939,0.994,0.945,0.262
46,"(34, 54]","(37, 42]",Male,41,42,63,55,0.976,1.145,0.852,0.248
47,"(34, 54]","(42, 47]",Female,35,12,131,124,2.917,1.056,2.761,0.996
48,"(34, 54]","(42, 47]",Male,41,26,39,32,1.577,1.219,1.294,0.452
49,"(34, 54]","(47, 52]",Female,19,8,113,117,2.375,0.966,2.459,1.093
50,"(34, 54]","(47, 52]",Male,15,18,37,23,0.833,1.609,0.518,0.229
51,"(34, 54]","(52, 57]",Female,12,8,75,74,1.500,1.014,1.480,0.722
52,"(34, 54]","(52, 57]",Male,5,5,25,14,1.000,1.786,0.560,0.401
53,"(34, 54]","(57, 62]",Female,9,9,32,29,1.000,1.103,0.906,0.488
54,"(34, 54]","(57, 62]",Male,5,7,24,14,0.714,1.714,0.417,0.282
55,"(34, 54]","(62, 67]",Female,12,4,18,14,3.000,1.286,2.333,1.587
56,"(34, 54]","(62, 67]",Male,2,1,10,6,2.000,1.667,1.200,1.596
57,"(34, 54]","(67, 72]",Female,2,2,7,6,1.000,1.167,0.857,0.982
58,"(54, 100]","(15, 22]",Female,9,37,3,28,0.243,0.107,2.270,1.621
59,"(54, 100]","(15, 22]",Male,3,8,14,46,0.375,0.304,1.232,0.917
60,"(54, 100]","(22, 27]",Female,15,45,7,19,0.333,0.368,0.905,0.485
61,"(54, 100]","(22, 27]",Male,5,13,12,31,0.385,0.387,0.994,0.624
