,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,52,57,59,55,0.912,1.073,0.850,0.232
1,"(15, 24]","(0, 5]",Male,41,39,48,38,1.051,1.263,0.832,0.263
2,"(15, 24]","(5, 10]",Female,21,38,23,29,0.553,0.793,0.697,0.274
3,"(15, 24]","(5, 10]",Male,22,30,21,23,0.733,0.913,0.803,0.333
4,"(15, 24]","(10, 15]",Female,84,130,41,87,0.646,0.471,1.371,0.330
5,"(15, 24]","(10, 15]",Male,210,299,287,380,0.702,0.755,0.930,0.120
6,"(15, 24]","(15, 20]",Female,204,307,134,271,0.664,0.494,1.344,0.198
7,"(15, 24]","(15, 20]",Male,509,612,1267,1760,0.832,0.720,1.155,0.100
8,"(15, 24]","(20, 25]",Female,53,63,57,83,0.841,0.687,1.225,0.317
9,"(15, 24]","(20, 25]",Male,115,141,419,583,0.816,0.719,1.135,0.170
10,"(15, 24]","(25, 30]",Female,12,14,15,31,0.857,0.484,1.771,0.897
11,"(15, 24]","(25, 30]",Male,28,34,109,130,0.824,0.838,0.982,0.285
12,"(15, 24]","(30, 35]",Female,9,8,8,10,1.125,0.800,1.406,0.958
13,"(15, 24]","(30, 35]",Male,18,12,38,42,1.500,0.905,1.658,0.726
14,"(15, 24]","(35, 40]",Female,9,7,5,4,1.286,1.250,1.029,0.865
15,"(15, 24]","(35, 40]",Male,11,11,21,20,1.000,1.050,0.952,0.506
16,"(15, 24]","(40, 45]",Female,7,7,1,1,1.000,1.000,1.000,1.513
17,"(15, 24]","(40, 45]",Male,16,2,22,22,8.000,1.000,8.000,6.479
18,"(15, 24]","(45, 50]",Female,7,3,6,3,2.333,2.000,1.167,1.154
19,"(15, 24]","(45, 50]",Male,8,5,12,7,1.600,1.714,0.933,0.694
20,"(15, 24]","(50, 55]",Male,9,1,11,5,9.000,2.200,4.091,4.848
21,"(15, 24]","(55, 60]",Female,3,3,5,1,1.000,5.000,0.200,0.273
22,"(15, 24]","(55, 60]",Male,6,5,10,1,1.200,10.000,0.120,0.145
23,"(15, 24]","(65, 70]",Female,1,2,1,1,0.500,1.000,0.500,0.936
24,"(15, 24]","(65, 70]",Male,3,1,4,2,3.000,2.000,1.500,2.166
25,"(24, 34]","(0, 5]",Female,72,86,64,79,0.837,0.810,1.033,0.245
26,"(24, 34]","(0, 5]",Male,76,84,81,83,0.905,0.976,0.927,0.211
27,"(24, 34]","(5, 10]",Female,76,108,59,108,0.704,0.546,1.288,0.291
28,"(24, 34]","(5, 10]",Male,52,85,83,113,0.612,0.735,0.833,0.194
29,"(24, 34]","(10, 15]",Female,43,75,28,68,0.573,0.412,1.392,0.417
30,"(24, 34]","(10, 15]",Male,38,58,48,79,0.655,0.608,1.078,0.304
31,"(24, 34]","(15, 20]",Female,20,40,8,37,0.500,0.216,2.312,1.108
32,"(24, 34]","(15, 20]",Male,63,109,111,205,0.578,0.541,1.067,0.217
33,"(24, 34]","(20, 25]",Female,19,40,19,49,0.475,0.388,1.225,0.479
34,"(24, 34]","(20, 25]",Male,74,97,149,251,0.763,0.594,1.285,0.247
35,"(24, 34]","(25, 30]",Female,13,43,14,25,0.302,0.560,0.540,0.250
36,"(24, 34]","(25, 30]",Male,64,65,111,170,0.985,0.653,1.508,0.332
37,"(24, 34]","(30, 35]",Female,10,6,12,14,1.667,0.857,1.944,1.266
38,"(24, 34]","(30, 35]",Male,22,29,73,77,0.759,0.948,0.800,0.264
39,"(24, 34]","(35, 40]",Female,8,12,6,10,0.667,0.600,1.111,0.768
40,"(24, 34]","(35, 40]",Male,17,18,32,42,0.944,0.762,1.240,0.514
41,"(24, 34]","(40, 45]",Female,5,5,3,10,1.000,0.300,3.333,3.047
42,"(24, 34]","(40, 45]",Male,8,9,15,21,0.889,0.714,1.244,0.739
43,"(24, 34]","(45, 50]",Female,8,7,3,2,1.143,1.500,0.762,0.800
44,"(24, 34]","(45, 50]",Male,9,4,16,11,2.250,1.455,1.547,1.112
45,"(24, 34]","(50, 55]",Male,17,8,13,7,2.125,1.857,1.144,0.729
46,"(24, 34]","(55, 60]",Female,3,2,5,2,1.500,2.500,0.600,0.744
47,"(24, 34]","(55, 60]",Male,11,3,9,6,3.667,1.500,2.444,2.052
48,"(24, 34]","(60, 65]",Female,7,6,2,2,1.167,1.000,1.167,1.336
49,"(24, 34]","(60, 65]",Male,7,3,10,5,2.333,2.000,1.167,1.030
