,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.936,0.106,3.000
1,"(5, 10]",1.004,0.113,8.000
2,"(10, 15]",0.999,0.084,13.000
3,"(15, 20]",1.200,0.079,18.000
4,"(20, 25]",1.157,0.113,23.000
5,"(25, 30]",1.133,0.157,28.000
6,"(30, 35]",1.144,0.206,33.000
7,"(35, 40]",1.290,0.262,38.000
8,"(40, 45]",1.612,0.394,43.000
9,"(45, 50]",1.003,0.245,48.000
10,"(50, 55]",1.382,0.392,53.000
11,"(55, 60]",0.729,0.214,58.000
12,"(60, 65]",1.142,0.354,63.000
13,"(65, 70]",1.360,0.472,68.000
14,"(70, 75]",0.779,0.321,73.000
15,"(75, 80]",0.834,0.387,78.000
16,"(80, 85]",0.633,0.458,83.000
17,"(85, 90]",1.000,1.492,88.000
