,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,41,27,51,39,1.519,1.308,1.161,0.384
1,"(15, 24]","(0, 5]",Male,31,21,31,17,1.476,1.824,0.810,0.337
2,"(15, 24]","(5, 10]",Female,9,11,9,11,0.818,0.818,1.000,0.638
3,"(15, 24]","(5, 10]",Male,5,3,10,6,1.667,1.667,1.000,0.896
4,"(15, 24]","(10, 15]",Female,89,116,47,57,0.767,0.825,0.930,0.230
5,"(15, 24]","(10, 15]",Male,296,267,258,257,1.109,1.004,1.104,0.146
6,"(15, 24]","(15, 20]",Female,418,403,217,304,1.037,0.714,1.453,0.180
7,"(15, 24]","(15, 20]",Male,970,879,1821,1917,1.104,0.950,1.162,0.088
8,"(15, 24]","(20, 25]",Female,123,138,126,176,0.891,0.716,1.245,0.221
9,"(15, 24]","(20, 25]",Male,355,275,664,739,1.291,0.899,1.437,0.156
10,"(15, 24]","(25, 30]",Female,43,33,61,60,1.303,1.017,1.282,0.383
11,"(15, 24]","(25, 30]",Male,74,66,208,178,1.121,1.169,0.959,0.196
12,"(15, 24]","(30, 35]",Female,18,20,16,18,0.900,0.889,1.013,0.481
13,"(15, 24]","(30, 35]",Male,37,31,76,50,1.194,1.520,0.785,0.242
14,"(15, 24]","(35, 40]",Female,23,22,9,8,1.045,1.125,0.929,0.532
15,"(15, 24]","(35, 40]",Male,32,14,40,25,2.286,1.600,1.429,0.589
16,"(15, 24]","(40, 45]",Female,26,20,3,8,1.300,0.375,3.467,2.569
17,"(15, 24]","(40, 45]",Male,35,14,22,21,2.500,1.048,2.386,1.055
18,"(15, 24]","(45, 50]",Female,29,12,9,3,2.417,3.000,0.806,0.605
19,"(15, 24]","(45, 50]",Male,17,6,28,12,2.833,2.333,1.214,0.715
20,"(15, 24]","(50, 55]",Female,25,7,6,2,3.571,3.000,1.190,1.099
21,"(15, 24]","(50, 55]",Male,12,3,20,9,4.000,2.222,1.800,1.371
22,"(15, 24]","(55, 60]",Female,14,6,1,1,2.333,1.000,2.333,3.493
23,"(15, 24]","(55, 60]",Male,10,1,10,6,10.000,1.667,6.000,7.021
24,"(15, 24]","(60, 65]",Female,14,5,4,1,2.800,4.000,0.700,0.864
