,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,49,62,44,62,0.790,0.710,1.114,0.311
1,"(15, 24]","(0, 5]",Male,42,36,38,46,1.167,0.826,1.412,0.451
2,"(15, 24]","(5, 10]",Female,21,19,28,26,1.105,1.077,1.026,0.432
3,"(15, 24]","(5, 10]",Male,20,21,21,23,0.952,0.913,1.043,0.456
4,"(15, 24]","(10, 15]",Female,83,111,61,87,0.748,0.701,1.066,0.242
5,"(15, 24]","(10, 15]",Male,210,279,238,354,0.753,0.672,1.120,0.150
6,"(15, 24]","(15, 20]",Female,204,273,147,256,0.747,0.574,1.301,0.192
7,"(15, 24]","(15, 20]",Male,463,561,1219,1782,0.825,0.684,1.206,0.107
8,"(15, 24]","(20, 25]",Female,46,63,72,132,0.730,0.545,1.339,0.332
9,"(15, 24]","(20, 25]",Male,121,133,437,613,0.910,0.713,1.276,0.190
10,"(15, 24]","(25, 30]",Female,22,19,23,21,1.158,1.095,1.057,0.463
11,"(15, 24]","(25, 30]",Male,38,25,109,134,1.520,0.813,1.869,0.546
12,"(15, 24]","(30, 35]",Female,8,4,9,10,2.000,0.900,2.222,1.705
13,"(15, 24]","(30, 35]",Male,16,16,30,51,1.000,0.588,1.700,0.722
14,"(15, 24]","(35, 40]",Female,5,4,10,7,1.250,1.429,0.875,0.730
15,"(15, 24]","(35, 40]",Male,14,8,18,18,1.750,1.000,1.750,0.974
16,"(15, 24]","(40, 45]",Female,6,6,10,2,1.000,5.000,0.200,0.193
17,"(15, 24]","(40, 45]",Male,13,11,16,9,1.182,1.778,0.665,0.390
18,"(15, 24]","(45, 50]",Female,5,7,2,4,0.714,0.500,1.429,1.495
19,"(15, 24]","(45, 50]",Male,17,13,15,8,1.308,1.875,0.697,0.401
20,"(15, 24]","(50, 55]",Female,3,2,1,1,1.500,1.000,1.500,2.526
21,"(15, 24]","(50, 55]",Male,10,2,11,5,5.000,2.200,2.273,2.148
22,"(15, 24]","(55, 60]",Female,5,3,2,2,1.667,1.000,1.667,2.065
23,"(15, 24]","(55, 60]",Male,8,3,6,3,2.667,2.000,1.333,1.307
24,"(15, 24]","(60, 65]",Female,7,4,1,1,1.750,1.000,1.750,2.708
25,"(15, 24]","(60, 65]",Male,7,3,5,1,2.333,5.000,0.467,0.605
26,"(15, 24]","(65, 70]",Female,4,2,4,2,2.000,2.000,1.000,1.226
27,"(15, 24]","(65, 70]",Male,2,1,3,1,2.000,3.000,0.667,1.123
28,"(24, 34]","(0, 5]",Female,64,72,59,82,0.889,0.720,1.235,0.306
29,"(24, 34]","(0, 5]",Male,68,93,69,96,0.731,0.719,1.017,0.234
30,"(24, 34]","(5, 10]",Female,73,110,61,107,0.664,0.570,1.164,0.263
31,"(24, 34]","(5, 10]",Male,54,79,58,88,0.684,0.659,1.037,0.259
32,"(24, 34]","(10, 15]",Female,33,67,28,54,0.493,0.519,0.950,0.303
33,"(24, 34]","(10, 15]",Male,27,53,40,54,0.509,0.741,0.688,0.220
34,"(24, 34]","(15, 20]",Female,13,40,13,47,0.325,0.277,1.175,0.529
35,"(24, 34]","(15, 20]",Male,54,85,105,198,0.635,0.530,1.198,0.261
36,"(24, 34]","(20, 25]",Female,19,40,18,32,0.475,0.562,0.844,0.345
37,"(24, 34]","(20, 25]",Male,77,87,161,278,0.885,0.579,1.528,0.293
38,"(24, 34]","(25, 30]",Female,19,33,17,34,0.576,0.500,1.152,0.480
39,"(24, 34]","(25, 30]",Male,60,66,111,168,0.909,0.661,1.376,0.305
40,"(24, 34]","(30, 35]",Female,9,17,16,22,0.529,0.727,0.728,0.385
41,"(24, 34]","(30, 35]",Male,31,38,65,74,0.816,0.878,0.929,0.279
42,"(24, 34]","(35, 40]",Female,5,8,3,10,0.625,0.300,2.083,1.817
43,"(24, 34]","(35, 40]",Male,21,21,22,30,1.000,0.733,1.364,0.573
44,"(24, 34]","(40, 45]",Female,9,13,6,9,0.692,0.667,1.038,0.711
45,"(24, 34]","(40, 45]",Male,6,4,18,24,1.500,0.750,2.000,1.437
