,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.155,0.136,3.000
1,"(5, 10]",1.022,0.121,8.000
2,"(10, 15]",1.009,0.089,13.000
3,"(15, 20]",1.205,0.081,18.000
4,"(20, 25]",1.341,0.131,23.000
5,"(25, 30]",1.278,0.173,28.000
6,"(30, 35]",1.040,0.177,33.000
7,"(35, 40]",1.243,0.256,38.000
8,"(40, 45]",1.094,0.269,43.000
9,"(45, 50]",1.162,0.275,48.000
10,"(50, 55]",0.996,0.262,53.000
11,"(55, 60]",0.843,0.240,58.000
12,"(60, 65]",0.969,0.271,63.000
13,"(65, 70]",0.762,0.244,68.000
14,"(70, 75]",0.524,0.182,73.000
15,"(75, 80]",1.204,0.511,78.000
16,"(80, 85]",1.301,0.929,83.000
17,"(85, 90]",0.493,0.449,88.000
18,"(90, 95]",1.000,1.733,93.000
