,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,898,887,896,1063,1.012,0.843,1.201,0.099
1,"(15, 24]","(15, 22]",Male,600,479,1866,1860,1.253,1.003,1.249,0.107
2,"(15, 24]","(22, 27]",Female,147,120,366,396,1.225,0.924,1.325,0.201
3,"(15, 24]","(22, 27]",Male,97,82,415,387,1.183,1.072,1.103,0.191
4,"(15, 24]","(27, 32]",Female,36,22,125,102,1.636,1.225,1.335,0.408
5,"(15, 24]","(27, 32]",Male,26,16,99,98,1.625,1.010,1.609,0.566
6,"(15, 24]","(32, 37]",Female,43,30,42,42,1.433,1.000,1.433,0.468
7,"(15, 24]","(32, 37]",Male,35,17,78,48,2.059,1.625,1.267,0.445
8,"(15, 24]","(37, 42]",Female,88,47,25,12,1.872,2.083,0.899,0.358
9,"(15, 24]","(37, 42]",Male,61,27,55,28,2.259,1.964,1.150,0.381
10,"(15, 24]","(42, 47]",Female,103,41,34,21,2.512,1.619,1.552,0.523
11,"(15, 24]","(42, 47]",Male,56,21,47,18,2.667,2.611,1.021,0.389
12,"(15, 24]","(47, 52]",Female,70,38,25,16,1.842,1.562,1.179,0.450
13,"(15, 24]","(47, 52]",Male,24,12,60,21,2.000,2.857,0.700,0.307
14,"(15, 24]","(52, 57]",Female,32,12,20,3,2.667,6.667,0.400,0.283
15,"(15, 24]","(52, 57]",Male,25,7,26,10,3.571,2.600,1.374,0.782
16,"(15, 24]","(57, 62]",Female,17,6,9,3,2.833,3.000,0.944,0.774
17,"(15, 24]","(57, 62]",Male,13,3,19,7,4.333,2.714,1.596,1.245
18,"(15, 24]","(62, 67]",Female,19,3,10,2,6.333,5.000,1.267,1.259
19,"(15, 24]","(62, 67]",Male,7,3,22,4,2.333,5.500,0.424,0.373
20,"(15, 24]","(67, 72]",Female,13,3,6,2,4.333,3.000,1.444,1.501
21,"(15, 24]","(77, 82]",Male,5,2,7,1,2.500,7.000,0.357,0.485
22,"(24, 34]","(15, 22]",Female,49,63,52,70,0.778,0.743,1.047,0.282
23,"(24, 34]","(15, 22]",Male,107,77,160,166,1.390,0.964,1.442,0.278
24,"(24, 34]","(22, 27]",Female,84,90,205,235,0.933,0.872,1.070,0.199
25,"(24, 34]","(22, 27]",Male,171,140,289,323,1.221,0.895,1.365,0.203
26,"(24, 34]","(27, 32]",Female,85,58,307,330,1.466,0.930,1.575,0.306
27,"(24, 34]","(27, 32]",Male,143,120,218,193,1.192,1.130,1.055,0.175
28,"(24, 34]","(32, 37]",Female,55,34,201,202,1.618,0.995,1.626,0.398
29,"(24, 34]","(32, 37]",Male,56,35,108,94,1.600,1.149,1.393,0.365
30,"(24, 34]","(37, 42]",Female,28,14,89,83,2.000,1.072,1.865,0.680
31,"(24, 34]","(37, 42]",Male,28,26,57,50,1.077,1.140,0.945,0.319
32,"(24, 34]","(42, 47]",Female,30,13,43,35,2.308,1.229,1.878,0.762
33,"(24, 34]","(42, 47]",Male,17,9,44,23,1.889,1.913,0.987,0.482
34,"(24, 34]","(47, 52]",Female,43,32,20,19,1.344,1.053,1.277,0.510
35,"(24, 34]","(47, 52]",Male,27,13,35,16,2.077,2.188,0.949,0.433
36,"(24, 34]","(52, 57]",Female,39,15,23,10,2.600,2.300,1.130,0.552
37,"(24, 34]","(52, 57]",Male,10,8,29,12,1.250,2.417,0.517,0.304
38,"(24, 34]","(57, 62]",Female,26,15,19,5,1.733,3.800,0.456,0.274
39,"(24, 34]","(57, 62]",Male,8,4,31,8,2.000,3.875,0.516,0.377
40,"(24, 34]","(62, 67]",Female,3,3,13,4,1.000,3.250,0.308,0.307
41,"(24, 34]","(62, 67]",Male,9,1,20,6,9.000,3.333,2.700,3.114
42,"(24, 34]","(67, 72]",Female,10,7,8,4,1.429,2.000,0.714,0.563
43,"(24, 34]","(67, 72]",Male,6,1,9,2,6.000,4.500,1.333,1.779
44,"(24, 34]","(72, 77]",Female,8,1,4,2,8.000,2.000,4.000,5.481
45,"(34, 54]","(15, 22]",Female,107,171,70,126,0.626,0.556,1.126,0.225
46,"(34, 54]","(15, 22]",Male,34,51,88,114,0.667,0.772,0.864,0.231
47,"(34, 54]","(22, 27]",Female,56,86,46,79,0.651,0.582,1.118,0.288
48,"(34, 54]","(22, 27]",Male,40,42,62,96,0.952,0.646,1.475,0.411
49,"(34, 54]","(27, 32]",Female,64,81,57,95,0.790,0.600,1.317,0.319
50,"(34, 54]","(27, 32]",Male,77,67,81,102,1.149,0.794,1.447,0.332
51,"(34, 54]","(32, 37]",Female,47,77,137,173,0.610,0.792,0.771,0.172
52,"(34, 54]","(32, 37]",Male,108,81,82,106,1.333,0.774,1.724,0.369
53,"(34, 54]","(37, 42]",Female,60,68,263,247,0.882,1.065,0.829,0.169
54,"(34, 54]","(37, 42]",Male,150,121,126,126,1.240,1.000,1.240,0.226
