,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.228,0.064,19.000
1,"(22, 27]",1.246,0.091,25.000
2,"(27, 32]",1.261,0.111,30.000
3,"(32, 37]",1.311,0.127,35.000
4,"(37, 42]",1.000,0.098,40.000
5,"(42, 47]",1.207,0.120,45.000
6,"(47, 52]",1.082,0.111,50.000
7,"(52, 57]",0.927,0.092,55.000
8,"(57, 62]",0.871,0.084,60.000
9,"(62, 67]",0.802,0.076,65.000
10,"(67, 72]",0.794,0.072,70.000
11,"(72, 77]",0.864,0.077,75.000
12,"(77, 82]",0.817,0.083,80.000
13,"(82, 87]",0.917,0.126,85.000
14,"(87, 92]",0.854,0.193,90.000
15,"(92, 97]",2.014,1.761,95.000
