,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,57,53,50,45,1.075,1.111,0.968,0.276
1,"(15, 24]","(0, 5]",Male,14,7,11,5,2.000,2.200,0.909,0.648
2,"(15, 24]","(5, 10]",Female,30,24,22,19,1.250,1.158,1.080,0.452
3,"(15, 24]","(5, 10]",Male,8,7,10,12,1.143,0.833,1.371,0.924
4,"(15, 24]","(10, 15]",Female,230,254,76,111,0.906,0.685,1.323,0.240
5,"(15, 24]","(10, 15]",Male,164,169,284,279,0.970,1.018,0.953,0.140
6,"(15, 24]","(15, 20]",Female,754,765,321,404,0.986,0.795,1.240,0.128
7,"(15, 24]","(15, 20]",Male,925,802,1476,1479,1.153,0.998,1.156,0.091
8,"(15, 24]","(20, 25]",Female,222,234,236,300,0.949,0.787,1.206,0.166
9,"(15, 24]","(20, 25]",Male,390,330,705,706,1.182,0.999,1.183,0.124
10,"(15, 24]","(25, 30]",Female,53,37,69,89,1.432,0.775,1.848,0.503
11,"(15, 24]","(25, 30]",Male,71,54,155,139,1.315,1.115,1.179,0.260
12,"(15, 24]","(30, 35]",Female,29,30,32,42,0.967,0.762,1.269,0.449
13,"(15, 24]","(30, 35]",Male,29,24,62,42,1.208,1.476,0.819,0.282
14,"(15, 24]","(35, 40]",Female,41,35,21,17,1.171,1.235,0.948,0.382
15,"(15, 24]","(35, 40]",Male,34,29,46,43,1.172,1.070,1.096,0.366
16,"(15, 24]","(40, 45]",Female,55,38,19,15,1.447,1.267,1.143,0.466
17,"(15, 24]","(40, 45]",Male,49,24,33,23,2.042,1.435,1.423,0.529
18,"(15, 24]","(45, 50]",Female,59,25,20,10,2.360,2.000,1.180,0.540
19,"(15, 24]","(45, 50]",Male,44,24,36,23,1.833,1.565,1.171,0.435
20,"(15, 24]","(50, 55]",Female,51,26,10,5,1.962,2.000,0.981,0.589
21,"(15, 24]","(50, 55]",Male,24,10,34,12,2.400,2.833,0.847,0.429
22,"(15, 24]","(55, 60]",Female,34,6,13,7,5.667,1.857,3.051,1.974
