,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,1477,1335,2122,2524,1.106,0.841,1.316,0.091
1,"(15, 24]","(15, 22]",Male,1194,857,6849,6385,1.393,1.073,1.299,0.090
2,"(15, 24]","(22, 27]",Female,252,223,966,992,1.130,0.974,1.160,0.132
3,"(15, 24]","(22, 27]",Male,250,160,1926,1601,1.562,1.203,1.299,0.153
4,"(15, 24]","(27, 32]",Female,126,75,369,339,1.680,1.088,1.543,0.265
5,"(15, 24]","(27, 32]",Male,96,57,638,399,1.684,1.599,1.053,0.196
6,"(15, 24]","(32, 37]",Female,90,54,145,104,1.667,1.394,1.195,0.264
7,"(15, 24]","(32, 37]",Male,79,43,266,168,1.837,1.583,1.160,0.255
8,"(15, 24]","(37, 42]",Female,108,47,74,46,2.298,1.609,1.428,0.373
9,"(15, 24]","(37, 42]",Male,75,39,165,81,1.923,2.037,0.944,0.231
10,"(15, 24]","(42, 47]",Female,81,36,39,21,2.250,1.857,1.212,0.412
11,"(15, 24]","(42, 47]",Male,46,22,141,45,2.091,3.133,0.667,0.210
12,"(15, 24]","(47, 52]",Female,49,15,33,16,3.267,2.062,1.584,0.676
13,"(15, 24]","(47, 52]",Male,23,6,93,22,3.833,4.227,0.907,0.470
14,"(15, 24]","(52, 57]",Female,39,14,18,11,2.786,1.636,1.702,0.844
15,"(15, 24]","(52, 57]",Male,12,6,40,13,2.000,3.077,0.650,0.387
16,"(15, 24]","(57, 62]",Female,20,5,16,5,4.000,3.200,1.250,0.897
17,"(15, 24]","(57, 62]",Male,17,4,32,12,4.250,2.667,1.594,1.040
18,"(15, 24]","(62, 67]",Female,11,4,13,3,2.750,4.333,0.635,0.551
19,"(15, 24]","(62, 67]",Male,8,4,25,6,2.000,4.167,0.480,0.367
20,"(15, 24]","(67, 72]",Male,6,1,11,4,6.000,2.750,2.182,2.681
21,"(15, 24]","(72, 77]",Female,2,1,7,2,2.000,3.500,0.571,0.837
22,"(24, 34]","(15, 22]",Female,124,123,170,227,1.008,0.749,1.346,0.229
23,"(24, 34]","(15, 22]",Male,246,219,783,837,1.123,0.935,1.201,0.140
24,"(24, 34]","(22, 27]",Female,187,180,454,548,1.039,0.828,1.254,0.166
25,"(24, 34]","(22, 27]",Male,350,271,1248,1200,1.292,1.040,1.242,0.128
26,"(24, 34]","(27, 32]",Female,168,136,586,686,1.235,0.854,1.446,0.199
27,"(24, 34]","(27, 32]",Male,283,192,952,828,1.474,1.150,1.282,0.149
28,"(24, 34]","(32, 37]",Female,104,72,435,410,1.444,1.061,1.361,0.239
29,"(24, 34]","(32, 37]",Male,146,98,493,361,1.490,1.366,1.091,0.170
30,"(24, 34]","(37, 42]",Female,55,30,206,185,1.833,1.114,1.646,0.417
31,"(24, 34]","(37, 42]",Male,65,31,243,157,2.097,1.548,1.355,0.334
32,"(24, 34]","(42, 47]",Female,33,29,87,56,1.138,1.554,0.732,0.228
33,"(24, 34]","(42, 47]",Male,49,24,141,79,2.042,1.785,1.144,0.332
34,"(24, 34]","(47, 52]",Female,43,16,51,35,2.688,1.457,1.844,0.681
35,"(24, 34]","(47, 52]",Male,30,15,93,51,2.000,1.824,1.097,0.400
36,"(24, 34]","(52, 57]",Female,42,19,48,19,2.211,2.526,0.875,0.342
37,"(24, 34]","(52, 57]",Male,10,5,63,23,2.000,2.739,0.730,0.439
38,"(24, 34]","(57, 62]",Female,19,6,34,15,3.167,2.267,1.397,0.788
39,"(24, 34]","(57, 62]",Male,10,2,37,15,5.000,2.467,2.027,1.691
40,"(24, 34]","(62, 67]",Female,15,7,12,7,2.143,1.714,1.250,0.827
41,"(24, 34]","(62, 67]",Male,5,1,24,10,5.000,2.400,2.083,2.415
42,"(24, 34]","(67, 72]",Female,7,2,12,3,3.500,4.000,0.875,0.902
43,"(24, 34]","(67, 72]",Male,3,3,14,3,1.000,4.667,0.214,0.222
44,"(24, 34]","(72, 77]",Female,3,1,9,1,3.000,9.000,0.333,0.521
45,"(24, 34]","(72, 77]",Male,5,1,17,6,5.000,2.833,1.765,2.109
46,"(34, 54]","(15, 22]",Female,110,203,91,209,0.542,0.435,1.245,0.224
47,"(34, 54]","(15, 22]",Male,50,58,203,323,0.862,0.628,1.372,0.300
48,"(34, 54]","(22, 27]",Female,87,128,103,166,0.680,0.620,1.095,0.212
49,"(34, 54]","(22, 27]",Male,80,91,248,371,0.879,0.668,1.315,0.238
50,"(34, 54]","(27, 32]",Female,74,98,112,189,0.755,0.593,1.274,0.256
51,"(34, 54]","(27, 32]",Male,148,133,319,348,1.113,0.917,1.214,0.183
52,"(34, 54]","(32, 37]",Female,93,78,232,319,1.192,0.727,1.639,0.300
53,"(34, 54]","(32, 37]",Male,188,163,305,364,1.153,0.838,1.376,0.195
54,"(34, 54]","(37, 42]",Female,91,89,337,376,1.022,0.896,1.141,0.199
