,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,40,50,58,58,0.800,1.000,0.800,0.229
1,"(15, 24]","(0, 5]",Male,29,21,40,38,1.381,1.053,1.312,0.484
2,"(15, 24]","(5, 10]",Female,15,33,17,30,0.455,0.567,0.802,0.351
3,"(15, 24]","(5, 10]",Male,18,20,16,19,0.900,0.842,1.069,0.505
4,"(15, 24]","(10, 15]",Female,64,96,41,58,0.667,0.707,0.943,0.250
5,"(15, 24]","(10, 15]",Male,144,197,179,247,0.731,0.725,1.009,0.157
6,"(15, 24]","(15, 20]",Female,143,209,99,208,0.684,0.476,1.438,0.246
7,"(15, 24]","(15, 20]",Male,309,404,851,1188,0.765,0.716,1.068,0.108
8,"(15, 24]","(20, 25]",Female,39,51,56,74,0.765,0.757,1.011,0.284
9,"(15, 24]","(20, 25]",Male,86,117,348,459,0.735,0.758,0.969,0.161
10,"(15, 24]","(25, 30]",Female,10,11,11,24,0.909,0.458,1.983,1.132
11,"(15, 24]","(25, 30]",Male,22,22,90,120,1.000,0.750,1.333,0.448
12,"(15, 24]","(30, 35]",Female,6,9,11,14,0.667,0.786,0.848,0.564
13,"(15, 24]","(30, 35]",Male,17,14,36,39,1.214,0.923,1.315,0.568
14,"(15, 24]","(35, 40]",Female,5,2,4,6,2.500,0.667,3.750,3.967
15,"(15, 24]","(35, 40]",Male,8,12,17,10,0.667,1.700,0.392,0.238
16,"(15, 24]","(40, 45]",Male,14,5,22,17,2.800,1.294,2.164,1.331
17,"(15, 24]","(45, 50]",Female,9,4,3,1,2.250,3.000,0.750,0.977
18,"(15, 24]","(45, 50]",Male,5,9,15,5,0.556,3.000,0.185,0.141
19,"(15, 24]","(50, 55]",Female,8,1,1,1,8.000,1.000,8.000,14.148
20,"(15, 24]","(50, 55]",Male,7,4,13,7,1.750,1.857,0.942,0.739
21,"(15, 24]","(55, 60]",Male,5,3,5,1,1.667,5.000,0.333,0.439
22,"(15, 24]","(65, 70]",Male,5,2,3,2,2.500,1.500,1.667,2.065
23,"(24, 34]","(0, 5]",Female,66,86,52,69,0.767,0.754,1.018,0.256
24,"(24, 34]","(0, 5]",Male,32,50,51,56,0.640,0.911,0.703,0.212
25,"(24, 34]","(5, 10]",Female,59,96,65,99,0.615,0.657,0.936,0.220
26,"(24, 34]","(5, 10]",Male,26,51,60,79,0.510,0.759,0.671,0.201
