,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.934,0.122,3.000
1,"(5, 10]",1.029,0.132,8.000
2,"(10, 15]",0.967,0.098,13.000
3,"(15, 20]",1.135,0.088,18.000
4,"(20, 25]",1.030,0.111,23.000
5,"(25, 30]",1.234,0.192,28.000
6,"(30, 35]",1.086,0.194,33.000
7,"(35, 40]",1.102,0.245,38.000
8,"(40, 45]",1.459,0.363,43.000
9,"(45, 50]",0.616,0.175,48.000
10,"(50, 55]",1.091,0.336,53.000
11,"(55, 60]",0.776,0.300,58.000
12,"(60, 65]",0.958,0.340,63.000
13,"(65, 70]",1.269,0.474,68.000
14,"(70, 75]",1.295,0.551,73.000
15,"(75, 80]",0.914,0.672,78.000
16,"(80, 85]",1.241,0.820,83.000
17,"(85, 90]",0.350,0.442,88.000
