,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,108,92,124,120,1.174,1.033,1.136,0.224
1,"(15, 24]","(0, 5]",Male,45,30,53,35,1.500,1.514,0.991,0.322
2,"(15, 24]","(5, 10]",Female,42,41,38,29,1.024,1.310,0.782,0.261
3,"(15, 24]","(5, 10]",Male,18,11,30,30,1.636,1.000,1.636,0.760
4,"(15, 24]","(10, 15]",Female,302,343,129,151,0.880,0.854,1.031,0.157
5,"(15, 24]","(10, 15]",Male,469,423,677,664,1.109,1.020,1.087,0.109
6,"(15, 24]","(15, 20]",Female,1148,1285,566,782,0.893,0.724,1.234,0.105
7,"(15, 24]","(15, 20]",Male,2271,1974,4933,5398,1.150,0.914,1.259,0.078
8,"(15, 24]","(20, 25]",Female,354,377,466,643,0.939,0.725,1.296,0.140
9,"(15, 24]","(20, 25]",Male,855,734,2680,2862,1.165,0.936,1.244,0.094
10,"(15, 24]","(25, 30]",Female,102,105,191,219,0.971,0.872,1.114,0.198
11,"(15, 24]","(25, 30]",Male,225,174,769,720,1.293,1.068,1.211,0.150
12,"(15, 24]","(30, 35]",Female,62,50,71,76,1.240,0.934,1.327,0.341
13,"(15, 24]","(30, 35]",Male,121,76,321,254,1.592,1.264,1.260,0.222
14,"(15, 24]","(35, 40]",Female,72,48,34,36,1.500,0.944,1.588,0.488
15,"(15, 24]","(35, 40]",Male,99,52,177,126,1.904,1.405,1.355,0.289
16,"(15, 24]","(40, 45]",Female,75,51,32,17,1.471,1.882,0.781,0.277
17,"(15, 24]","(40, 45]",Male,72,30,122,70,2.400,1.743,1.377,0.370
18,"(15, 24]","(45, 50]",Female,62,36,13,7,1.722,1.857,0.927,0.478
19,"(15, 24]","(45, 50]",Male,52,19,79,49,2.737,1.612,1.698,0.556
20,"(15, 24]","(50, 55]",Female,41,11,9,5,3.727,1.800,2.071,1.356
21,"(15, 24]","(50, 55]",Male,36,12,43,26,3.000,1.654,1.814,0.760
22,"(15, 24]","(55, 60]",Female,24,7,4,4,3.429,1.000,3.429,2.842
23,"(15, 24]","(55, 60]",Male,22,6,42,22,3.667,1.909,1.921,1.023
24,"(15, 24]","(60, 65]",Female,25,3,15,4,8.333,3.750,2.222,1.849
25,"(15, 24]","(60, 65]",Male,14,1,31,9,14.000,3.444,4.065,4.484
26,"(15, 24]","(65, 70]",Female,19,6,5,3,3.167,1.667,1.900,1.651
27,"(15, 24]","(65, 70]",Male,17,6,23,7,2.833,3.286,0.862,0.555
28,"(15, 24]","(70, 75]",Female,14,2,5,3,7.000,1.667,4.200,4.420
29,"(15, 24]","(70, 75]",Male,11,4,18,5,2.750,3.600,0.764,0.591
30,"(15, 24]","(75, 80]",Male,10,1,5,3,10.000,1.667,6.000,7.674
31,"(15, 24]","(85, 90]",Female,9,1,1,1,9.000,1.000,9.000,15.881
32,"(15, 24]","(85, 90]",Male,2,1,1,1,2.000,1.000,2.000,3.743
33,"(24, 34]","(0, 5]",Female,112,126,95,105,0.889,0.905,0.982,0.195
34,"(24, 34]","(0, 5]",Male,66,81,70,84,0.815,0.833,0.978,0.232
35,"(24, 34]","(5, 10]",Female,139,167,132,165,0.832,0.800,1.040,0.178
36,"(24, 34]","(5, 10]",Male,34,39,45,48,0.872,0.938,0.930,0.295
37,"(24, 34]","(10, 15]",Female,89,138,59,101,0.645,0.584,1.104,0.241
38,"(24, 34]","(10, 15]",Male,29,39,70,80,0.744,0.875,0.850,0.254
39,"(24, 34]","(15, 20]",Female,76,119,46,97,0.639,0.474,1.347,0.319
40,"(24, 34]","(15, 20]",Male,298,317,399,577,0.940,0.692,1.359,0.156
41,"(24, 34]","(20, 25]",Female,161,207,123,214,0.778,0.575,1.353,0.220
42,"(24, 34]","(20, 25]",Male,765,750,968,1306,1.020,0.741,1.376,0.115
43,"(24, 34]","(25, 30]",Female,154,176,211,294,0.875,0.718,1.219,0.184
44,"(24, 34]","(25, 30]",Male,722,631,988,1169,1.144,0.845,1.354,0.116
45,"(24, 34]","(30, 35]",Female,110,119,195,251,0.924,0.777,1.190,0.203
46,"(24, 34]","(30, 35]",Male,401,354,597,614,1.133,0.972,1.165,0.123
47,"(24, 34]","(35, 40]",Female,51,54,105,143,0.944,0.734,1.286,0.307
48,"(24, 34]","(35, 40]",Male,168,113,277,253,1.487,1.095,1.358,0.214
49,"(24, 34]","(40, 45]",Female,43,29,62,63,1.483,0.984,1.507,0.458
50,"(24, 34]","(40, 45]",Male,98,60,186,150,1.633,1.240,1.317,0.268
51,"(24, 34]","(45, 50]",Female,51,34,26,22,1.500,1.182,1.269,0.467
52,"(24, 34]","(45, 50]",Male,43,26,102,61,1.654,1.672,0.989,0.297
53,"(24, 34]","(50, 55]",Female,56,25,24,15,2.240,1.600,1.400,0.575
54,"(24, 34]","(50, 55]",Male,28,12,76,44,2.333,1.727,1.351,0.536
55,"(24, 34]","(55, 60]",Female,43,23,11,6,1.870,1.833,1.020,0.583
56,"(24, 34]","(55, 60]",Male,31,7,54,30,4.429,1.800,2.460,1.179
57,"(24, 34]","(60, 65]",Female,47,14,11,9,3.357,1.222,2.747,1.497
58,"(24, 34]","(60, 65]",Male,23,11,42,14,2.091,3.000,0.697,0.336
59,"(24, 34]","(65, 70]",Female,28,11,16,8,2.545,2.000,1.273,0.716
60,"(24, 34]","(65, 70]",Male,14,6,20,7,2.333,2.857,0.817,0.538
61,"(24, 34]","(70, 75]",Female,24,9,7,1,2.667,7.000,0.381,0.434
62,"(24, 34]","(70, 75]",Male,10,1,16,3,10.000,5.333,1.875,2.295
63,"(24, 34]","(75, 80]",Male,15,2,8,3,7.500,2.667,2.812,2.851
64,"(24, 34]","(80, 85]",Female,15,3,1,1,5.000,1.000,5.000,7.750
65,"(34, 54]","(0, 5]",Female,30,46,33,48,0.652,0.688,0.949,0.313
66,"(34, 54]","(0, 5]",Male,24,34,33,54,0.706,0.611,1.155,0.404
67,"(34, 54]","(5, 10]",Female,60,114,58,103,0.526,0.563,0.935,0.219
68,"(34, 54]","(5, 10]",Male,25,45,51,76,0.556,0.671,0.828,0.258
69,"(34, 54]","(10, 15]",Female,101,197,86,155,0.513,0.555,0.924,0.174
70,"(34, 54]","(10, 15]",Male,34,61,78,158,0.557,0.494,1.129,0.293
71,"(34, 54]","(15, 20]",Female,98,216,52,106,0.454,0.491,0.925,0.198
72,"(34, 54]","(15, 20]",Male,67,112,110,266,0.598,0.414,1.447,0.286
73,"(34, 54]","(20, 25]",Female,55,125,48,107,0.440,0.449,0.981,0.238
74,"(34, 54]","(20, 25]",Male,103,154,173,365,0.669,0.474,1.411,0.233
75,"(34, 54]","(25, 30]",Female,57,100,50,96,0.570,0.521,1.094,0.269
76,"(34, 54]","(25, 30]",Male,189,253,220,377,0.747,0.584,1.280,0.176
77,"(34, 54]","(30, 35]",Female,56,93,95,136,0.602,0.699,0.862,0.191
78,"(34, 54]","(30, 35]",Male,342,383,261,362,0.893,0.721,1.238,0.150
79,"(34, 54]","(35, 40]",Female,60,83,122,159,0.723,0.767,0.942,0.201
80,"(34, 54]","(35, 40]",Male,456,418,325,390,1.091,0.833,1.309,0.148
81,"(34, 54]","(40, 45]",Female,67,91,141,178,0.736,0.792,0.929,0.188
82,"(34, 54]","(40, 45]",Male,382,354,254,276,1.079,0.920,1.173,0.146
83,"(34, 54]","(45, 50]",Female,72,74,130,139,0.973,0.935,1.040,0.220
84,"(34, 54]","(45, 50]",Male,311,322,189,208,0.966,0.909,1.063,0.146
85,"(34, 54]","(50, 55]",Female,64,53,108,100,1.208,1.080,1.118,0.265
86,"(34, 54]","(50, 55]",Male,195,162,154,125,1.204,1.232,0.977,0.164
87,"(34, 54]","(55, 60]",Female,52,30,68,54,1.733,1.259,1.376,0.409
88,"(34, 54]","(55, 60]",Male,71,45,83,67,1.578,1.239,1.274,0.327
89,"(34, 54]","(60, 65]",Female,97,48,54,30,2.021,1.800,1.123,0.328
90,"(34, 54]","(60, 65]",Male,53,31,58,47,1.710,1.234,1.385,0.421
91,"(34, 54]","(65, 70]",Female,85,41,28,9,2.073,3.111,0.666,0.287
92,"(34, 54]","(65, 70]",Male,37,14,53,26,2.643,2.038,1.296,0.516
93,"(34, 54]","(70, 75]",Female,81,23,24,12,3.522,2.000,1.761,0.754
94,"(34, 54]","(70, 75]",Male,40,23,39,24,1.739,1.625,1.070,0.398
95,"(34, 54]","(75, 80]",Female,79,34,13,7,2.324,1.857,1.251,0.643
96,"(34, 54]","(75, 80]",Male,42,13,20,9,3.231,2.222,1.454,0.747
97,"(34, 54]","(80, 85]",Female,53,15,18,4,3.533,4.500,0.785,0.493
98,"(34, 54]","(80, 85]",Male,25,4,17,3,6.250,5.667,1.103,0.913
99,"(34, 54]","(85, 90]",Female,29,3,9,2,9.667,4.500,2.148,2.128
100,"(34, 54]","(85, 90]",Male,10,2,5,1,5.000,5.000,1.000,1.343
101,"(54, 100]","(0, 5]",Female,7,16,5,17,0.438,0.294,1.488,1.016
102,"(54, 100]","(0, 5]",Male,5,17,6,17,0.294,0.353,0.833,0.581
103,"(54, 100]","(5, 10]",Female,16,35,9,37,0.457,0.243,1.879,0.905
104,"(54, 100]","(5, 10]",Male,3,12,5,20,0.250,0.250,1.000,0.818
105,"(54, 100]","(10, 15]",Female,12,39,22,53,0.308,0.415,0.741,0.311
106,"(54, 100]","(10, 15]",Male,7,30,11,50,0.233,0.220,1.061,0.571
107,"(54, 100]","(15, 20]",Female,9,41,9,30,0.220,0.300,0.732,0.389
108,"(54, 100]","(15, 20]",Male,14,36,23,65,0.389,0.354,1.099,0.440
109,"(54, 100]","(20, 25]",Female,5,27,5,15,0.185,0.333,0.556,0.395
110,"(54, 100]","(20, 25]",Male,15,37,20,67,0.405,0.299,1.358,0.545
111,"(54, 100]","(25, 30]",Female,14,42,5,19,0.333,0.263,1.267,0.750
112,"(54, 100]","(25, 30]",Male,13,47,22,58,0.277,0.379,0.729,0.295
113,"(54, 100]","(30, 35]",Female,12,29,4,12,0.414,0.333,1.241,0.836
114,"(54, 100]","(30, 35]",Male,30,56,19,69,0.536,0.275,1.945,0.676
115,"(54, 100]","(35, 40]",Female,8,30,16,26,0.267,0.615,0.433,0.222
116,"(54, 100]","(35, 40]",Male,35,63,37,77,0.556,0.481,1.156,0.341
117,"(54, 100]","(40, 45]",Female,18,50,15,24,0.360,0.625,0.576,0.249
118,"(54, 100]","(40, 45]",Male,59,95,35,58,0.621,0.603,1.029,0.283
119,"(54, 100]","(45, 50]",Female,27,37,16,28,0.730,0.571,1.277,0.518
120,"(54, 100]","(45, 50]",Male,130,124,35,75,1.048,0.467,2.247,0.551
121,"(54, 100]","(50, 55]",Female,40,46,28,35,0.870,0.800,1.087,0.366
122,"(54, 100]","(50, 55]",Male,238,258,62,82,0.922,0.756,1.220,0.241
123,"(54, 100]","(55, 60]",Female,58,73,69,78,0.795,0.885,0.898,0.221
124,"(54, 100]","(55, 60]",Male,362,397,73,91,0.912,0.802,1.137,0.205
