,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.036,0.104,3.000
1,"(5, 10]",1.003,0.105,8.000
2,"(10, 15]",1.036,0.069,13.000
3,"(15, 20]",1.255,0.054,18.000
4,"(20, 25]",1.296,0.058,23.000
5,"(25, 30]",1.249,0.066,28.000
6,"(30, 35]",1.198,0.073,33.000
7,"(35, 40]",1.254,0.087,38.000
8,"(40, 45]",1.126,0.088,43.000
9,"(45, 50]",1.216,0.107,48.000
10,"(50, 55]",1.160,0.112,53.000
11,"(55, 60]",1.226,0.132,58.000
12,"(60, 65]",1.068,0.117,63.000
13,"(65, 70]",0.940,0.107,68.000
14,"(70, 75]",1.096,0.125,73.000
15,"(75, 80]",1.050,0.132,78.000
16,"(80, 85]",0.898,0.133,83.000
17,"(85, 90]",0.850,0.172,88.000
18,"(90, 95]",1.654,0.534,93.000
19,"(95, 100]",1.000,1.324,98.000
