,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,44,53,43,49,0.830,0.878,0.946,0.280
1,"(15, 24]","(0, 5]",Male,22,19,27,33,1.158,0.818,1.415,0.580
2,"(15, 24]","(5, 10]",Female,19,18,19,22,1.056,0.864,1.222,0.558
3,"(15, 24]","(5, 10]",Male,21,21,17,19,1.000,0.895,1.118,0.511
4,"(15, 24]","(10, 15]",Female,74,110,50,65,0.673,0.769,0.875,0.215
5,"(15, 24]","(10, 15]",Male,152,208,173,289,0.731,0.599,1.221,0.186
6,"(15, 24]","(15, 20]",Female,163,224,142,244,0.728,0.582,1.250,0.195
7,"(15, 24]","(15, 20]",Male,348,432,973,1453,0.806,0.670,1.203,0.117
8,"(15, 24]","(20, 25]",Female,35,38,76,114,0.921,0.667,1.382,0.389
9,"(15, 24]","(20, 25]",Male,97,110,432,639,0.882,0.676,1.304,0.209
10,"(15, 24]","(25, 30]",Female,13,17,20,28,0.765,0.714,1.071,0.507
11,"(15, 24]","(25, 30]",Male,38,28,130,133,1.357,0.977,1.388,0.392
12,"(15, 24]","(30, 35]",Female,7,6,12,14,1.167,0.857,1.361,0.930
13,"(15, 24]","(30, 35]",Male,17,18,47,52,0.944,0.904,1.045,0.415
14,"(15, 24]","(35, 40]",Female,6,7,8,8,0.857,1.000,0.857,0.643
15,"(15, 24]","(35, 40]",Male,14,9,16,27,1.556,0.593,2.625,1.400
16,"(15, 24]","(40, 45]",Female,9,11,8,1,0.818,8.000,0.102,0.118
17,"(15, 24]","(40, 45]",Male,12,13,16,14,0.923,1.143,0.808,0.440
18,"(15, 24]","(45, 50]",Female,5,8,2,2,0.625,1.000,0.625,0.720
19,"(15, 24]","(45, 50]",Male,12,4,11,8,3.000,1.375,2.182,1.621
20,"(15, 24]","(50, 55]",Female,4,2,2,1,2.000,2.000,1.000,1.501
21,"(15, 24]","(50, 55]",Male,3,5,9,3,0.600,3.000,0.200,0.198
22,"(15, 24]","(55, 60]",Male,5,2,7,5,2.500,1.400,1.786,1.826
23,"(15, 24]","(60, 65]",Female,1,3,2,2,0.333,1.000,0.333,0.509
24,"(15, 24]","(60, 65]",Male,5,1,3,1,5.000,3.000,1.667,2.654
25,"(15, 24]","(75, 80]",Male,3,1,1,1,3.000,1.000,3.000,5.479
26,"(24, 34]","(0, 5]",Female,50,79,47,68,0.633,0.691,0.916,0.244
27,"(24, 34]","(0, 5]",Male,47,56,48,71,0.839,0.676,1.241,0.343
28,"(24, 34]","(5, 10]",Female,66,96,54,102,0.688,0.529,1.299,0.308
29,"(24, 34]","(5, 10]",Male,37,54,38,62,0.685,0.613,1.118,0.336
30,"(24, 34]","(10, 15]",Female,36,56,27,48,0.643,0.562,1.143,0.372
31,"(24, 34]","(10, 15]",Male,21,41,32,48,0.512,0.667,0.768,0.273
32,"(24, 34]","(15, 20]",Female,12,28,9,33,0.429,0.273,1.571,0.806
33,"(24, 34]","(15, 20]",Male,39,70,89,188,0.557,0.473,1.177,0.286
34,"(24, 34]","(20, 25]",Female,21,32,16,36,0.656,0.444,1.477,0.612
35,"(24, 34]","(20, 25]",Male,62,68,168,284,0.912,0.592,1.541,0.319
36,"(24, 34]","(25, 30]",Female,12,20,19,33,0.600,0.576,1.042,0.487
37,"(24, 34]","(25, 30]",Male,47,58,114,191,0.810,0.597,1.358,0.318
38,"(24, 34]","(30, 35]",Female,14,17,21,26,0.824,0.808,1.020,0.477
39,"(24, 34]","(30, 35]",Male,32,34,72,93,0.941,0.774,1.216,0.360
40,"(24, 34]","(35, 40]",Female,8,7,5,15,1.143,0.333,3.429,2.513
41,"(24, 34]","(35, 40]",Male,18,17,32,37,1.059,0.865,1.224,0.512
42,"(24, 34]","(40, 45]",Female,9,13,6,7,0.692,0.857,0.808,0.571
43,"(24, 34]","(40, 45]",Male,6,6,21,26,1.000,0.808,1.238,0.804
44,"(24, 34]","(45, 50]",Female,8,4,7,9,2.000,0.778,2.571,2.043
45,"(24, 34]","(45, 50]",Male,12,9,11,13,1.333,0.846,1.576,0.952
46,"(24, 34]","(50, 55]",Female,5,6,4,3,0.833,1.333,0.625,0.610
47,"(24, 34]","(50, 55]",Male,17,7,5,4,2.429,1.250,1.943,1.571
48,"(24, 34]","(55, 60]",Female,3,2,5,1,1.500,5.000,0.300,0.428
49,"(24, 34]","(55, 60]",Male,11,10,9,6,1.100,1.500,0.733,0.503
50,"(24, 34]","(65, 70]",Female,10,4,3,2,2.500,1.500,1.667,1.815
51,"(24, 34]","(65, 70]",Male,6,1,5,2,6.000,2.500,2.400,3.281
52,"(24, 34]","(70, 75]",Male,6,1,4,3,6.000,1.333,4.500,5.957
53,"(34, 54]","(0, 5]",Female,20,40,10,23,0.500,0.435,1.150,0.541
54,"(34, 54]","(0, 5]",Male,11,32,12,32,0.344,0.375,0.917,0.448
55,"(34, 54]","(5, 10]",Female,25,66,21,63,0.379,0.333,1.136,0.396
56,"(34, 54]","(5, 10]",Male,25,60,30,66,0.417,0.455,0.917,0.301
57,"(34, 54]","(10, 15]",Female,27,92,24,77,0.293,0.312,0.942,0.305
58,"(34, 54]","(10, 15]",Male,25,97,39,100,0.258,0.390,0.661,0.197
59,"(34, 54]","(15, 20]",Female,24,58,17,50,0.414,0.340,1.217,0.456
60,"(34, 54]","(15, 20]",Male,28,70,34,99,0.400,0.343,1.165,0.353
61,"(34, 54]","(20, 25]",Female,9,12,5,30,0.750,0.167,4.500,2.952
62,"(34, 54]","(20, 25]",Male,16,42,24,67,0.381,0.358,1.063,0.406
63,"(34, 54]","(25, 30]",Female,6,17,5,13,0.353,0.385,0.918,0.652
64,"(34, 54]","(25, 30]",Male,17,34,32,62,0.500,0.516,0.969,0.360
65,"(34, 54]","(30, 35]",Female,8,19,5,17,0.421,0.294,1.432,0.948
66,"(34, 54]","(30, 35]",Male,19,35,39,63,0.543,0.619,0.877,0.310
67,"(34, 54]","(35, 40]",Female,9,14,5,15,0.643,0.333,1.929,1.296
68,"(34, 54]","(35, 40]",Male,29,42,35,53,0.690,0.660,1.046,0.344
69,"(34, 54]","(40, 45]",Female,5,12,10,13,0.417,0.769,0.542,0.368
70,"(34, 54]","(40, 45]",Male,29,35,26,36,0.829,0.722,1.147,0.416
71,"(34, 54]","(45, 50]",Female,12,9,6,13,1.333,0.462,2.889,1.917
72,"(34, 54]","(45, 50]",Male,20,20,22,35,1.000,0.629,1.591,0.668
73,"(34, 54]","(50, 55]",Female,8,6,9,14,1.333,0.643,2.074,1.432
74,"(34, 54]","(50, 55]",Male,22,19,9,12,1.158,0.750,1.544,0.839
75,"(34, 54]","(55, 60]",Female,3,5,10,8,0.600,1.250,0.480,0.419
76,"(34, 54]","(55, 60]",Male,5,10,17,7,0.500,2.429,0.206,0.146
77,"(34, 54]","(60, 65]",Female,12,6,4,4,2.000,1.000,2.000,1.735
78,"(34, 54]","(60, 65]",Male,13,10,14,9,1.300,1.556,0.836,0.503
79,"(34, 54]","(65, 70]",Female,5,8,3,2,0.625,1.500,0.417,0.449
80,"(34, 54]","(65, 70]",Male,7,7,3,3,1.000,1.000,1.000,0.977
81,"(34, 54]","(70, 75]",Female,22,5,3,1,4.400,3.000,1.467,1.844
82,"(34, 54]","(70, 75]",Male,7,6,6,3,1.167,2.000,0.583,0.526
83,"(34, 54]","(75, 80]",Female,8,5,4,3,1.600,1.333,1.200,1.145
