,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,504,544,530,703,0.926,0.754,1.229,0.121
1,"(15, 24]","(15, 22]",Male,345,283,1385,1403,1.219,0.987,1.235,0.126
2,"(15, 24]","(22, 27]",Female,89,99,261,323,0.899,0.808,1.113,0.195
3,"(15, 24]","(22, 27]",Male,78,68,399,329,1.147,1.213,0.946,0.178
4,"(15, 24]","(27, 32]",Female,24,12,71,84,2.000,0.845,2.366,0.927
5,"(15, 24]","(27, 32]",Male,13,8,103,71,1.625,1.451,1.120,0.535
6,"(15, 24]","(32, 37]",Female,18,8,28,24,2.250,1.167,1.929,0.984
7,"(15, 24]","(32, 37]",Male,12,6,43,30,2.000,1.433,1.395,0.776
8,"(15, 24]","(37, 42]",Female,41,20,15,21,2.050,0.714,2.870,1.255
9,"(15, 24]","(37, 42]",Male,27,7,31,16,3.857,1.938,1.991,1.048
10,"(15, 24]","(42, 47]",Female,42,22,11,11,1.909,1.000,1.909,0.961
11,"(15, 24]","(42, 47]",Male,35,16,25,15,2.188,1.667,1.312,0.587
12,"(15, 24]","(47, 52]",Female,27,14,24,11,1.929,2.182,0.884,0.436
13,"(15, 24]","(47, 52]",Male,20,10,32,15,2.000,2.133,0.938,0.469
14,"(15, 24]","(52, 57]",Female,32,12,16,12,2.667,1.333,2.000,1.026
15,"(15, 24]","(52, 57]",Male,11,4,11,6,2.750,1.833,1.500,1.163
16,"(15, 24]","(57, 62]",Male,13,2,14,5,6.500,2.800,2.321,2.141
17,"(15, 24]","(62, 67]",Female,3,1,4,1,3.000,4.000,0.750,1.206
18,"(15, 24]","(67, 72]",Female,6,3,2,1,2.000,2.000,1.000,1.415
19,"(15, 24]","(67, 72]",Male,2,1,10,1,2.000,10.000,0.200,0.323
20,"(15, 24]","(77, 82]",Female,3,2,9,4,1.500,2.250,0.667,0.729
21,"(24, 34]","(15, 22]",Female,35,40,35,51,0.875,0.686,1.275,0.412
22,"(24, 34]","(15, 22]",Male,54,56,98,151,0.964,0.649,1.486,0.351
23,"(24, 34]","(22, 27]",Female,65,74,140,198,0.878,0.707,1.242,0.259
24,"(24, 34]","(22, 27]",Male,94,98,254,289,0.959,0.879,1.091,0.191
25,"(24, 34]","(27, 32]",Female,46,58,182,238,0.793,0.765,1.037,0.235
26,"(24, 34]","(27, 32]",Male,79,59,178,186,1.339,0.957,1.399,0.290
27,"(24, 34]","(32, 37]",Female,33,22,146,147,1.500,0.993,1.510,0.458
28,"(24, 34]","(32, 37]",Male,41,25,81,75,1.640,1.080,1.519,0.462
29,"(24, 34]","(37, 42]",Female,19,22,55,62,0.864,0.887,0.974,0.358
30,"(24, 34]","(37, 42]",Male,22,13,37,44,1.692,0.841,2.012,0.841
31,"(24, 34]","(42, 47]",Female,21,8,46,31,2.625,1.484,1.769,0.847
32,"(24, 34]","(42, 47]",Male,11,5,28,23,2.200,1.217,1.807,1.103
33,"(24, 34]","(47, 52]",Female,16,11,24,11,1.455,2.182,0.667,0.358
34,"(24, 34]","(47, 52]",Male,16,9,21,14,1.778,1.500,1.185,0.644
35,"(24, 34]","(52, 57]",Female,23,10,16,12,2.300,1.333,1.725,0.932
36,"(24, 34]","(52, 57]",Male,4,1,13,6,4.000,2.167,1.846,2.258
37,"(24, 34]","(57, 62]",Female,13,3,10,4,4.333,2.500,1.733,1.514
38,"(24, 34]","(62, 67]",Female,6,1,6,1,6.000,6.000,1.000,1.528
39,"(24, 34]","(67, 72]",Male,2,1,10,1,2.000,10.000,0.200,0.323
40,"(24, 34]","(72, 77]",Female,6,3,4,2,2.000,2.000,1.000,1.119
41,"(24, 34]","(72, 77]",Male,1,1,7,2,1.000,3.500,0.286,0.465
42,"(34, 54]","(15, 22]",Female,55,112,21,91,0.491,0.231,2.128,0.632
43,"(34, 54]","(15, 22]",Male,16,24,26,74,0.667,0.351,1.897,0.756
44,"(34, 54]","(22, 27]",Female,28,76,26,68,0.368,0.382,0.964,0.312
45,"(34, 54]","(22, 27]",Male,13,26,35,83,0.500,0.422,1.186,0.472
46,"(34, 54]","(27, 32]",Female,41,77,32,73,0.532,0.438,1.215,0.354
47,"(34, 54]","(27, 32]",Male,43,57,59,85,0.754,0.694,1.087,0.292
48,"(34, 54]","(32, 37]",Female,33,56,83,128,0.589,0.648,0.909,0.241
49,"(34, 54]","(32, 37]",Male,55,57,80,102,0.965,0.784,1.230,0.303
50,"(34, 54]","(37, 42]",Female,43,57,142,193,0.754,0.736,1.025,0.242
51,"(34, 54]","(37, 42]",Male,77,79,70,83,0.975,0.843,1.156,0.270
52,"(34, 54]","(42, 47]",Female,48,50,142,213,0.960,0.667,1.440,0.338
53,"(34, 54]","(42, 47]",Male,67,82,53,60,0.817,0.883,0.925,0.236
54,"(34, 54]","(47, 52]",Female,37,52,169,208,0.712,0.812,0.876,0.214
55,"(34, 54]","(47, 52]",Male,59,51,57,49,1.157,1.163,0.994,0.276
56,"(34, 54]","(52, 57]",Female,38,23,132,142,1.652,0.930,1.777,0.524
57,"(34, 54]","(52, 57]",Male,24,26,31,26,0.923,1.192,0.774,0.303
58,"(34, 54]","(57, 62]",Female,22,22,88,72,1.000,1.222,0.818,0.282
59,"(34, 54]","(57, 62]",Male,16,6,24,17,2.667,1.412,1.889,1.089
60,"(34, 54]","(62, 67]",Female,32,16,38,30,2.000,1.267,1.579,0.623
61,"(34, 54]","(62, 67]",Male,13,5,20,12,2.600,1.667,1.560,1.002
62,"(34, 54]","(67, 72]",Female,31,20,29,17,1.550,1.706,0.909,0.383
63,"(34, 54]","(67, 72]",Male,12,7,27,5,1.714,5.400,0.317,0.217
64,"(34, 54]","(72, 77]",Female,26,11,21,14,2.364,1.500,1.576,0.789
65,"(34, 54]","(72, 77]",Male,13,4,20,4,3.250,5.000,0.650,0.516
